"","log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","log10Fa_native","log10Ta_native","Alpha_native","Beta_native","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","FluenceErr","PhotonIndexErr","PeakFluxErr","log10FaErr_native","log10TaErr_native","AlphaErr_native","BetaErr_native","log10T90Err","log10FluenceErr","log10PeakFluxErr","Redshift_crosscheck","log10z"
"081221A",1.531478917,-9.354577731,2.93195749,1.23586126,0.991,2.4947,-4.742321425,1.21,21.57331844,1.260071388,-8.76,5.96,2.09,0.78,0.8019177,0.0249855,0.031176651,0.012861856,5e-04,2.99999996703318e-07,0.13,0.499999996444433,0.24,0.17,0.53173,0.0303,0.0102431891789539,0.00719825100000001,0.011931167,2.26,0.513217600067939
"081230A",0.907209226455443,-11.32975415,3.66959365,0.99376498,1.02,2.08621,-6.086186148,1.97,20.67248024,-0.15490196,-12.9424,4.020463,1.151212,1,13.77430841,0.0701444,0.08735027,0.040381418,0.02,4.85000004814291e-08,0.096969697,0.229241180086225,0.015728,0.06,0.53173,0.0303,0.740704337003766,0.02568693,0.142225970771008,2.1,0.491361693834273
"090102A",1.432006687,-9.457174573,3.15380077,1.42487631,0.667,1.76997,-7.167491087,1.36,21.72376179,0.740362689,-13.0714,3.319089,1,0.9,2.240000004,0.036239983,0.041590346,0.021786596,0.002673458,3.00000005335443e-09,0.08,0.800000005945283,0.06,0.384008,0.53173,0.04,0.0359770577590371,0.019160051,0.063170107,1.547,0.406028944963615
"090205A",0.944482672,-11.3419886,3.70655,1.29089,1.01,2.03416,-6.721246399,2.15,21.81792086,-0.301029996,-12.9424,2.813159,0.82,0.94,1.794079127,0.13445,0.114585,0.084185,0.025,3.00000000329674e-08,0.23,0.0999999994843889,0.24,0.050707,0.53173,0.04,0.0885407574117407,0.0685728129999999,0.086858896,4.6497,0.752025387323213
"090423A",0.989894564,-11.2798407,3.91521772,1.43267533,0.77,1.8158,-6.229147988,0.8,22.7516324,0.230448921,-8.76,5.250332,1.487567,0.97,1.061728761,0.08569564,0.077643595,0.064053366,0.005,4.00000004563359e-08,0.5,0.200000001942679,0.019721,0.384008,0.036237,0.04,0.047195797531391,0.029443694,0.051093469,8.26,0.966610986681934
"090424A",1.681241237,-9.050609993,2.99599056,1.1284106,0.924,1.96315,-4.677780705,1.19,21.63012977,1.851258349,-8.76,5.96,0.481067,1.8,2.27250697,0.011257098,0.013394814,0.005546887,0,0,0.15,1.99999993956945,0.03,0.08,0.53173,0.04,0.0205611924585667,0,0.012233647,0.544,0.188647295999717
"090519A",1.806179974,-11.76000021,3.44619,1.42452,0.63,1.46604,-5.920818754,1.02,22.13069392,-0.22184875,-13.66,6.41,2.09,0.93,8.24011649,0.21145,0.24029,0.3065,0.03,1.00000000471828e-07,0.2,0.199999999407363,0.24,0.14528,0.53173,0.12,0.0559162050267847,0.036191207,0.144764827,3.85,0.685741738602264
"090529A",1.837651558,-12.1873998,4.472757799,0.8815438,0.64,2.22623,-6.167491087,2,20.02880298,-0.397940009,-12.9424,4.020463,0.92,0.57781,10.5274432,0.11547934,0.21900534,0.113675222,0.125,1.69999999369983e-07,0.3,0.100000000407278,0.04,0.03,0.53173,0.06,0.0664439832683159,0.10857362,0.108573621,2.625,0.559308010907013
"090530A",1.681241237,-11.16052195,3.6839464,0.88610581,1.09,2.03975,-5.958607315,1.61,20.90942658,0.397940009,-13.66,2.813159,0.607458,1,35.77708764,0.089175625,0.115365029,0.038514202,0.035,1.00000001137137e-07,0.17,0.300000001214414,0.015728,0.14528,0.53173,0.04,0.323703994876218,0.039481317,0.052115338,1.266,0.355259905527378
"090618A",2.05388479,-9.640164518,3.67275453,1.30942861,0.8945,1.82831,-3.978810701,1.42,21.39200012,1.589949601,-11.3914,4.394018,1.95,0.9,0.593538562,0.009695255,0.014245613,0.010591616,0.002482662,1.00000001848241e-06,0.08,0.799999994512554,0.06,0.384008,0.53173,0.04,0.00227692361547263,0.00413613799999999,0.008931506,0.54,0.187520720836463
