"","log10Ta","log10NH","log10PeakFlux","PhotonIndex","log10Fa","log10T90","Alpha","Beta","Gamma","log10Fluence","log10TaSqr","log10NHSqr","log10PeakFluxSqr","PhotonIndexSqr","log10FaSqr","log10T90Sqr","AlphaSqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"050824A",5.08558,20.9708274,-0.301029996,2.76,-12.23882419,1.353723938,0.954481,0.86,1.94709,-6.575118363,25.8631239364,439.775601840591,0.09061905849176,7.6176,149.788817553729,1.83256850031423,0.911033979361,0.7396,3.7911594681,43.2321814874598,0.0782985476819812,0.06855,0.12722,0.0899785,0.01,0.084899673,0.38,0.130288345,"050824A",0.8278,0.261928672990642
"050826A",4.76235,21.96085591,-0.420216403,1.16,-12.33348202,1.550228353,1.801,1.11,2.45742,-6.384049948,22.6799775225,482.279192299782,0.176581825350258,1.3456,152.114778737663,2.40320794644509,3.243601,1.2321,6.0389130564,40.7560937385588,0.0717511921291969,0.23405,0.13858,0.23538,0.03,0.075712355,0.31,0.148574428,"050826A",0.297,0.11293997608408
"050904A",4.34762128111129,22.39388568,-0.207608311,1.25,-11.4173100900788,2.780677274,1.86371911100538,0.924604024668438,1.90813,-5.316052869,18.9018108039718,501.486115848909,0.0431012107962727,1.5625,130.354969693015,7.73216610214007,3.47344892472669,0.854892602433073,3.6409600969,28.2604181060031,0.0664080102705681,0.818530896219006,0.617358055383405,0.295927730335143,0.202727857638442,0.016184888,0.07,0.119080745,"050904A",6.295,0.86302529622947
"050908A",3.55588449842624,21.4198963,-0.15490196,1.88,-10.7718220987934,1.353723938,1.12420017561685,0.999089462104701,2.74883,-6.316052869,12.6443145661481,458.811957502754,0.0239946172118416,3.5344,116.032151328055,1.83256850031423,1.26382603485696,0.99817975328866,7.5560663689,39.8925238440031,0.14476482742628,0.782392709056198,0.603190476203751,0.286076857503581,0.225284884194761,0.045857181,0.17,0.086858896,"050908A",3.34,0.637489729512511
"050922C",2.52429,21.44930866,0.860936621,1.37,-9.477555766,0.653212514,1.22035,1.064,2.2119,-5.790484985,6.3720400041,460.072841991951,0.741211865378898,1.8769,89.8240632976399,0.4266865884462,1.4892541225,1.132096,4.89250161,33.5297163615105,0.0434736058796182,0.03194,0.034305,0.013275,0.013,0.014476483,0.06,0.019142456,"050922C",2.198,0.504878459410216
"051016B",4.25742,21.71466751,0.113943352,2.4,-11.59006688,0.602059991,1.14771,0.73,1.89482,-6.769551079,18.1256250564,471.52678506985,0.0129830874649959,5.76,134.329650282873,0.36247623276292,1.3172382441,0.5329,3.5903428324,45.8268218111901,0.0509829166339321,0.04535,0.058175,0.04854,0.005,0.056202815,0.23,0.053451629,"051016B",0.9364,0.286995073968852
"051028A",3.79469236898461,20.9024195385481,0.179466033655192,1.6783282458665,-10.9670540439546,1.041392685,1.22899571871285,0.931000767828636,2.02921982175251,-6.17568341398607,14.39969017523,436.911142565477,0.0322080572359265,2.81678570087334,120.276274403021,1.08449872437151,1.51043047661452,0.866762429697509,4.11773308499329,38.1390656297826,0.214744065864423,0.809844872573473,0.609896416583391,0.283463087605548,0.203427877848168,0.0451414448022833,0.236991174642203,0.0749534429882672,"051028A",3.6,0.662757831681574
"051109A",3.91123,21.97057233,0.595496222,1.51,-10.51999306,1.57054294,1.22299,1.06,2.06584,-5.657577319,15.2977201129,482.706048507762,0.354615750416273,2.2801,110.670253982448,2.46660512638384,1.4957045401,1.1236,4.2676949056,32.0081811204632,0.0827679937346041,0.04815,0.04637,0.019155,0.054794381,0.05369459,0.2,0.076056648,"051109A",2.346,0.524525936626376
"051109B",3.65548,21.36742302,-0.259637311,1.97,-11.57511836,1.155336037,1.251,1.06,2.12549,-6.591760035,13.3625340304,456.566766515626,0.0674115332633107,3.8809,133.983365048009,1.33480135839087,1.565001,1.1236,4.5177077401,43.4513003590232,0.114743908376789,0.0922,0.126645,0.12217,0.01,0.069554976,0.24,0.102651423,"051109B",0.08,0.0334237554869497
"051111A",3.35202423564014,21.79196559,0.424881637,1.32,-10.0303124173803,2.158362492,1.21769894155036,0.905680124903167,2.23019,-5.389339837,11.2360664763188,474.889764275744,0.1805244054598,1.7424,100.607167190253,4.65852864687245,1.48279071225287,0.820256488644616,4.9737474361,29.0449838786752,0.740704337003765,0.819877543412424,0.613435922197969,0.276936406799714,0.193079312533109,0.014263593,0.06,0.034286406,"051111A",1.55,0.406540180433955
"060115A",3.69688,21.43355223,-0.060480747,1,-11.29499204,2.144885418,0.889919,1,2.10553,-5.76700389,13.6669217344,459.397161196138,0.00365792075767801,1,127.576845183663,4.60053345634903,0.791955826561,1,4.4332565809,33.2583338672751,0.0469357822743554,0.0812,0.123015,0.053884,0.085,0.038096007,0.303030303,0.059902687,"060115A",3.53,0.656098202012832
"060124A",4.47599,21.9172644,-0.050609993,1.84,-10.6893,1.134495856,1.3641,0.99,2.00895,-6.336299075,20.0344864801,480.366478779507,0.00256137139146005,3.3856,114.26113449,1.28708084728117,1.86076881,0.9801,4.0358801025,40.1486859678459,0.0416381769095578,0.04445,0.036665,0.01627,0.076380116,0.049929734,0.19,0.087834839,"060124A",2.296,0.517987203025078
"060206A",3.93814,22.33966406,0.445604203,1.2,-10.63078414,0.880241776,1.17565,1.265,2.20424,-6.080398976,15.5089466596,499.060590313656,0.198563105731265,1.44,113.013571431276,0.774825584215634,1.3821529225,1.600225,4.8586739776,36.9712517073418,0.110636974360534,0.07055,0.07444,0.02867,0.013041887,0.021949902,0.181818182,0.026462388,"060206A",4.048,0.703119346236078
"060210A",4.15028,22.3877421,0.434568904,1.53,-10.66756154,2.40654018,1.20511,0.979,2.08163,-5.11577123,17.2248240784,501.210996336112,0.188850132323761,2.3409,113.796869209687,5.79143563795443,1.4522901121,0.958441,4.3331834569,26.1711152776957,0.207740121229715,0.0292,0.030365,0.02297,0.083622271,0.023188831,0.09,0.044706785,"060210A",3.91,0.691081492122968
