"","log10PeakFlux","Alpha","log10Ta","PhotonIndex","log10Fa","Beta","Gamma","log10Fluence","log10T90","log10NH","log10PeakFluxSqr","AlphaSqr","log10TaSqr","PhotonIndexSqr","log10FaSqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Sqr","log10NHSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"060115A",-0.060480747,0.889919,3.69688,1,-11.29499204,1,2.10553,-5.76700389,2.14488541828714,21.43355223,0.00365792075767801,0.791955826561,13.6669217344,1,127.576845183663,1,4.4332565809,33.2583338672751,4.60053345758081,459.397161196138,0.0469357822433229,0.0812,0.123015,0.053884,0.085,0.0230884892235729,0.303030303,0.0363046589885454,"060115A",3.53,0.656098202012832
"080905B",-0.301029996,1.36946226,3.67820615,1.78,-10.11125904,0.375,1.86248,-5.744727495,2.10720996964787,22.33533151,0.09061905849176,1.87542688156431,13.5292004818978,3.1684,102.237559373982,0.140625,3.4688317504,33.001893991809,4.44033385618337,498.867033661599,0.095199838533423,0.03236457,0.038825489,0.033301752,0.00558525,0.0292454196637412,0.090909091,0.0526417557651133,"080905B",2.374,0.528145078253106
"230506C",0.380211242,1.14181,4.25859,1.89,-11.4531,1.11,2.08995,-5.769551079,1.49136169383427,20.96124782,0.144560588543183,1.3037300761,18.1355887881,3.5721,131.17349961,1.2321,4.3678910025,33.2877196531901,2.22415970183623,439.373910171455,0.0886038540634792,0.1023,0.11841,0.11299,0.29,0.0510934685037089,0.17,0.0904780170030954,"230506C",3.7,0.672097857935718
"201020A",0.322219295,1.55158826,3.96908872,2.25,-11.0900559,0.99,2.0761,-6.036212173,1.15136985024746,20.93258486,0.103825274070297,2.40742612856983,15.7536652672312,5.0625,122.989339865125,0.9801,4.31019121,36.4358573974734,1.32565253205886,438.173108921101,0.145589617977987,0.04915322,0.04826492,0.08306159,1.04,0.0330441453884962,0.14,0.0413613792035401,"201020A",2.903,0.591398551281249
"101225A",0.041392685,1.09845202556265,4.33965836266045,1.2,-11.3830409423648,0.879270276665013,2.11696,-5.958607315,1.39445168082622,21.85427081,0.00171335437150922,1.20659685246269,18.8326347046088,1.44,129.573621095554,0.773116219426568,4.4815196416,35.5050011343715,1.94449549015906,477.609152636818,0.0148638654800828,0.803047579016434,0.626875395809749,0.289416731147948,0.21009989795125,0.0169812114071368,0.58,0.0363046589885454,"101225A",0.33,0.123851640967086
"070612A",-0.017728767,1.99851301652256,4.27312134517268,2.56,-10.6663754958367,0.892623434318423,1.94644,-5.869666232,2.33525725643453,21.12319546,0.000314309179340289,3.99405427721011,18.2595660305704,6.5536,113.771566218186,0.796776595494417,3.7886286736,34.4529816750811,5.45342645373014,446.189386441365,0.0148638654800828,0.803214113356137,0.617499792550398,0.392925159057942,0.207522072241368,0.0142275014568467,0.58,0.105283510661638,"070612A",0.671,0.222976449893391
"170903A",0.591064607,0.971187,4.41384,1.94,-11.26042766,1.14,2.20256,-5.619788758,1.46538285144842,21.73970839,0.349357369648064,0.943204188969,19.4819835456,3.7636,126.797231086093,1.2996,4.8512705536,31.5820256845432,2.1473469013191,472.614920882236,0.0534696644965983,0.04095,0.065935,0.051271,0.005,0.0219340647280231,0.072727273,0.0337447149872822,"170903A",0.886,0.27554168840131
"060206A",0.445604203,1.17565,3.93814,1.2,-10.63078414,1.265,2.20424,-6.080398976,0.880813592280791,22.33966406,0.198563105731265,1.3821529225,15.5089466596,1.44,113.013571431276,1.600225,4.8586739776,36.9712517073418,0.775832584346592,499.060590313656,0.110491399420861,0.07055,0.07444,0.02867,0.013041887,0.0133029706675924,0.181818182,0.0160378107849136,"060206A",4.048,0.703119346236078
"140629A",0.62324929,1.16056,2.85608,1.86,-9.847711656,0.815,1.95996,-5.619788758,1.6232492903979,21.74269921,0.388439677485504,1.3468995136,8.1571929664,3.4596,96.9774248597183,0.664225,3.8414432016,31.5820256845432,2.63493825877729,472.744968936535,0.11934296985134,0.042785,0.06161,0.03501,0.001678552,0.0219340647280231,0.066666667,0.025067502542057,"140629A",2.275,0.515211304327802
"050603A",-0.15490196,1.62836806861954,4.00295939274777,1.53,-10.4465321368292,0.894407944184106,1.83562,-6.173925197,1.94398887507377,20.99187128,0.0239946172118416,2.65158256689974,16.0236838999876,2.3409,109.130033685806,0.799965570619639,3.3695007844,38.1173523381515,3.77909274641059,440.658659836089,0.0148638654800828,0.77639928355529,0.588269106710906,0.286431881008206,0.207291014516553,0.0169812114071368,0.58,0.0167116683635139,"050603A",2.82,0.582063362911709
