"","log10PeakFlux","PhotonIndex","log10NH","log10Ta","Beta","log10Fa","log10T90","Alpha","Gamma","log10Fluence","log10PeakFluxSqr","PhotonIndexSqr","log10NHSqr","log10TaSqr","BetaSqr","log10FaSqr","log10T90Sqr","AlphaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10PeakFlux_opt","PhotonIndex_opt","log10NH_opt","log10Ta_opt","Beta_opt","log10Fa_opt","log10T90_opt","Alpha_opt","Gamma_opt","log10Fluence_opt","Redshift_crosscheck","log10z"
"060510B",-0.244125144,1.78,22.00215742,4.4225967933918,0.915624541326277,-12.7973534852049,2.43964843,0.9844125877873,2.1317,-5.390405591,0.0595970859330207,3.1684,484.094931134461,19.5593623969194,0.838368300678955,163.772256225286,5.95188446200147,0.969068142994089,4.54414489,29.0564724354841,0.0335971369822932,0.817175067943771,0.603011594276066,0.371322959838777,0.218817845961286,0.018780302,0.08,0.083811216,"060510B",0,0,0,0,0,0,0,0,0,0,0,4.9,0.770852011642144
"060604A",-0.468521083,2.01,21.99003057,4.4444236507435,0.834567907985586,-12.5511733804882,1.977723605,1.10679650958553,2.1711,-6.395773947,0.219512005215493,4.0401,483.561444469534,19.7529015872882,0.696503593039438,157.531953227076,3.9113906577742,1.22499851363071,4.71367521,40.905924381124,0.0777158547080599,0.779531610620223,0.559693268942951,0.322112381299818,0.205583059901393,0.11451546,0.42,0.166053773,"060604A",0,0,0,0,0,0,0,0,0,0,0,2.1357,0.496334505996816
"060607A",0.146128036,1.47,21.79614607,3.53,0.72,-11.78,2.009450896,1.25,1.61002,-5.59345982,0.0213534029052173,2.1609,475.071983504776,12.4609,0.5184,138.7684,4.0378929034352,1.5625,2.5921644004,31.2867927579544,0.740704337003766,0.03,0.04,0.05,0.27,0.019074895,0.08,0.040327345,"060607A",1,0.036532009,0.3675,5.4490365175,0.8825,0.18,-2.945,0.502362724,0.3125,0.402505,-1.398364955,3.07,0.60959440922522
"060707A",0.004321374,0.6,21.20847898,4.00763425249379,0.859784900345022,-12.2427093769065,1.820857989,0.897396058771442,2.09345,-5.795880017,1.8674273247876e-05,0.36,449.799580645102,16.0611323017615,0.739230074861299,149.883932887394,3.31552381610512,0.805319686298517,4.3825329025,33.5922251714599,0.0414232996019404,0.792437797166717,0.574287314536431,0.339668489996603,0.21005655165751,0.040986542,0.363636364,0.098898743,"060707A",0,0,0,0,0,0,0,0,0,0,0,3.425,0.645913275033844
"060708A",0.28780173,1.68,20.79066861,3.15661,0.88,-11.6007,1.008600172,0.820982,2.20484,-6.306273051,0.0828298357909929,2.8224,432.251901250839,9.9641866921,0.7744,134.57624049,1.01727430695843,0.674011444324,4.8613194256,39.7690797937688,0.153333382237578,0.0317,0.0831,0.033617,0.05,0.032528129,0.12,0.031340839,"060708A",0,0,0,0,0,0,0,0,0,0,0,1.92,0.465382851448418
"060714A",0.10720997,1.93,22.0125926,4.218794,0.44,-12.8093,2.060660074,1.123968,2.04425,-5.548213564,0.0114939776674009,3.7249,484.554232973575,17.798222814436,0.1936,164.07816649,4.24631994057768,1.263304065024,4.1789580625,30.7826737517536,0.0344798070207195,0.046522,0.074159,0.054273,0.04,0.025627978,0.11,0.044108033,"060714A",0,0,0,0,0,0,0,0,0,0,0,2.71,0.569373909615046
"060729A",0.068185862,1.75,20.86562801,5.07,0.67,-12.15,2.062017599,1.26,1.92492,-5.583359493,0.00464931177668304,3.0625,435.374432251696,25.7049,0.4489,147.6225,4.25191657858572,1.5876,3.7053170064,31.1739032280732,0.127647038192483,0.03,0.03,0.06,0.07,0.035109631,0.14,0.048254942,"060729A",0,0,0,0,0,0,0,0,0,0,0,0.54,0.187520720836463
"060814A",0.861534411,1.53,22.00679538,4.35563093521314,0.829162436773669,-12.2990768874886,2.162265614,1.14594668463868,2.11591,-4.835647144,0.742241541337117,2.3409,484.299042897189,18.9715208437857,0.687510346556449,151.267292284356,4.6753925854868,1.31319380403438,4.4770751281,23.3834833012754,0.0146412491965932,0.787834757907091,0.547443200271037,0.33721202853194,0.208184677271482,0.007109341,0.03,0.017323989,"060814A",0,0,0,0,0,0,0,0,0,0,0,1.9229,0.465813957269479
"060904B",0.387389826,1.64,21.59122827,3.923904,1.11,-12.1854,2.234264124,1.19811,2.18877,-5.790484985,0.15007087728831,2.6896,466.181138207247,15.397022601216,1.2321,148.48397316,4.99193617579349,1.4354675721,4.7907141129,33.5297163615105,0.0885407574117407,0.018294,0.024033,0.027284,0.1,0.038335871,0.14,0.037377804,"060904B",1,0.0968474565,0.41,5.3978070675,0.980976,0.2775,-3.04635,0.558566031,0.2995275,0.5471925,-1.44762124625,0.7,0.230448921378274
"060906A",0.294466226,2.03,22.41960057,4.41111725158168,0.848551200930299,-12.6379327208836,1.638489257,1.41854320172698,2.07859,-5.655607726,0.0867103582546831,4.1209,502.638489718344,19.4579554072015,0.720039140600253,159.71734345758,2.68464704530441,2.01226481516583,4.3205363881,31.9858987503909,0.0815374132437055,0.750435688364384,0.511104984137258,0.36560841886182,0.216172255531351,0.026725814,0.11,0.061727135,"060906A",0,0,0,0,0,0,0,0,0,0,0,3.686,0.670802284260944
"060908A",0.481442629,1,21.80952201,3.65709631842742,0.878416141361235,-11.955163489057,1.285557309,1.21132904812743,2.13395,-5.552841969,0.231787005018432,1,475.655250304674,13.3743534822554,0.771614917403961,142.925934050082,1.65265759472332,1.46731806283731,4.5537426025,30.8340539326878,0.0299356101990356,0.801133971589238,0.5981368297487,0.35343034085007,0.219235057003253,0.017216674,0.181818182,0.035832878,"060908A",0,0,0,0,0,0,0,0,0,0,0,1.8836,0.459935016851525
"060912A",0.933487288,1.74,21.36738202,3.43061101909972,0.778483674887983,-12.0785200085551,0.698970004,0.994305183675636,1.8948,-5.869666232,0.871398516857595,3.0276,456.565014388619,11.7690919643684,0.606036832067099,145.890645597066,0.48855906649176,0.98864279828424,3.59026704,34.4529816750811,0.0503781599397554,0.744041943951866,0.669361720083198,0.325802781659734,0.204565724672839,0.019945376,0.09,0.022271512,"060912A",0,0,0,0,0,0,0,0,0,0,0,0.937,0.287129620719111
