"","log10Ta","log10NH","log10PeakFlux","PhotonIndex","log10Fa","Alpha","log10T90","Beta","Gamma","log10Fluence","log10TaSqr","log10NHSqr","log10PeakFluxSqr","PhotonIndexSqr","log10FaSqr","AlphaSqr","log10T90Sqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"090519A",3.44619,22.13069392,-0.22184875,1.02,-11.76000021,1.42452,1.806179974,0.63,1.46604,-5.920818754,11.8762255161,489.767613380725,0.0492168678765625,1.0404,138.2976049392,2.0292572304,3.26228609847864,0.3969,2.1492732816,35.0560947177181,0.0559162050267847,0.21145,0.24029,0.3065,0.03,0.036191207,0.2,0.144764827,"090519A",3.85,0.685741738602264
"090529A",4.472757799,22.07736427,-0.397940009,2,-12.1873998,0.8815438,1.837651558,0.64,2.22623,-6.167491087,20.0055623285153,487.410013110273,0.15835625076292,4,148.53271388504,0.77711947131844,3.37696324861983,0.4096,4.9561000129,38.0379463082244,0.0664439832683159,0.11547934,0.21900534,0.113675222,0.125,0.10857362,0.3,0.108573621,"090529A",2.625,0.559308010907013
"090530A",3.6839464,20.90942658,0.397940009,1.61,-11.16052195,0.88610581,1.681241237,1.09,2.03975,-5.958607315,13.571461078073,437.204119904411,0.15835625076292,2.5921,124.557250196432,0.785183506515756,2.82657209698929,1.1881,4.1605800625,35.5050011343715,0.323703994876218,0.089175625,0.115365029,0.038514202,0.035,0.039481317,0.17,0.052115338,"090530A",1.266,0.355259905527378
"090618A",3.67275453,21.39200012,1.589949601,1.42,-9.640164518,1.30942861,2.05388479,0.8945,1.82831,-3.978810701,13.4891258376355,457.61766913408,2.52793973372006,2.0164,92.9327719341062,1.71460328468653,4.21844273059334,0.80013025,3.3427174561,15.8309345943921,0.00227692361547263,0.009695255,0.014245613,0.010591616,0.002482662,0.004136138,0.08,0.008931506,"090618A",0.54,0.187520720836463
"090809A",4.56066,21.91952315,0.041392685,1.34,-11.8559,1.6367,0.73239376,0.96,1.94644,-6.468521083,20.7996196356,480.465495123386,0.00171335437150922,1.7956,140.56236481,2.67878689,0.536400619686938,0.9216,3.7886286736,41.8417650012155,0.0978170519448906,0.338,0.237865,0.319405,0.01,0.063866836,0.24,0.078962633,"090809A",2.737,0.572523097849638
"090812A",3.52924,21.77771022,0.556302501,1.24,-10.16730017,1.37252,1.824125834,0.53,1.88559,-5.236572006,12.4555349776,474.268662426292,0.309472472618855,1.5376,103.373992746882,1.8838111504,3.3274350582662,0.2809,3.5554496481,27.4216863740229,0.0954430381608785,0.10615,0.13258,0.08412,0.015,0.014975672,0.05,0.024127471,"090812A",2.452,0.538070787043172
"090927A",4.20121889,21.01785522,0.301029996,1.8,-11.6716204,1.13087741,0.342422681,0.92,2.06549,-6.698970004,17.6502401616928,441.750238048881,0.09061905849176,3.24,136.226722761696,1.27888371644831,0.117253292463228,0.8464,4.2662489401,44.8761991144918,0.0791400972158072,0.076268475,0.093241949,0.074843971,0.01,0.065144172,0.2,0.043429448,"090927A",1.37,0.374748346010104
"091018A",2.89655535,21.19187281,1.012837225,1.77,-9.627087997,1.18074867,0.639486489,0.91,1.98015,-5.853871964,8.39003289561362,449.095473195217,1.0258392443457,3.1329,92.6808233019815,1.39416742170677,0.408942969613547,0.8281,3.9209940225,34.2678169709052,0.0598714492362227,0.024288603,0.034497878,0.016335114,0.002061639,0.031021034,0.24,0.016865805,"091018A",0.971,0.294686624279443
"091020A",2.95265011,21.70587483,0.62324929,1.53,-9.71219827,1.17417264,1.590061231,0.895,2.08587,-5.431798276,8.71814267208301,471.145002135627,0.388439677485504,2.3409,94.326795235791,1.37868138852457,2.52829471832924,0.801025,4.3508536569,29.5044325111566,0.0544128110188212,0.034480687,0.045271255,0.018244861,0.002182887,0.011737689,0.07,0.031021034,"091020A",1.71,0.432969290874406
"091029A",4.30368998,21.45058625,0.255272505,1.46,-11.34678749,1.12123368,1.593286067,1.064,2.11535,-5.619788758,18.5217474439524,460.127650468689,0.065164051808975,2.1316,128.74958634322,1.25716496516634,2.53856049129633,1.132096,4.4747056225,31.5820256845432,0.0535069670717355,0.02563352,0.034224003,0.026782025,0.002,0.018095603,0.27,0.024127471,"091029A",2.752,0.574262829707027
