"","log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","FluenceErr","PhotonIndexErr","PeakFluxErr","log10T90Err","log10FluenceErr","log10PeakFluxErr","Redshift_crosscheck","log10z"
"GRB070802",1.2148438480477,-11.6716204,3.92184,1.16348,0.78,1.99014,-6.552841969,1.79,21.91375294,-0.397940009,3.019812592,0.17395,0.236245,0.2088785,0.045,3.03030303030303e-08,0.163636364,0.060606061,0.0799687771394851,0.0470015673425834,0.065802194705171,2.45,0.537819095073274
"GRB071003",2.17609125905568,-11.67760082,4.78411,1.97901,0.837,1.91015,-5.080921908,1.36,20.86974084,0.799340549,4.494400066,0.1359,0.098505,0.183105,0.032,1.81818181818182e-07,0.042424242,0.242424242,0.0130126209875294,0.00951357025803561,0.0167116683635139,1.60435,0.415699348887829
"GRB071020",0.6232492903979,-9.169411331,2.311950854,1.119196934,0.844,1.59788,-5.638272164,1.11,20.99642367,0.924279286,0.581982802,0.035099822,0.039262062,0.011153209,0.001,6.06060606060606e-08,0.03030303,0.181818182,0.0601790284455221,0.0114438598661619,0.00940031347184909,2.145,0.497620649781288
"GRB071117",0.819543935541869,-11.23542972,3.901990464,1.104952391,0.94,2.0457,-5.619788758,1.57,22.04291793,1.053078443,1.824859447,0.101024385,0.117162967,0.089387802,0.01,6.06060606060606e-08,0.036363636,0.242424242,0.120079755769867,0.0109670323640116,0.00931712484047533,1.331,0.367542273520577
"GRB080310",2.56229286445647,-11.3990271,4.32608056,1.59590648,0.878,2.09352,-5.638272164,2.32,21.53322281,0.113943352,17.39875121,0.04247343,0.03798676,0.065276352,0.0375,1.21212121212121e-07,0.096969697,0.121212121,0.0207018675137275,0.0228877197323238,0.0404936579440628,2.42,0.534026106056135
"GRB080411",1.7481880270062,-10.11350927,4.20932562,1.28909841,0.91,1.97674,-4.578396073,1.75,21.57289018,1.635483747,1.000967534,0.06043543,0.049275581,0.010296793,0,6.06060606060606e-08,0.018181818,0.545454545,0.00776276208179474,0.000997002942546105,0.00548351617874055,1.03,0.307496037913213
"GRB080430",1.20951501454263,-11.17198494,4.21762911,0.99269763,1.12,2.03541,-5.920818754,1.73,21.51787914,0.414973348,2.183113364,0.028180965,0.038388523,0.020935069,0.0755,6.06060606060606e-08,0.054545455,0.121212121,0.0585255609478052,0.0219340647449938,0.0202468289563662,0.767,0.247236549506764
"GRB080516",0.763427993562937,-11.12090412,3.77452827,0.94016916,1.48,2.3315,-6.585026652,1.82,22.03528962,0.255272505,0.213016433,0.077803665,0.111057696,0.084888358,0.03,2.42424242424242e-08,0.163636364,0.181818182,0.0159503209321748,0.0404936579835962,0.04386812953948,3.2,0.6232492903979
"GRB080607",1.89762709129044,-10.0540393,3.46298403,1.7256074,1.06,2.03418,-4.619788758,1.31,22.38386741,1.36361198,3.285061929,0.11042072,0.069659314,0.037637388,0.02,0,0.024242424,0.666666667,0.0180592945376602,0,0.0125337512846333,3.036,0.605951157564873
"GRB080710",2.07918124604762,-11.23284413,4.09266933,1.52133785,1.3,2.00149,-5.853871964,1.47,20.89722339,0,17.43704666,0.06269498,0.054210787,0.06401643,0.150517844,1.21212121212121e-07,0.139393939,0.121212121,0.0631067762093961,0.0376012538165791,0.0526417552900893,0.845,0.265996370495079
"GRB080721",1.20951501454263,-8.714442691,2.87876286,1.33437559,0.735,1.9433,-4.920818754,1.11,21.79728278,1.320146286,144,0.007019299,0.007554816,0.006435673,0,6.06060606060606e-07,0.048484848,1.090909091,3.86039539469557,0.0219340647449938,0.0226686984976336,2.591,0.555215405126073
"GRB080810",2.02530586526477,-9.931814138,3.2687548,1.44529526,1.079,2.11482,-5.337242168,1.34,21.45079548,0.301029996,4.337190332,0.031830706,0.039738688,0.036139295,0.0015,1.21212121212121e-07,0.036363636,0.121212121,0.0177699795108654,0.0114438598573077,0.0263208776246799,3.35,0.638489256954637
"GRB080928",2.44715803134222,-11.1260984,4.08450503,1.76031774,0.99,2.13864,-5.602059991,1.77,21.51035195,0.322219295,20.80043462,0.064484035,0.047916769,0.075970735,0,1.21212121212121e-07,0.072727273,0.060606061,0.0322625499166263,0.0210567021369837,0.0125337513552694,1.692,0.430075055551939
"GRB081007",1,-10.58502665,3.58176278,1.00469263,0.92,2.102,-6.148741651,2.51,21.69605744,0.414973348,2.937133306,0.053161115,0.084284398,0.039134851,0.005,4.84848484848485e-08,0.121212121,0.242424242,0.127558078741005,0.0296573269567103,0.0404936579127324,0.5295,0.184549481320698
"GRB081008",2.26834391395106,-10.79317412,3.85550833,1.47398467,0.84,1.98207,-5.366531544,1.69,21.1376737,0.113943352,40.34414957,0.06052989,0.056285684,0.063988679,0.025,1.21212121212121e-07,0.042424242,0.060606061,0.0944541322659323,0.0122422686816867,0.0202468291390677,1.9685,0.472537053262077
"GRB081029",2.43136376415899,-11.86327943,4.48156171,2.51960373,0.87,1.95818,-5.677780705,1.43,21.49704581,-0.301029996,45.6827768,0.083250805,0.04285341,0.169198521,0.001,1.21212121212121e-07,0.109090909,0.121212121,0.0734806588231774,0.0250675025476,0.105283510661638,3.8479,0.685553652846326
"GRB081221",1.53147891704226,-9.354577731,2.93195749,1.23586126,0.991,2.4947,-4.742321425,1.21,21.57331844,1.260071388,0.8019177,0.0249855,0.031176651,0.012861856,5e-04,1.81818181818182e-07,0.078787879,0.303030303,0.0102431891779573,0.00436257641157646,0.00723101035372789,2.26,0.513217600067939
"GRB081230",1.78318869107526,-11.32975415,3.66959365,0.99376498,1.02,2.08621,-6.086186148,1.97,20.67248024,-0.15490196,13.77430841,0.0701444,0.08735027,0.040381418,0.02,4.84848484848485e-08,0.096969697,0.060606061,0.0985519956259729,0.0256789050871822,0.0376012540900799,2.1,0.491361693834273
"GRB090102",1.43136376415899,-9.457174573,3.15380077,1.42487631,0.667,1.76997,-7.167491087,1.36,21.72376179,0.740362689,2.240000004,0.036239983,0.041590346,0.021786596,0.002673458,1.81818181818182e-09,0.048484848,0.484848485,0.0360303570814986,0.0116121519146922,0.0382849130607791,1.547,0.406028944963615
