"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_mad_idx","best_mad_val","n_candidates","minutes","best_r_formula"
81,353,0.3895,353,0.1888,353,0.1132,17,4.3,"Response ~  (PhotonIndexSqr+Alpha+log10Fa)^2+log10PeakFlux+log10Ta+PhotonIndex+log10NH+log10T90+log10PeakFluxSqr+log10TaSqr+log10NHSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
82,663,0.4719,663,0.1563,328,0.1031,17,4.2,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
83,654,0.6143,654,0.1417,552,0.11,17,4.2,"Response ~  (log10FaSqr+log10PeakFluxSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
84,497,0.5067,497,0.1584,1598,0.1051,17,4.3,"Response ~  (log10FaSqr+log10Fa+log10Ta+log10PeakFlux)^2+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
85,1487,0.4997,1487,0.1826,1487,0.14,17,4.2,"Response ~  (log10FaSqr+log10Fa+PhotonIndex+log10Ta+log10PeakFlux)^2+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
86,1770,0.4812,1770,0.1692,3357,0.1036,17,4.3,"Response ~  (log10T90Sqr+log10FaSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10Ta+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr"
87,1487,0.5916,663,0.1648,3742,0.0931,17,4.2,"Response ~  (log10FaSqr+log10Fa+PhotonIndex+log10Ta+log10PeakFlux)^2+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
88,441,0.4268,65,0.1768,65,0.1078,17,4.2,"Response ~  (log10FaSqr+PhotonIndexSqr+log10PeakFluxSqr)^2+log10PeakFlux+log10Ta+PhotonIndex+log10NH+log10Fa+Alpha+log10T90+log10TaSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
89,663,0.4293,663,0.1652,2903,0.1325,17,4.3,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
90,552,0.5051,552,0.1643,552,0.0988,17,4.2,"Response ~  (log10FaSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10Ta+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
91,552,0.6798,552,0.1505,659,0.1039,17,4.2,"Response ~  (log10FaSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10Ta+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
92,1044,0.4514,1044,0.1723,1601,0.0964,17,4.3,"Response ~  (log10FaSqr+log10TaSqr+log10Fa+PhotonIndex)^2+log10PeakFlux+log10Ta+log10NH+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
93,1697,0.5643,1697,0.1672,1759,0.1004,14,4.2,"Response ~  (log10FaSqr+log10Fa+log10NH+PhotonIndex+log10PeakFlux)^2+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
94,1759,0.5716,1759,0.1726,6643,0.1162,17,4.4,"Response ~  (log10FaSqr+log10TaSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10Ta+log10NH+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
95,1754,0.4171,1754,0.17,378,0.102,17,4.2,"Response ~  (log10FaSqr+log10PeakFluxSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10Ta+log10NH+Alpha+log10T90+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
96,145,0.5315,145,0.1503,3415,0.101,17,4.2,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
97,1487,0.4395,1487,0.183,883,0.1339,17,4.4,"Response ~  (log10FaSqr+log10Fa+PhotonIndex+log10Ta+log10PeakFlux)^2+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
98,659,0.5822,659,0.162,1327,0.1156,17,4.2,"Response ~  (log10FaSqr+log10TaSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
99,497,0.5489,497,0.156,6498,0.0723,17,4.3,"Response ~  (log10FaSqr+log10Fa+log10Ta+log10PeakFlux)^2+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
100,1598,0.4809,1598,0.1529,241,0.1076,17,4.3,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10Ta+log10PeakFlux)^2+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
