"","Fbest","T_abest","F_min","F_max","T_amin","T_amax","logT90","logPeakFlux","errorlogPeakFlux","photon_index","errorphotonindex","logNH","T90_err","Gamma","Alpha","AlphaErr"
"GRB180425A",-11.8748,4.48348,-11.9867,-11.7629,4.29695,4.67001,1.04921802267018,"0.3424226808222063",0.0592219748049889,"1.35","0.13",21.0790107520018,2.71227132798173,2.00413,0.96255,0.962551
"GRB180514A",-11.8389,4.17677,-11.9229,-11.7549,4.02658,4.32696,1.67117284271508,"-0.1549019599857432",0.0620420688433217,"1.77","0.14",20.8225890885597,181.892871552812,1.83771,0.793297,0.7932965
"GRB180614A",-10.4888,3.04737,-10.734,-10.2437,2.75053,3.3442,0.847572659142112,"-0.1549019599857432",0.0620420688433217,"1.53","0.26",22.2314311037097,0.917474786708231,2.73639,0.9061,0.906109
"GRB180623A",-9.90005,3.69917,-9.94788,-9.85221,3.66359,3.73476,2.06032002868829,"0.7481880270062004",0.0155105172108304,"1.45","0.04",22.8253319779692,6.81986998340227,2.0656,1.81399,1.81399
"GRB180626A",-10.8016,3.89183,-10.8338,-10.7694,3.84961,3.93405,1.47813342810052,"0.6127838567197355",0.0423701933564148,"1.64","0.27",21.3659246804868,1.36662506760594,2.03488,1.12702,1.12702
"GRB180630A",-9.96603,3.09267,-10.0311,-9.901,2.98925,3.19609,1.27531135454181,"0.8195439355418687",0.0263208776911062,"2.07","0.1",21.2370090862215,6.47663124781276,1.64932,0.863273,0.863273
"GRB180706A",-11.2568,3.79087,-11.3022,-11.2114,3.71,3.87174,1.63042787502502,"0.505149978319906",0.0271434051189532,"1.90","0.08",20.7223640497047,7.29554847120756,2.09151,0.880109,0.8801085
"GRB180720C",-10.9196,3.49451,-11.0397,-10.7995,3.29071,3.69831,2.09412159584056,"0.04139268515822508",0.0789626330733185,"1.39","0.13",22.4487778721404,32.6784691171636,2.07213,0.727455,0.7274555
"GRB180721A",-11.727,3.82343,-11.9189,-11.5351,3.67128,3.97557,1.67760695272049,"-0.045757490560675115",0.0482549424336946,"1.25","0.22",21.143342428378,2.9961741829018,2.13857,1.74717,1.74717
"GRB180818B",-10.9776,4.06908,-11.0377,-10.9175,3.99793,4.14022,2.12839926871781,"0.07918124604762482",0.072382413650542,"1.77","0.12",21.1036634931579,9.78261668948041,1.76901,1.12225,1.122245
"GRB180821A",-11.6604,4.73545,-11.7337,-11.5872,4.63174,4.83917,1.80617997398389,"0.43429448190325176*Log[""n/a""]",0.434294481903252,"1.79","0.31",21.5758163084582,22.6274169979695,2.89113,1.07187,1.071869
"GRB180823A",-10.3003,3.1323,-10.3996,-10.2011,3.01649,3.24811,1.90471554527868,"0.36172783601759284",0.0377647375568045,"1.58","0.05",21.0621399446104,6.89302403001873,2.06097,1.14145,1.141455
"GRB180924A",-10.8965,3.5304,-10.9889,-10.8042,3.41447,3.64633,1.97818051693741,"-0.2218487496163564",0.072382413650542,"1.94","0.14",20.8417679156425,11.8408677727485,1.87764,1.01997,1.0199675
"GRB180925A",-10.997,3.18075,-11.0798,-10.9143,3.1003,3.2612,1.91222205653242,"0.4913616938342727",0.0840569964974036,"1.53","0.13",21.1720497876031,23.2520988175974,1.7684,1.36178,1.361785
"GRB181023A",-9.40653,3.29862,-9.65735,-9.1557,3.08311,3.51414,1.76342799356294,"0.",0.130288344570976,"1.74","0.24",21.3647318043115,8.80705991925374,1.78544,1.164,1.16408
