"GRBID","InvZphot","pred_max","pred_min","Zphot"
"GRB150428B",0.517829103472908,0.620179123411168,0.434121610716373,2.29480035020508
"GRB150430A",0.48312877387075,0.802636820077232,0.400221050121032,2.04178682068526
"GRB150530A",0.599562285004067,0.789335282243307,0.532585937631143,2.9770613001459
"GRB150607A",0.428065881700885,0.567267076117506,0.350675550776202,1.67957478071985
"GRB150615A",0.525769562889664,0.597595979049678,0.473655854777598,2.35559518763593
"GRB150711A",0.444312877247874,0.510915735614737,0.415440570137772,1.7817165683521
"GRB150801B",0.517057353824855,1.41014588621131,0.28747940039285,2.2889506256827
"GRB150817A",0.3646811426093,0.476700111247785,0.331127543489548,1.31569385188586
"GRB150911A",0.520619857532104,0.817811731825521,0.430034978729852,2.3160407399533
"GRB151001A",0.553952214974248,0.746942049569484,0.503382975614514,2.58057038245808
"GRB151114A",0.372301433629044,0.520246948094743,0.293405162372176,1.3566844358452
"GRB151118A",0.514255761945587,0.656673768424579,0.445925585030201,2.26780220847023
"GRB151205A",0.440159224762643,0.73327484887596,0.368279823371979,1.75523866738459
"GRB151228B",0.528727090523477,0.604891818734313,0.466505804167948,2.37852463912337
"GRB160104A",0.425420522633708,0.54842012039338,0.338056422508397,1.66330265872822
"GRB160119A",0.452307766634094,0.614975837536799,0.409787902404027,1.83339919796086
"GRB160123A",0.52112316661481,0.637893034854778,0.439056828771069,2.31988596703902
"GRB160127A",0.544409144174911,0.780500385400805,0.396025011294642,2.50275001960697
"GRB160412A",0.461539844722685,0.533882889626022,0.421792905442046,1.8942753426778
"GRB160417A",0.452200129126743,0.546488517992677,0.39175421740036,1.83269704251331
"GRB160504A",0.454820558759082,0.733201346115739,0.400433794599468,1.84984053073183
"GRB160630A",0.556274364540919,0.729126360983632,0.507551922324639,2.59976677775538
"GRB160705B",0.405438612521698,0.471524477308045,0.356862505876725,1.54354023857977
"GRB160815A",0.464628562735528,0.585956750521832,0.383859265755755,1.91493290485186
"GRB160824A",0.539099204054179,0.657014058586619,0.49661506862513,2.46018408323018
"GRB160905A",0.456860873329774,0.650186456719363,0.426313730668656,1.86326057459072
"GRB161001A",0.540181892928377,0.711945991235471,0.49867626672968,2.46882102563662
"GRB161004B",0.420322038010749,0.513776446637232,0.371570348468018,1.63221911132157
"GRB161113A",0.403344690532064,0.479231845210424,0.362150946551983,1.53130624470806
"GRB161214B",0.407476625023162,0.494829041247666,0.378014418555662,1.55550435277577
"GRB161217A",0.386891929863565,0.638299763299868,-0.172068984672334,1.43720426732485
"GRB170208B",0.411336928633744,0.496946096065061,0.376017071473849,1.57832066011641
"GRB170317A",0.499031016903187,0.652542134819886,0.417894284566194,2.15522995888221
"GRB170711A",0.457208884668182,0.50797494714617,0.414229727482729,1.86555589846043
"GRB170803A",0.408481992286985,0.566601118850491,0.366768529522208,1.56142705412785
"GRB170822A",0.459801749009944,0.849023594841474,0.353197036198733,1.88271527268218
"GRB171027A",0.482407507732558,0.631488305551441,0.424242201853255,2.03673928471035
"GRB171120A",0.54960037335973,0.63557670917285,0.498289361858379,2.54487049223543
"GRB171123A",0.539180167298948,0.641908809640305,0.473024133735295,2.46082920735082
"GRB171211A",0.43925773545678,0.556344263990641,0.367143501536607,1.74952539636722
"GRB180115A",0.544729642476998,0.668402679647855,0.490342581725415,2.50533591424106
"GRB180224A",0.515535098532386,0.91744481202663,0.416351543208962,2.27744263160149
"GRB180314A",0.416338321807671,0.532474786457886,0.379285367043482,1.60818457305341
"GRB180316A",0.420208299233833,0.618121085152062,0.373827077844507,1.63152984126475
"GRB180331B",0.313753320435588,0.449434017304766,0.248042268765884,1.05945980640425
"GRB180411A",0.516453033155584,0.713040557492911,0.474039812788119,2.28437723433621
"GRB180425A",0.421980145627382,0.536463957232573,0.370106063229904,1.64228795871394
"GRB180514A",0.399432943810256,0.460715108533271,0.370869845508752,1.5086088138807
"GRB180626A",0.423660953181879,0.542970905502269,0.368154382756443,1.6525339622286
"GRB180630A",0.308987807874781,0.363111378502349,0.284749514709402,1.03698489179958
"GRB180706A",0.39953228922915,0.470490758623967,0.371456534234448,1.50918272699859
"GRB180720C",0.696159917273304,0.742165605809323,0.659462490556309,3.96775211899268
"GRB180721A",0.566169898644724,0.919041817445744,0.45527575544658,2.68273016111005
"GRB180818B",0.464753847141937,0.608307192964901,0.428621132979502,1.91577392018695
"GRB180823A",0.454180066269268,0.628215836802018,0.416020349843263,1.84564071648649
"GRB180924A",0.498133850867593,0.633786779051024,0.466560847732591,2.14871860913025
"GRB180925A",0.440697251851746,0.646857501590712,0.372865729372591,1.75865411868493
"GRB181023A",0.390860249359582,0.541993233747723,0.302777640052912,1.45957601538198
"GRB181103A",0.543720200100514,0.617138673240219,0.475608833206285,2.497197828892
"GRB190202A",0.409492943568198,0.67759525266865,0.340268874344,1.56739649261999
"GRB190203A",0.499375220637793,0.709952316615019,0.46720338344366,2.15773165409181
"GRB190204A",0.427950511574571,0.62961519346722,0.379558226293154,1.67886304747062
"GRB190211A",0.485922466313878,0.631591676603636,0.410114711583541,2.06141683655164
"GRB190219A",0.394286330029123,0.472985520519615,0.340842777820179,1.4790559587102
"GRB190311A",0.499496113353247,0.560489528653089,0.447940725071619,2.15861078083136
"GRB190511A",0.496392252426598,0.974727523696387,0.352097234932839,2.13611696942142
"GRB190515B",0.496090098669055,0.589554386182966,0.452535342025069,2.13393582274138
"GRB190519A",0.39949714371409,0.52464502021676,0.322959141919677,1.50897967824982
"GRB190604B",0.32468379867468,0.592299173492341,-0.307962683890258,1.11195080981397
"GRB190613B",0.34958111777721,0.475186707614957,0.291436361910986,1.23656290623856
"GRB190706B",0.503353163797121,0.608806439620351,0.435349832727582,2.18678793144097
"GRB190719C",0.397952770539549,0.592791068751443,0.343514270483596,1.50007346429411
"GRB190821A",0.436135317665351,0.555995065570823,0.386488484967983,1.72982821138535
"GRB190824A",0.513439629809031,0.576704557444289,0.462482989154044,2.26166707623654
"GRB191004A",0.363343299934365,0.432762483803324,0.335454073579961,1.30857134091612
"GRB191017B",0.50937171527766,0.694854853517184,0.442981612146996,2.23125859228176
"GRB191029A",0.387258024603783,0.566108946703508,0.307750634802047,1.43925960966157
"GRB191101A",0.42111565094745,0.547790473431058,0.391804876398517,1.63703352420142
"GRB191123A",0.475326993263325,0.842785217224978,0.406466555952602,1.98763124892093
"GRB191220A",0.388381553437634,0.470831881265691,0.310469829706884,1.44557819450369
"GRB191228A",0.471654858488247,0.655800739382713,0.393318726834807,1.9624761215523
"GRB200109A",0.619224461607295,0.793055789964523,0.541619532369673,3.16125626105111
"GRB200227A",0.456320223484202,0.652914625666134,0.398668976834551,1.85969834137862
"GRB200303A",0.473676691383095,0.665594134941208,0.415386698793485,1.97629991111467
"GRB200306A",0.469802502280373,0.748088131905887,0.417086846793723,1.94986745372637
"GRB200306C",0.587775703075375,0.824301364641807,0.531018699999881,2.87057692409865
"GRB200324A",0.537690235242797,0.667376246822993,0.482154542902125,2.44897649984888
"GRB200409A",0.461998889542813,0.614437087367718,0.335263448693173,1.89733617942875
"GRB200410A",0.531910663057087,0.608702525316836,0.470999679452753,2.40338172925223
"GRB200519A",0.370725563085628,0.659082124221203,0.326665690475356,1.34814852318017
"GRB200711A",0.489312189848242,0.663699060664454,0.444222953388031,2.08540507724318
"GRB200713A",0.388049498323755,0.551593121441924,0.30461978189597,1.44370905636881
"GRB200906A",0.483799278912929,0.573306784532809,0.457139450015227,2.04648664697533
"GRB200925B",0.408511645794628,0.586312579400614,0.334362780371544,1.56160195363281
"GRB201027A",0.49994400271193,0.65814016597323,0.449468924324703,2.16186994705018
"GRB201128A",0.5838793607863,0.737241213320134,0.48290034887058,2.83600673307676
"GRB201209A",0.322889088068461,0.464288716607962,0.291048197897539,1.10324123667589
"GRB201223A",0.527916738027314,0.731007068512315,0.457472391878085,2.37222650884023
"GRB201229A",0.471380684846112,0.605816504374631,0.406165208381512,1.96060647648161
"GRB210104B",0.537856484822651,0.645404522127579,0.499876916534028,2.45029703391053
"GRB210112A",0.336066413132141,0.572039720252607,0.30296042528171,1.16803561957142
"GRB210207B",0.507321176908211,0.855139981068563,0.432027620428216,2.21603803904827
"GRB210217A",0.376312494787307,0.569622749412302,0.307176080097779,1.37855114761046
"GRB210307A",0.524034785964077,1.21084783959468,0.339971808802119,2.34221809332963
"GRB210308A",0.533108200600022,0.704476230244806,0.479384182243981,2.41277927385395
"GRB210318B",0.522865374837753,0.728598429338009,0.458941671934993,2.33323071297374
"GRB210419A",0.492372494627378,0.658880271325962,0.421632231315814,2.10722351293762
"GRB210421A",0.536266954333222,0.617632587297974,0.393077669837568,2.43769192758384
"GRB210509A",0.506944876309442,0.723145578363813,0.344097020395411,2.2132526642729
"GRB210712A",0.488959409318175,0.684373448818773,0.388021243777024,2.08289979818187
"GRB210807A",0.533059287467493,0.988236922912009,0.431398498858118,2.41239492560212
"GRB210820A",0.427369282124136,0.589824588960705,0.351816744703681,1.67528024199316
"GRB210912A",0.522940496205815,0.623007711412184,0.474071184386237,2.33380732289833
"GRB210930A",0.583943703113706,0.643774357038777,0.532845285487011,2.83657509370718
"GRB211025A",0.516102204999148,0.68014880778756,0.433148917572232,2.28172514737187
"GRB220319A",0.448003187032677,0.605600470257044,0.37132799807424,1.80545422546055
"GRB220325A",0.586864247464388,0.67279959834427,0.410422890463543,2.86246224655989
"GRB220403B",0.40264807564667,0.547604657873747,0.370076843636223,1.52724924600703
"GRB220408A",0.474000441798147,0.728474749945545,0.349034740011524,1.97851945940946
"GRB220430A",0.425245746082967,0.689978254423752,0.378349794494319,1.66223106049185
"GRB220518A",0.492151198294708,0.71484364012752,0.414349750029951,2.10564061921531
"GRB220711B",0.491845932138003,0.589257691190405,0.448310694676553,2.10345842740365
"GRB220714B",0.386812506687655,0.52945125966234,0.335856906163168,1.43675859552279
"GRB220715B",0.654599773004234,0.811538955711785,0.613338661274521,3.51439725309697
"GRB220813A",0.504007426040624,0.588860368665634,0.472375694074362,2.19159242796176
"GRB220826A",0.463813057085573,0.713723878974269,0.412711892036804,1.90946446377793
"GRB220930A",0.424482265665982,0.613004231672937,0.371862950691003,1.65755502657564
"GRB221016A",0.44576949778152,0.603780450895551,0.401982424611707,1.79106208913423
"GRB221024A",0.516382174806196,0.98983432237247,0.404632553397819,2.28384140766818
"GRB221027B",0.309387450756789,0.438296588538243,0.260926918600571,1.03886021193005
"GRB221201A",0.348723792952764,0.478469190110114,0.320848335214914,1.23215214434572
"GRB230123A",0.424575979145117,0.543057474477269,0.340477435596954,1.65812854433863
"GRB230322B",0.459106931819428,0.589791138902971,0.390054618493524,1.87810697388789
"GRB230405B",0.424500141169089,0.581319271703346,0.366720787270697,1.65766441343819
"GRB230409B",0.450130493763866,0.546717239323078,0.388929652947256,1.81922990646623
"GRB230606A",0.505062710106576,0.804448761801234,0.399369522587181,2.19935704864155
"GRB230628E",0.508893510747419,0.597214496144453,0.447111824424457,2.22770259017405
"GRB230815A",0.487760732475676,0.785589005431993,0.412304611154653,2.07440255568169
"GRB230911C",0.446319288984966,0.586944718692664,0.336974034610821,1.79459764657967
"GRB231205B",0.411895252313177,0.636693784355865,0.368106116968947,1.58163744920835
"GRB231214A",0.538945648187505,1.03165588948469,0.453723783380458,2.45896086335045
"GRB231230A",0.53311808209441,0.724488850624754,0.472070886029444,2.41285692564162
"GRB240101A",0.482898940654549,0.644588494815472,0.394035943009166,2.04017750091898
"GRB240112C",0.425185799189226,0.639365791054939,0.36718487975058,1.66186361058136
"GRB240123A",0.453262615484942,0.585663735288937,0.402287571148808,1.83963562142668
"GRB240204A",0.410346211010168,0.547610392346886,0.341643489132029,1.57244566863424
