GRBID	Fbest	T_abest	F_min	F_max	T_amin	T_amax	logT90	logPeakFlux	errorlogPeakFlux	photon_index	errorphotonindex	logNH	T90_err
GRB171027A	-9.95031	3.26278	-10.0025	-9.89811	3.19565	3.32991	1.98497712641549	0.47712125471966244	0.0289529654602168	1.25	0.18	21.5085539579869	4.9988430358009
GRB171120A	-10.9086	4.53418	-10.9559	-10.8613	4.46604	4.60233	1.80617997398389	1.0569048513364727	0.0190480035922479	1.06	0.28	22.3825121262939	16
GRB171123A	-11.4263	3.76961	-11.5427	-11.3098	3.58858	3.95065	1.76715586608218	-0.09691001300805639	0.108573620475813	1.35	0.34	21.0383852694924	27.0612413239722
GRB171211A	-10.6388	2.93112	-10.863	-10.4146	2.60764	3.25461	0.3654879848909	0.36172783601759284	0.0566471063352068	1.77	0.21	21.2472485925937	0.455367963461657
GRB180115A	-10.9141	3.62081	-10.9532	-10.875	3.57206	3.66955	1.61172330800734	-0.2218487496163564	0.144764827301084	1.66	0.22	20.6139738864907	3.11285851853654
GRB180224A	-10.5124	3.46482	-10.5902	-10.4346	3.39004	3.53959	1.03742649794062	0.146128035678238	0.0620420688433217	2.11	0.18	20.9645310148041	3.56897359184709
GRB180314A	-10.3733	3.19213	-10.4357	-10.311	3.11008	3.27418	1.70926996097583	0.8976270912904415	0.0329843910306267	0.83	0.25	8.86830403912083	22.2996266516377
GRB180316A	-9.13278	2.70967	-9.28671	-8.97884	2.60196	2.81738	1.93951925261862	0.5185139398778874	0.0658021942277654	1.46	0.12	21.5124695967566	20.591260281974
GRB180331B	-11.3357	4.3889	-11.3804	-11.291	4.32621	4.45159	2.16731733474818	0.4471580313422192	0.0465315516324913	2.48	0.22	20.9903175391979	33.0605505096331
GRB180411A	-10.2597	3.9963	-10.3051	-10.2143	3.94838	4.04421	1.88930170250631	0.785329835010767	0.0142391633410902	1.46	0.03	22.2320177195751	1.00409571383667
GRB180425A	-11.8748	4.48348	-11.9867	-11.7629	4.29695	4.67001	1.04921802267018	0.3424226808222063	0.0592219748049889	1.35	0.13	21.0790107520018	2.71227132798173
GRB180514A	-11.8389	4.17677	-11.9229	-11.7549	4.02658	4.32696	1.67117284271508	-0.1549019599857432	0.0620420688433217	1.77	0.14	20.8225890885597	181.892871552812
GRB180614A	-10.4888	3.04737	-10.734	-10.2437	2.75053	3.3442	0.847572659142112	-0.1549019599857432	0.0620420688433217	1.53	0.26	22.2314311037097	0.917474786708231
GRB180623A	-9.90005	3.69917	-9.94788	-9.85221	3.66359	3.73476	2.06032002868829	0.7481880270062004	0.0155105172108304	1.45	0.04	22.8253319779692	6.81986998340227
GRB180626A	-10.8016	3.89183	-10.8338	-10.7694	3.84961	3.93405	1.47813342810052	0.6127838567197355	0.0423701933564148	1.64	0.27	21.3659246804868	1.36662506760594
GRB180630A	-9.96603	3.09267	-10.0311	-9.901	2.98925	3.19609	1.27531135454181	0.8195439355418687	0.0263208776911062	2.07	0.1	21.2370090862215	6.47663124781276
GRB180706A	-11.2568	3.79087	-11.3022	-11.2114	3.71	3.87174	1.63042787502502	0.505149978319906	0.0271434051189532	1.90	0.08	20.7223640497047	7.29554847120756
GRB180720C	-10.9196	3.49451	-11.0397	-10.7995	3.29071	3.69831	2.09412159584056	0.04139268515822508	0.0789626330733185	1.39	0.13	22.4487778721404	32.6784691171636
GRB180721A	-11.727	3.82343	-11.9189	-11.5351	3.67128	3.97557	1.67760695272049	-0.045757490560675115	0.0482549424336946	1.25	0.22	21.143342428378	2.9961741829018
GRB180818B	-10.9776	4.06908	-11.0377	-10.9175	3.99793	4.14022	2.12839926871781	0.07918124604762482	0.072382413650542	1.77	0.12	21.1036634931579	9.78261668948041
GRB180821A	-11.6604	4.73545	-11.7337	-11.5872	4.63174	4.83917	1.80617997398389	0.43429448190325176*Log["n/a"]	0.434294481903252	1.79	0.31	21.5758163084582	22.6274169979695
GRB180823A	-10.3003	3.1323	-10.3996	-10.2011	3.01649	3.24811	1.90471554527868	0.36172783601759284	0.0377647375568045	1.58	0.05	21.0621399446104	6.89302403001873
GRB180924A	-10.8965	3.5304	-10.9889	-10.8042	3.41447	3.64633	1.97818051693741	-0.2218487496163564	0.072382413650542	1.94	0.14	20.8417679156425	11.8408677727485
GRB180925A	-10.997	3.18075	-11.0798	-10.9143	3.1003	3.2612	1.91222205653242	0.4913616938342727	0.0840569964974036	1.53	0.13	21.1720497876031	23.2520988175974
GRB181023A	-9.40653	3.29862	-9.65735	-9.1557	3.08311	3.51414	1.76342799356294	0.	0.130288344570976	1.74	0.24	21.3647318043115	8.80705991925374
GRB181103A	-11.0113	3.71006	-11.0566	-10.9659	3.63154	3.78859	0.923244018630276	-0.09691001300805639	0.108573620475813	1.90	0.27	21.8021800803218	2.41000585275786
GRB190109A	-10.929	3.4605	-11.0495	-10.8086	3.32135	3.59964	2.06069784035361	0.2787536009528289	0.0685728129320924	0.36	0.47	20.733620114994	33.4435856216658
GRB190202A	-9.44352	3.28863	-9.45556	-9.43148	3.27719	3.30008	1.28780172993023	0.8920946026904804	0.0835181695967792	1.32	0.13	20.8308067234232	6.89043402235768
GRB190203A	-8.81988	2.80793	-8.83625	-8.80352	2.79176	2.82409	1.98227123303957	0.4913616938342727	0.0840569964974036	1.06	0.06	21.8472696577414	16
GRB190204A	-8.67607	2.5734	-8.68869	-8.66346	2.56146	2.58534	1.42160392686983	1.4842998393467859	0.0128152470069812	1.30	0.04	21.7209852487605	7.49263017493553
GRB190211A	-10.5104	3.41868	-10.5788	-10.4419	3.34935	3.48801	1.09621458534641	0.2787536009528289	0.0914304172427899	1.51	0.33	20.8407952722495	1.45731809584274
GRB190219A	-11.5912	4.52688	-11.6676	-11.5147	4.37567	4.67809	2.22479195649268	0.2787536009528289	0.0457152086213949	2.24	0.1	21.2340014424009	12.8003112495262
GRB190311A	-11.0329	3.73931	-11.0984	-10.9673	3.62363	3.855	1.23044892137827	0.25527250510330607	0.072382413650542	1.80	0.17	21.582518792169	6.80073525436772
GRB190511A	-11.577	4.39622	-11.7533	-11.4007	4.28612	4.50633	1.44247976906445	0.7923916894982539	0.0840569964974036	1.19	p.10	21.2145900823896	2.35417588983274
GRB190515B	-11.2285	3.68578	-11.3378	-11.1192	3.51994	3.85161	1.66651798055488	0.04139268515822508	0.0789626330733185	1.74	0.15	21.1268252042341	12.2547910006235
GRB190519A	-9.645	3.34823	-9.67826	-9.61174	3.29979	3.39667	1.65877432084436	1.3138672203691535	0.0358398358852198	1.32	0.24	21.8164733037652	2.85630253194435
GRB190604B	-10.0302	3.5915	-10.0889	-9.97149	3.51187	3.67113	2.34281731463573	0.8633228601204559	0.0237969579125069	1.81PL	2.02184	21.4618690346815	4.735231816739
GRB190613B	-10.9611	4.42656	-11	-10.9221	4.35914	4.49398	2.20639406443087	0.7558748556724915	0.0533344100582941	1.84	0.24	21.4200792489025	16.5402054901977
GRB190706B	-11.2376	3.61223	-11.3311	-11.144	3.45744	3.76702	1.40071063677323	0.146128035678238	0.0620420688433217	1.90	0.23	21.5298353273365	6.34883608805165
GRB190719C	-11.0479	4.666	-11.1253	-10.9705	4.60248	4.72953	2.26881190373978	0.7403626894942439	0.0236887899219956	1.64	0.09	20.9538258694985	9.68928564596491
