"","log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux"
"GRB110213A",1.68124123737559,-9.896196279,3.84089,1.8412,1.1905,1.96436,-5.229147988,1.83,21.56708403,0.204119983
"GRB110422A",1.41329976408125,-9.681936665,3.50066971,1.42239886,0.778,1.89199,-4.387216143,0.86,22.02088312,1.487138375
"GRB110503A",1,-9.08249449,2.54166555,1.14649063,0.687,1.90907,-5,0.88,21.13638759,0.130333768
"GRB110715A",1.11394335230684,-9.075720714,2.61109719,0.95853538,0.755,1.85342,-4.928117993,1.25,22.0746007,1.731588765
"GRB110731A",1.58883172559421,-12.08512818,5.08952072,1.42351927,0.39,1.85145,-5.22184875,1.15,21.95954126,1.041392685
"GRB110808A",1.68124123737559,-12.08440021,4.50711,0.807091,1.4,2.33721,-6.48148606,2.32,22.23063027,-0.397940009
"GRB110818A",2.01283722470517,-11.28316228,3.84627415,1.37167718,0.83,1.95985,-5.397940009,1.58,22.06812647,0.204119983
"GRB111008A",1.80250006776439,-10.66756154,3.98993393,1.21584288,0.829,1.94053,-5.27572413,1.86,22.17059025,0.806179974
"GRB111123A",2.46239799789896,-11.60730305,4.42202873,1.46723371,1.25,2.55463,-5.13667714,1.68,21.35034301,-0.045757491
"GRB111209A",3.14612803567824,-9.057000407,4.13326,2.77382,0.2529,1.81212,-4.443697499,1.48,21.14009932,-0.301029996
"GRB111228A",2.00518051250378,-10.65757732,4.10627835,1.15297662,0.99,2.03824,-5.070581074,2.27,21.41342718,1.093421685
"GRB120118B",1.36660971039243,-10.95467702,3.68307,1.0241,1.01,2.20884,-5.744727495,2.08,21.451745,0.342422681
"GRB120327A",1.79865064544527,-10.15181088,3.48517215,1.44859414,0.63,1.75797,-5.443697499,1.52,22.16619025,0.591064607
"GRB120404A",1.58771096501891,-11.02687215,3.79948,1.90651,0.69,1.89579,-5.795880017,1.85,21.70983536,0.079181246
"GRB120422A",0.728353782021228,-12.73992861,5.23266697,0.86153199,1.1,2.32199,-6.638272164,1.19,21.29748256,-0.22184875
"GRB120729A",1.85430604180108,-10.29756946,3.52138487,2.26312734,0.645,1.8831,-5.619788758,1.62,21.34792103,0.462397998
"GRB120802A",1.69897000433602,-11.17198494,3.53838419,0.54215516,0.91,2.03526,-5.721246399,1.21,22.12127744,0.477121255
"GRB120811C",1.42813479402879,-10.14327111,3.15909591,1.01613299,0.65,1.92121,-5.522878745,1.4,21.91722026,0.612783857
"GRB120907A",1.22788670461367,-10.37675071,3.2113827,1.05329104,0.78,1.82021,-6.173925197,1.73,21.0438101,0.462397998
"GRB120922A",2.2380461031288,-10.59516628,3.59799,1.06622,1.17,2.06954,-5.207608311,1.58,21.0163605,0.301029996
"GRB121024A",1.83884909073726,-11.31158018,4.17178823,1.30353551,0.87,2.00683,-5.958607315,1.41,21.94617755,0.113943352
"GRB121027A",1.79657433321043,-11.92081875,5.40919042,1.50995764,1.16,2.37144,-5.698970004,1.82,22.07736427,0.113943352
"GRB121128A",1.36735592102602,-9.617982957,3.23392922,1.54546584,0.9455,1.98504,-5.161150909,1.32,22.04029767,1.11058971
"GRB121211A",2.26007138798507,-11.2823295,4.20933518,1.15615612,0.95,2.0682,-5.886056648,2.36,21.66138196,0
"GRB121229A",2,-12.35951856,4.70907,0.900754,0.99,2.18362,-6.337242168,2.43,21.69605744,-1
"GRB130408A",1.44715803134222,-10.32975415,3.58393,1.39277,0.945,2.03183,-5.638272164,1.28,20.06405721,0.69019608
"GRB130418A",2.47712125471966,-9.247183569,2.59006,1.28449,0.198,1.68684,-5.744727495,2.07,21.12149747,-0.22184875
"GRB130420A",2.09166695759568,-10.8728952,3.56731,0.914676,1.17,2.29559,-5.148741651,1.52,20.79265849,0.531478917
"GRB130505A",1.94448267215017,-8.91721463,3.24559,1.3304,0.724,1.92439,-4.677780705,1.18,20.71960885,1.477121255
"GRB130511A",0.734799829588847,-10.51570016,2.65954,1.16497,0.65,2.06879,-6.657577319,1.35,21.01365445,0.113943352
"GRB130514A",2.3096301674259,-10.7212464,3.68772,1.17745,0.65,2.0604,-5.040958608,1.8,21.19799139,0.447158031
"GRB130604A",1.57634135020579,-8.316052869,2.071571247,1.742079764,0.98,2.08823,-5.853871964,1.51,21.35024026,-0.096910013
"GRB130606A",2.44182077228928,-10.18045606,3.30222,1.37571,0.44,1.86465,-5.537602002,1.52,20.24962877,0.414973348
"GRB130831A",1.51188336097887,-9.89279003,3.31959,1.28481,1.01,1.79449,-5.187086643,1.93,22.17059025,1.133538908
"GRB130925A",2.25285303097989,-10.62525165,5.84588,1.38344,1.5915,2.69002,-4.387216143,1.85,21.99154725,0.86332286
"GRB131030A",1.61384182187607,-9.294136288,2.84594,1.11188,0.693,2.09466,-4.537602002,1.3,20.84178667,1.44870632
"GRB131105A",2.05037975626146,-10.91009489,3.9488,1.19347,0.94,2.24976,-5.148741651,1.45,21.32749584,0.544068044
"GRB131117A",1.04139268515823,-10.838632,2.87134,0.951056,0.86,2.15896,-6.602059991,0.49,22.01669496,-0.15490196
"GRB140206A",1.97127584873811,-9.730487056,3.59073,1.22509,0.672,1.88134,-4.795880017,1.04,22.00531353,1.28780173
"GRB140213A",1.77815125038364,-10.12551818,3.829176603,1.108879519,0.83,1.96657,-4.920818754,1.8,20.99187128,1.371067862
