"GRBID","InvZphot","pred_max","pred_min","Zphot","corrected_prediction","corrected_pred_max","corrected_pred_min","Linear_corrected_prediction","Linear_corrected_pred_max","Linear_corrected_pred_min"
"GRB140916A",0.390392131450593,1.20378581263342,0.208485209561902,1.45692631263142,0.346902611316897,1.63048020262137,0.0598440146728241,1.22281137879876,41.7051451793009,0.147741313795869
"GRB140927A",0.533025964192183,0.792203316829648,0.446367660246256,2.41213310368663,0.571986227903076,0.980981588593976,0.435234911020835,2.73238321688978,8.57153493033157,1.72417442270451
"GRB141005A",0.460691763182233,0.836532927503329,0.360656379951842,1.88862897477803,0.457839091468146,1.05093602296977,0.299978046782671,1.86971713879862,10.2443931773553,0.995161458702025
"GRB141017A",0.430526970737522,0.551493063051825,0.370257771963593,1.694802680917,0.410237477976291,0.601128271689513,0.315129543427802,1.5718016935861,2.99142774359059,1.06599631913799
"GRB141020A",0.532797000972782,0.765254764973715,0.477870025450322,2.41033467633367,0.571624912018217,0.938455370256405,0.484947283989148,2.72927931256197,7.67871386963409,2.05455031992272
"GRB141026A",0.362985718279094,0.491387243305552,0.280535411623717,1.30667133286824,0.303653863977463,0.506278157755616,0.173542985976633,1.0121199356493,2.20832353975303,0.491224347847714
"GRB141109B",0.511034894232134,0.563091382308635,0.446687761866009,2.24365678091653,0.537283174188078,0.619431023529418,0.435740048048036,2.4457453138162,3.16323593515242,1.72734481056749
"GRB141221A",0.433337790521469,0.614117650922651,0.399257696087276,1.71230041567742,0.41467309798581,0.699953132904046,0.360892934041509,1.59820310825006,4.01133150686388,1.29558265184628
"GRB150323A",0.390516417284285,0.530861048126875,0.335995645931481,1.45762953324764,0.3470987408354,0.568569877600916,0.261062124141589,1.22381543802362,2.70313783769701,0.824156622188746
"GRB150323C",0.452812117145288,0.588152432157386,0.362316702213435,1.83669156405358,0.445404599641599,0.658978665396568,0.302598121782793,1.78871799849964,3.56014513806703,1.00723454082702
"GRB150424A",0.309946281064292,0.385424966557395,0.269023165494863,1.04148541277944,0.219954869702859,0.339064166420261,0.15537606201542,0.659414458184865,1.1830524310503,0.430131794777209
"GRB150428B",0.51889066387694,0.637427439324294,0.434121610716373,2.30286379081493,0.549679987824323,0.736737193000123,0.415910007075547,2.54552039419842,4.45427703550995,1.60561356827865
"GRB150430A",0.481655116836697,0.745975126714301,0.397207344383087,2.03148285831905,0.490920355328386,0.908031096979222,0.357657372267826,2.0968513198057,7.09153835302884,1.27854375231724
"GRB150530A",0.596575264973453,0.789335282243307,0.525999506227048,2.94980145059234,0.67227033425031,0.976455680646475,0.560898111288776,3.7018669352312,8.47230515566571,2.63829668970989
"GRB150607A",0.429458799997182,0.567267076117506,0.350675550776202,1.68818281243994,0.408551848916581,0.62602048583434,0.284227778531435,1.56183909494329,3.22688552173622,0.924100615551364
