"","log10PeakFlux","log10NH","PhotonIndex","log10Ta","Gamma","log10Fa","log10T90","Alpha","log10PeakFluxSqr","log10NHSqr","PhotonIndexSqr","log10TaSqr","GammaSqr","log10FaSqr","log10T90Sqr","AlphaSqr","Response"
"GRB090418A",0.278753601,22.02365981,1.48,3.52813657,2.03408,-10.04720756,1.7481880270062,1.52909667,0.0777035700704672,485.041591426609,2.1904,12.4477476565714,4.1374814464,100.946379753721,3.05616137776783,2.33813662620509,0.416307587059883
"GRB090516A",0.204119983,21.19589965,1.84,4.33113504,2.09,-11.27490548,2.32221929473392,1.76098314,0.0416649674599203,449.26616197287,3.3856,18.7587307347158,4.3681,127.123493582934,5.3927024528345,3.10106161936426,0.708335902682263
"GRB091109A",0.113943352,21.89596701,1.31,3.37933883,1.96352,-11.14630179,1.68124123737559,1.06152816,0.0129830874649959,479.433371303008,1.7161,11.4199309279458,3.8554107904,124.240043593757,2.8265720982522,1.12684203447299,0.610234175334389
"GRB091208B",1.181843588,21.91211094,1.74,3.31388094,2.03333,-10.18045606,1.17318626841227,1.1606541,1.39675426649671,480.140605846868,3.0276,10.9818068844953,4.1344308889,103.641685589591,1.37636602039112,1.34711793984681,0.314499227973151
"GRB100219A",-0.397940009,20.4247395876785,1.34,4.7218991,1.58721,-12.13548892,1.27415784926368,1.81152426,0.15835625076292,417.169987224481,1.7956,22.2963311105808,2.5192355841,147.270091327443,1.62347822484025,3.28162014456855,0.753330221324521
"GRB100316B",0.113943352,21.41315218,2.23,3.5543767,2.23535,-11.1481304,0.57978359661681,1.36246063,0.0129830874649959,458.523086283839,4.9729,12.6335937255029,4.9967896225,124.280811415404,0.336149018905924,1.8562989683,0.338456493604605
"GRB100418A",0,20.4247395876785,2.16,5.54363,2.26662,-12.48811664,0.845098040014257,1.81145,0,417.169987224481,4.6656,30.7318335769,5.1375662244,155.953057214245,0.714190697235938,3.2813511025,0.21045229296202
"GRB100425A",0.146128036,20.53466438,2.42,3.60199415,2.17077,-11.50168945,1.568201724067,0.86819371,0.0213534029052173,421.672441199241,5.8564,12.9743618566342,4.7122423929,132.288860204241,2.4592566473667,0.753760318083564,0.440121603187804
"GRB100513A",-0.22184875,22.05240534,1.62,3.74522911,2.25722,-11.57186521,1.92427928606188,0.96306136,0.0492168678765625,486.30858127966,2.6244,14.0267410863914,5.0950421284,133.908064438408,3.70285077076682,0.92748718312505,0.761326322421457
"GRB100621A",1.10720997,22.28454803,1.9,3.64164386,2.3024,-9.804100348,1.80345711564841,0.94079321,1.2259139176674,496.601080901377,3.61,13.2615700030757,5.30104576,96.1203836336537,3.2524575679829,0.885091863982104,0.188084373714938
"GRB100704A",0.633468456,21.52730245,1.73,3.62503495,2.11575,-10.35163999,2.29556709996248,1.01294211,0.401282284747024,463.424750773776,2.9929,13.1408783887215,4.4763980625,107.156450482567,5.26962831043015,1.02605171821125,0.662757831681574
"GRB100728A",0.707570176,21.52592288,1.18,4.03148606,1.90402,-10.17587417,2.29776051109913,1.5588143,0.500655553964671,463.365355835707,1.3924,16.2528798519743,3.6252921604,103.548415123673,5.27970336636655,2.42990202188449,0.409425868671443
"GRB100814A",0.397940009,20.89608288,1.47,5.22729477,1.89414,-11.49349497,2.2417954312952,1.76532941,0.15835625076292,436.646279727829,2.1609,27.3246106124694,3.5877663396,132.100426625415,5.02564675577603,3.11638792581095,0.387389826338729
"GRB100816A",1.037426498,21.34783526,0.73,3.97801299,1.91138,-11.5559552,0.462397997898956,1.04455013,1.07625373875254,455.730070288099,0.5329,15.8245873486087,3.6533735044,133.540100584407,0.213811908460963,1.09108497408302,0.256236533205923
"GRB100901A",-0.096910013,21.53188109,1.52,4.91124,1.98285,-11.34103516,2.64246452024212,1.50754,0.00939155061966017,463.6219032739,2.3104,24.1202783376,3.9316941225,128.619078500356,6.98261874073842,2.2726768516,0.381656482585787
"GRB100906A",1.004321374,21.96198081,1.78,3.94074768,2.02817,-10.4698003,2.05842602445701,1.71220056,1.00866142227325,482.328601098808,3.1684,15.5294922774254,4.1134735489,109.61671832188,4.23711769816187,2.93163075766431,0.43568513794163
"GRB101219B",-0.22184875,20.49692965,1.56,4.42003952,1.85684,-11.99567863,1.53147891704226,0.66918137,0.0492168678765625,420.124125077049,2.4336,19.5367493583618,3.4478547856,143.896305794239,2.34542767334492,0.447803705955077,0.190331698170291
"GRB110106B",0.322219295,21.29748256,1.76,3.87203946,2.05121,-10.81530857,1.39445168082622,1.22519883,0.103825274070297,453.582763393504,3.0976,14.9926895797971,4.2074624641,116.970899464315,1.94449549015906,1.50111217303337,0.208978517276253
"GRB110213A",0.204119983,21.56708403,1.83,3.84089,1.96436,-9.896196279,1.68124123737559,1.8412,0.0416649674599203,465.139113557081,3.3489,14.7524359921,3.8587102096,97.9347007924934,2.8265720982522,3.39001744,0.390935107103379
"GRB110422A",1.487138375,22.02088312,0.86,3.50066971,1.89199,-9.681936665,1.41329976408125,1.42239886,2.21158054639764,484.919293384701,0.7396,12.2546884185115,3.5796261601,93.7398975850713,1.99741622315212,2.0232185169293,0.442479769064449
"GRB110503A",0.130333768,21.13638759,0.88,2.54166555,1.90907,-9.08249449,1,1.14649063,0.0169868910810778,446.746880354706,0.7744,6.4600637680568,3.6445482649,82.4917061608804,1,1.3144407646778,0.417139409727326
"GRB110715A",1.731588765,22.0746007,1.25,2.61109719,1.85342,-9.075720714,1.11394335230684,0.95853538,2.99839965107422,487.287996064441,1.5625,6.8178285356259,3.4351656964,82.3687064785287,1.24086979214859,0.918790074711744,0.260071387985075
