GRB,Redshift_crosscheck,log10T90,log10Fa,log10Ta,Alpha,Beta,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FaErr,log10TaErr,AlphaErr,BetaErr,FluenceErr,PhotonIndexErr,PeakFluxErr
070419A,0.97,2.2041199826559246,-10.770599,3.564171,1.56718,0.77842,,,,,,,0.056364,0.024311000000000003,0.05,0.36,,,
070508,0.82,1.320146286111054,-9.161150909,3.02525,1.37377,0.764,1.82568,-4.707743929,1.1,21.89306622,1.382017043,0.735923905696808,0.0107949999999999,0.01189,0.013355,0.0005,1.65454545454545e-07,0.06060606061,0.36969696969697
070521,2.0865,1.5786392099680724,-10.01233374,3.55243,1.44502,0.98,2.00022,-5.096367484,1.1,22.27524914,0.814913181,2.81938432428048,0.04901,0.04844,0.0562,0.147518075,1.07272727272727e-07,0.1212121212,0.163636363636364
070529,2.4996,2.0382226383687185,-10.24641694,3.09323,1.21432,0.76,1.97999,-5.590066877,1.34,22.56252244,0.155336037,19.9827798950972,0.0552000000000001,0.068045,0.03501,0.015,1.48484848484848e-07,0.096969696969697,0.218181818181818
070612A,0.617,2.562530768862261,-10.6325072,4.23949585,2.476023416,0.96452,,,,,,,0.166156375,0.050455744,0.53173,0.3333,,,
070714B,0.923,1.806179973983887,-10.74232143,3.22974,1.64623,0.93,2.07429,-6.142667504,1.36,21.64321572,0.431363764,8.40879728265565,0.0993500000000003,0.0946,0.108425,0.0049999999999999,5.45454545454545e-08,0.115151515151515,0.121212121212121
070721B,3.626,2.531478917042255,-10.50863831,3.94739,2.5054,0.52,1.52512,-5.443697499,1.34,21.89473409,0.176091259,21.3202068350191,0.3648,0.10084,0.0914400000000002,0.0,1.21212121212121e-07,0.0666666666666667,0.181818181818182
070802,2.45,1.2148438480476977,-11.6716204,3.92184,1.16348,0.78,1.99014,-6.552841969,1.79,21.91375294,-0.397940009,3.01981259231406,0.17395,0.236245,0.2088785,0.045,3.03030303030303e-08,0.163636363636364,0.0606060606060606
070809,0.2187,0.11394335230683679,-11.9625735,4.18985,1.17521,0.396,1.37246,-7.0,1.69,20.80619355,0.079181246,0.271528985262434,0.1917,0.206985,0.395643,0.0595,6.060606060606061e-09,0.133333333333333,0.121212121212121
070810A,2.17,1.0413926851582251,-10.77728353,3.36583,1.36994,1.02,2.17076,-6.161150909,2.04,21.93100401,0.278753601,4.9906412396737,0.06175,0.07187,0.077915,0.01,3.63636363636364e-08,0.0848484848484849,0.121212121212121
071003,1.60435,2.1760912590556813,-11.67760082,4.78411,1.97901,0.837,1.91015,-5.080921908,1.36,20.86974084,0.799340549,4.49440006564942,0.135899999999999,0.098505,0.183105,0.032,1.81818181818182e-07,0.0424242424242424,0.242424242424242
071003A,1.6,2.17064302283611,-11.000751999999999,4.342123,2.107874,0.68537,,,,,,,0.032879000000000005,0.020838,0.15,0.11,,,
071010A,0.99,0.7923916894982539,-11.00568385,4.2248807714000005,2.1667092314,0.782142,,,,,,,0.0285727904,0.0115584913,0.122333,0.12,,,
071010B,0.947,1.5526682161121932,-10.371682790000001,3.526318773,1.0290300706,0.808196,,,,,,,0.024753189999999998,0.06718518500000001,0.053512,0.14,,,
