"","log10NH","log10PeakFlux","PhotonIndex","log10Ta","log10Fa","Gamma","Alpha","log10NHSqr","log10PeakFluxSqr","PhotonIndexSqr","log10TaSqr","log10FaSqr","GammaSqr","AlphaSqr","Response"
"GRB090205",21.81792086,-0.301029996,2.15,3.70655,-11.3419886,2.03416,1.29089,476.021670653223,0.09061905849176,4.6225,13.7385129025,128.64070540253,4.1378069056,1.6663969921,0.752025387323213
"GRB090424",21.63012977,1.851258349,1.19,2.99599056,-9.050609993,1.96315,1.1284106,467.86251386704,3.42715747474221,1.4161,8.97595943560911,81.9135412453915,3.8539579225,1.27331048219236,0.188647295999717
"GRB090519",22.13069392,-0.22184875,1.02,3.44619,-11.76000021,1.46604,1.42452,489.767613380725,0.0492168678765625,1.0404,11.8762255161,138.2976049392,2.1492732816,2.0292572304,0.685741738602264
"GRB090529",21.19187281,-0.397940009,2,4.472757799,-12.1873998,2.22623,0.8815438,449.095473195217,0.15835625076292,4,20.0055623285153,148.53271388504,4.9561000129,0.77711947131844,0.559308010907013
"GRB090530",20.90942658,0.397940009,1.61,3.6839464,-11.16052195,2.03975,0.88610581,437.204119904411,0.15835625076292,2.5921,13.571461078073,124.557250196432,4.1605800625,0.785183506515756,0.355259905527378
"GRB090618",21.39200012,1.589949601,1.42,3.67275453,-9.640164518,1.82831,1.30942861,457.61766913408,2.52793973372006,2.0164,13.4891258376355,92.9327719341062,3.3427174561,1.71460328468653,0.187520720836463
"GRB090812",21.77771022,0.556302501,1.24,3.52924,-10.16730017,1.88559,1.37252,474.268662426292,0.309472472618855,1.5376,12.4555349776,103.373992746882,3.5554496481,1.8838111504,0.538070787043172
"GRB091018",21.19187281,1.012837225,1.77,2.89655535,-9.627087997,1.98015,1.18074867,449.095473195217,1.0258392443457,3.1329,8.39003289561362,92.6808233019815,3.9209940225,1.39416742170677,0.294686624279443
"GRB091020",21.70587483,0.62324929,1.53,2.95265011,-9.71219827,2.08587,1.17417264,471.145002135627,0.388439677485504,2.3409,8.71814267208301,94.326795235791,4.3508536569,1.37868138852457,0.432969290874406
"GRB091029",21.45058625,0.255272505,1.46,4.30368998,-11.34678749,2.11535,1.12123368,460.127650468689,0.065164051808975,2.1316,18.5217474439524,128.74958634322,4.4747056225,1.25716496516634,0.574262829707027
"GRB091127",20.87872913,1.667452953,2.05,3.98466812,-9.844663963,1.80187,1.39581701,435.921330083911,2.78039935046842,4.2025,15.8775800265443,96.9174085443909,3.2467354969,1.94830512540534,0.173186268412274
"GRB050820A",21.61964524,0.389166084,1.25,3.750945731,-10.01818139,1.96878,1.136499703,467.409060303455,0.151450240935895,1.5625,14.0695938769071,100.363958362942,3.8760946884,1.29163157491909,0.558072259099146
"GRB051016B",21.71466751,0.113943352,2.4,4.25742,-11.59006688,1.89482,1.14771,471.52678506985,0.0129830874649959,5.76,18.1256250564,134.329650282873,3.5903428324,1.3172382441,0.286995073968852
"GRB051109A",21.97057233,0.595496222,1.51,3.91123,-10.51999306,2.06584,1.22299,482.706048507762,0.354615750416273,2.2801,15.2977201129,110.670253982448,4.2676949056,1.4957045401,0.524525936626376
"GRB060223A",22.49782636,0.130333768,1.74,2.78682,-10.9636,2.01015,1.1892,506.152190924711,0.0169868910810778,3.0276,7.7663657124,120.20052496,4.0407030225,1.41419664,0.733197265106569
"GRB060502A",21.45692297,0.227886705,1.46,3.3865,-10.55284197,2.02719,0.897152,460.399543340514,0.051932350315757,2.1316,11.46838225,111.362473643793,4.1094992961,0.804881711104,0.398391440229475
"GRB060510B",22.00215742,-0.244125144,1.78,4.43617,-12.2656,2.1317,1.00735,484.094931134461,0.0595970859330207,3.1684,19.6796042689,150.44494336,4.54414489,1.0147540225,0.770852011642144
"GRB060607A",21.79614607,0.146128036,1.47,4.37412,-11.02273379,1.61002,1.10818,475.071983504776,0.0213534029052173,2.1609,19.1329257744,121.500660205208,2.5921644004,1.2280629124,0.610116955411928
"GRB060904B",21.59122827,0.387389826,1.64,3.87074,-11.11633856,2.18877,1.36265,466.181138207247,0.15007087728831,2.6896,14.9826281476,123.572982980543,4.7907141129,1.8568150225,0.231214647962601
"GRB060912A",21.36738202,0.933487288,1.74,2.455171016,-10.1079054,1.8948,1.045731532,456.565014388619,0.871398516857595,3.0276,6.02786471780647,102.169751575349,3.59026704,1.09355443701907,0.287129620719111
"GRB061110A",20.92661714,-0.27572413,1.67,2.24983,-8.33235,1.82722,1.45203,437.923304924142,0.0760237958642569,2.7889,5.0617350289,69.4280565225,3.3387329284,2.1083911209,0.244969460136198
"GRB061222A",22.56660835,0.930949031,1.35,3.92091,-9.954677021,1.92748,1.35061,509.25181242229,0.866666098319839,1.8225,15.3735352281,99.0955945924254,3.7151791504,1.8241473721,0.489677291663699
