"","log10PeakFlux","PhotonIndex","log10Ta","log10NH","log10Fa","log10T90","Alpha","Beta","log10Fluence","Gamma","log10PeakFluxSqr","PhotonIndexSqr","log10TaSqr","log10NHSqr","log10FaSqr","log10T90Sqr","AlphaSqr","BetaSqr","log10FluenceSqr","GammaSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"070508A",1.382017043,1.1,3.02525,21.89306622,-9.161150909,1.320146286,1.37377,0.764,-4.707743929,1.82568,1.90997110714246,1.21,9.1521375625,479.306348513305,83.9266859774715,1.74278621643959,1.8872440129,0.583696,22.1628529010364,3.3331074624,0.0152922340458476,0.010795,0.01189,0.013355,5e-04,0.006049102,0.060606061,0.010992516,"070508A",0.82,0.260071387985075
"070521A",0.814913181,1.1,3.55243,22.27524914,-10.01233374,1.57863921,1.44502,0.98,-5.096367484,2.00022,0.664083492567539,1.21,12.6197589049,496.186724249071,100.246826921142,2.49210175534942,2.0880828004,0.9604,25.9729615319725,4.0008800484,0.0323072045959819,0.04901,0.04844,0.0562,0.147518075,0.009596769,0.121212121,0.017957046,"070521A",2.0865,0.489466281303128
"070529A",0.155336037,1.34,3.09323,22.56252244,-10.24641694,2.038222638,1.21432,0.76,-5.590066877,1.97999,0.0241292843908654,1.7956,9.5680718329,509.067418855503,104.989060108319,4.15435152205568,1.4745730624,0.5776,31.2488476893325,3.9203604001,0.0794726286723922,0.0552,0.068045,0.03501,0.015,0.041401614,0.16,0.109332877,"070529A",2.4996,0.544018407858776
"070802A",-0.397940009,1.79,3.92184,21.91375294,-11.6716204,1.214843848,1.16348,0.78,-6.552841969,1.99014,0.15835625076292,3.2041,15.3808289856,480.212567915359,136.226722761696,1.47584557502345,1.3536857104,0.6084,42.9397378706878,3.9606572196,0.079968777148268,0.17395,0.236245,0.2088785,0.045,0.077552586,0.27,0.108573621,"070802A",2.45,0.537819095073274
"070809A",0.079181246,1.69,4.18985,20.80619355,-11.9625735,1.16168428403346,1.17521,0.396,-7,1.37246,0.00626966971811252,2.8561,17.5548430225,432.897690040062,143.103164742902,1.34951037577033,1.3811185441,0.156816,49,1.8836464516,0.00812673734142058,0.1917,0.206985,0.395643,0.0595,0.026318246,0.133333333,0.016256930519715,"070809A",0.2187,0.0858968111315881
"071003A",0.799340549,1.36,4.78411,20.86974084,-11.67760082,2.170643023,1.97901,0.837,-5.080921908,1.91015,0.638945313275621,1.8496,22.8877084921,435.546082728764,136.366360911265,4.71169113329858,3.9164805801,0.700569,25.8157674351944,3.6486730225,0.0131768929142836,0.1359,0.098505,0.183105,0.032,0.015697391,0.07,0.027574253,"071003A",1.60435,0.415699348887829
"071020A",0.924279286,1.11,2.311950854,20.99642367,-9.169411331,0.62324929,1.119196934,0.844,-5.638272164,1.59788,0.85429219852867,1.2321,5.34511675131133,440.849806930136,84.0781041570712,0.388439677485504,1.252601777075,0.712336,31.7901129953372,2.5532204944,0.0601790285006581,0.035099822,0.039262062,0.011153209,0.001,0.018882369,0.05,0.015510517,"071020A",2.145,0.497620649781288
"071117A",1.053078443,1.57,3.901990464,22.04291793,-11.23542972,0.819543936,1.104952391,0.94,-5.619788758,2.0457,1.1089742071113,2.4649,15.2255295811469,485.890230868716,126.234880993059,0.671652263034372,1.22091978637662,0.8836,31.5820256845432,4.18488849,0.120079755643196,0.101024385,0.117162967,0.089387802,0.01,0.018095603,0.06,0.015373256,"071117A",1.331,0.367542273520577
"080310A",0.113943352,2.32,4.32608056,21.35024026,-11.3990271,2.560456622,1.59590648,0.878,-5.638272164,2.09352,0.0129830874649959,5.3824,18.7149730116099,455.832759159725,129.937818826534,6.55593811314365,2.54691749290599,0.770884,31.7901129953372,4.3828259904,0.0207895824764161,0.04247343,0.03798676,0.065276352,0.0375,0.037764738,0.16,0.066814536,"080310A",2.42,0.534026106056135
"080411A",1.635483747,1.75,4.20932562,21.57289018,-10.11350927,1.748188027,1.28909841,0.91,-4.578396073,1.97674,2.67480708670116,3.0625,17.7184221751884,465.38959071834,102.283069754376,3.05616137774615,1.66177471066453,0.8281,20.9617106012618,3.9075010276,0.00776276208190557,0.06043543,0.049275581,0.010296793,0,0.001645055,0.03,0.009047802,"080411A",1.03,0.307496037913213
"080516A",0.255272505,1.82,3.77452827,22.03528962,-11.12090412,0.763427994,0.94016916,1.48,-6.585026652,2.3315,0.065164051808975,3.3124,14.2470636610292,485.55398863728,123.674508446233,0.582822302022864,0.883918049415106,2.1904,43.3625760075503,5.43589225,0.0159503209161228,0.077803665,0.111057696,0.084888358,0.03,0.066814536,0.27,0.072382414,"080516A",3.2,0.6232492903979
"080607A",1.36361198,1.31,3.46298403,22.38386741,-10.0540393,1.899984563,1.7256074,1.06,-4.619788758,2.03418,1.85943763199952,1.7161,11.992258392035,501.03752022846,101.083706245944,3.6099413396383,2.97772089893476,1.1236,21.3424481685432,4.1378882724,0.0179615292332226,0.11042072,0.069659314,0.037637388,0.02,0,0.04,0.02068069,"080607A",3.036,0.605951157564873
