GRB,Redshift_crosscheck,log10T90,log10Fa,log10Ta,Alpha,Beta,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FaErr,log10TaErr,AlphaErr,BetaErr,log10FluenceErr,PhotonIndexErr,log10PeakFluxErr,is_optical
071112C,0.82,1.176091259,-11.73,2.56,0.92,0.44,1.67267,-5.522878745,1.09,20.5643192,0.903089987,,0.01,0.02,0.0,0.11,0.057905931,0.07,0.05428681,1
071117A,1.331,0.819543936,-12.456723577627482,4.193590420329333,1.0374852306009887,0.8401461949743259,2.0457,-5.619788758,1.57,22.04291793,1.053078443,,0.7742500779711383,0.5600305932385934,0.34685093304060205,0.21369394313308526,0.018095603,0.06,0.015373256,0
080310A,2.43,2.560456622,-11.7773,3.53482,1.13752,0.42,2.09352,-5.638272164,2.32,10.56142698,0.113943352,,0.03995,0.03563,0.008815,0.12,0.037764738,0.16,0.066814536,0
080319B,0.937,1.6809025575689436,-12.726804422983324,4.884884544132877,1.2111437782189904,0.7980265172983123,1.81426,-4.091514981,1.04,20.8771334,1.394451681,,0.807185481444666,0.5967349702361111,0.3530464232804401,0.21159171588704917,0.00536166,0.02,0.008755937,0
080319C,1.95,1.531478917,-12.32,3.23,2.0,0.98,1.61029,-5.443697499,1.37,21.75037415,0.716003344,,0.25,0.13,0.56,0.42,0.012063736,0.07,0.025055451,1
080330A,1.51,1.783188691,-11.98,3.52,1.13,0.42,2.25433,-6.468521083,2.53,21.69090721,-0.045757491,,0.01,0.01,0.0,0.15,0.102186937,0.45,0.096509885,1
080411A,1.03,1.748188027,-12.058349496689665,4.309218861517717,1.1605994054249744,0.8274887452456943,1.97674,-4.578396073,1.75,21.57289018,1.635483747,,0.7529677553255638,0.5808027177409858,0.33244827496519375,0.21152458362127274,0.001645055,0.03,0.009047802,0
080413A,2.43,1.662757832,-10.34,1.89,0.95,0.52,2.14652,-5.455931956,1.57,21.7642008,0.748188027,,0.04,0.06,0.04,0.37,0.012408414,0.06,0.015510517,1
080413B,1.1,0.903089987,-13.54,5.62,2.29,0.74,1.93206,-5.494850022,1.26,21.31329763,1.271841607,,0.05,0.02,0.1,0.04,0.013571703,0.27,0.018579443,1
080516A,3.2,0.763427994,-12.392277181502692,4.118466927927386,0.9744512174803255,0.9321665995636188,2.3315,-6.585026652,1.82,22.03528962,0.255272505,,0.7398635338132165,0.5892951490950096,0.34043538628104936,0.22513307934683224,0.066814536,0.27,0.072382414,0
080603A,1.69,1.77815125,-12.4,3.8,0.98,0.85,2.0146549872068964,-5.705581944980923,1.814482087566405,20.918167520087223,0.3650161039597712,,0.03,0.03,0.02,0.31,0.0419982454796969,0.1819894416659263,0.0645822859728094,1
080603B,2.6893,1.77815125,-12.2511,4.19971,1.26607,0.62115,1.83449,-5.619788758,1.21,21.31611509,0.544068044,,0.01515,0.014815,0.02688,0.06837,0.018095603,0.3,0.024816828,1
080605A,1.6403,1.301029996,-12.5404,3.52993,0.680096,0.57477,1.7467,-4.876148359,1.11,21.73808418,1.298853076,,0.0122,0.02324,0.010692,0.35333,0.006530744,0.14,0.013094306,1
080607A,3.04,1.899984563,-11.2452,2.024669,1.543158,0.98,2.03418,-4.619788758,1.31,22.38386741,1.36361198,,0.028099,0.025586,0.031343,0.0606,0.0,0.04,0.02068069,0
080710A,0.85,2.077948999,-11.7,4.01,1.52,0.8,2.00149,-5.853871964,1.47,20.89722339,0.0,,0.01,0.01,0.01,0.09,0.062042069,0.23,0.086858896,0
080810A,3.35,2.03666881,-10.4242,2.750635,1.160407,0.51,2.11482,-5.337242168,1.34,21.45079548,0.301029996,,0.019425,0.025429,0.008112,0.13,0.018882369,0.06,0.043429448,0
080905B,2.374,2.10720997,-12.084648373416636,4.0483206723606155,1.2106780706100149,0.7239524603701821,1.86248,-5.744727495,1.78,22.33533151,-0.301029996,,0.7877805255392616,0.547631686936616,0.34108879512199564,0.22651724049652475,0.048254942,0.15,0.086858896,0
080916A,0.6887,1.77815125,-12.28235664703817,4.025213013170584,0.9723741745180807,0.7976727698733941,1.88453,-5.397940009,1.17,21.7431239,0.431363764,,0.7753615271180179,0.5697643344664787,0.33102106360662253,0.21468867350777515,0.010857362,0.21,0.032169962,0
080928A,1.69,2.368584372,-12.67,4.45,2.25,1.08,2.13864,-5.602059991,1.77,21.51035195,0.322219295,,0.1,0.07,0.21,0.14,0.034743559,0.12,0.02068069,0
081007A,0.53,0.958563883,-12.93,4.83,1.26,0.27,2.102,-6.148741651,2.51,21.69605744,0.414973348,,0.09,0.07,0.09,0.11,0.04893459,0.2,0.066814536,0
081008A,1.97,2.268297087,-11.22,3.51,1.29,0.38,1.98207,-5.366531544,1.69,21.1376737,0.113943352,,0.01,0.01,0.01,0.23,0.020199743,0.07,0.033407268,0
081028A,3.038,2.414973348,-12.505866496230404,4.601675394080145,1.6937765318739892,0.8313853725771567,2.51,-5.431798276,1.25,20.90308999,-0.301029996,,0.8003378185889343,0.5891140750917494,0.3576349346674572,0.20818053828903516,0.023475377,0.38,0.086858896,0
081029A,3.85,2.431283332,-12.6223,4.599535,2.252306,1.08,1.95818,-5.677780705,1.43,21.49704581,-0.301029996,,0.095308,0.071694,0.171741,0.02,0.041361379,0.18,0.173717793,0
081203A,2.1,2.46834733,-11.7554,4.027516,1.826152,0.95,2.03508,-5.113509275,1.54,21.66176916,0.462397998,,0.126215,0.081744,0.19167,0.06,0.016920564,0.06,0.029951344,0
081221A,2.26,1.531478917,-11.808285457146912,3.670230337949768,1.1199593957346314,0.8337081408998903,2.4947,-4.742321425,1.21,21.57331844,1.260071388,,0.7816539621669456,0.5656823812786105,0.3288965836142441,0.21060803612225398,0.007198251,0.13,0.011931167,0
081228A,3.44,0.477121255,-12.9876,2.80122,1.18347,1.24,2.1182405294859867,-7.050609993,2.1,21.16936021,-0.22184875,,0.0492,0.047595,0.036055,0.285,0.0674679414874554,0.31,0.103319586082909,1
081230A,2.1,0.9072092264554434,-12.46791384874966,4.069390649417481,0.9581619286148759,0.8350943207215402,2.08621,-6.086186148,1.97,20.67248024,-0.15490196,,0.7925180021811506,0.5375318102168722,0.33295068495157565,0.21166410591139984,0.02568693,0.096969697,0.1422259707710075,0
