,Redshift_crosscheck,log10T90,log10Fa,log10Ta,Alpha,Beta,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FaErr,log10TaErr,AlphaErr,BetaErr,log10FluenceErr,PhotonIndexErr,log10PeakFluxErr,is_optical
071010A,0.99,0.77815125,-13.1705,5.172418,2.253787,0.61,2.33496,-6.698970004,2.33,22.13954852,-0.096910013,,0.060832,0.033281,0.122333,0.12,0.086858896,0.37,0.162860431,1
071010B,0.947,1.552668216,-11.8207,3.16101,0.633623,0.68,2.04061,-5.356547324,1.53,21.30047157,0.886490725,,0.0527,0.19345,0.053512,0.14,0.009870329,0.22,0.016920564,1
071020A,2.145,0.62324929,-11.7842656208962,3.38792153499291,1.07470460428169,0.799391386452891,1.59788,-5.638272164,1.11,20.99642367,0.924279286,0.581982802,0.807450333899117,0.63872433534346,0.320343154426215,0.210715313495148,0.018882369,0.05,0.015510517,0
071025A,5.0,2.376832349,-12.58,3.37,1.41,0.93,1.97502660214106,-5.187086643,1.79,21.07108335,0.204119983,,0.03,0.02,0.01,0.05,0.021297834433594,0.05,0.0778422962236166,1
071112C,0.82,1.176091259,-11.73,2.56,0.92,0.44,1.67267,-5.522878745,1.09,20.5643192,0.903089987,,0.01,0.02,0.0,0.11,0.057905931,0.07,0.05428681,1
071117A,1.331,0.819543936,-12.4567235776275,4.19359042032933,1.03748523060099,0.840146194974326,2.0457,-5.619788758,1.57,22.04291793,1.053078443,1.824859447,0.774250077971138,0.560030593238593,0.346850933040602,0.213693943133085,0.018095603,0.06,0.015373256,0
080310A,2.43,2.560456622,-11.7773,3.53482,1.13752,0.42,2.09352,-5.638272164,2.32,10.56142698,0.113943352,17.39875121,0.03995,0.03563,0.008815,0.12,0.037764738,0.16,0.066814536,0
080319B,0.937,1.68090255756894,-12.7268044229833,4.88488454413288,1.21114377821899,0.798026517298312,1.81426,-4.091514981,1.04,20.8771334,1.394451681,0.179108908,0.807185481444666,0.596734970236111,0.35304642328044,0.211591715887049,0.00536166,0.02,0.008755937,0
080319C,1.95,1.531478917,-12.32,3.23,2.0,0.98,1.61029,-5.443697499,1.37,21.75037415,0.716003344,,0.25,0.13,0.56,0.42,0.012063736,0.07,0.025055451,1
080330A,1.51,1.783188691,-11.98,3.52,1.13,0.42,2.25433,-6.468521083,2.53,21.69090721,-0.045757491,,0.01,0.01,0.0,0.15,0.102186937,0.45,0.096509885,1
080411A,1.03,1.748188027,-12.0583494966897,4.30921886151772,1.16059940542497,0.827488745245694,1.97674,-4.578396073,1.75,21.57289018,1.635483747,1.000967534,0.752967755325564,0.580802717740986,0.332448274965194,0.211524583621273,0.001645055,0.03,0.009047802,0
