"formula_idx","wins","formula"
806,1,"Response ~  (AlphaSqr+log10NHSqr+log10Ta+PhotonIndex)^2+log10PeakFlux+log10NH+log10Fa+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr"
818,1,"Response ~  (AlphaSqr+log10Fa+log10NH+PhotonIndex)^2+log10PeakFlux+log10Ta+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10NHSqr+log10FaSqr+log10T90Sqr"
825,1,"Response ~  (log10FaSqr+Alpha+log10NH+PhotonIndex)^2+log10PeakFlux+log10Ta+log10Fa+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
847,1,"Response ~  (log10FaSqr+log10TaSqr+log10NH+PhotonIndex)^2+log10PeakFlux+log10Ta+log10Fa+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
872,1,"Response ~  (log10TaSqr+log10PeakFluxSqr+log10Fa+PhotonIndex)^2+log10PeakFlux+log10Ta+log10NH+Alpha+log10T90+PhotonIndexSqr+log10NHSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
882,1,"Response ~  (log10NHSqr+log10TaSqr+log10Fa+PhotonIndex)^2+log10PeakFlux+log10Ta+log10NH+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
883,1,"Response ~  (log10FaSqr+log10TaSqr+log10Fa+PhotonIndex)^2+log10PeakFlux+log10Ta+log10NH+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
1036,1,"Response ~  (PhotonIndexSqr+log10PeakFluxSqr+log10Fa+log10Ta)^2+log10PeakFlux+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+log10NHSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
1054,1,"Response ~  (AlphaSqr+log10FaSqr+log10Fa+log10Ta)^2+log10PeakFlux+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10NHSqr+log10T90Sqr"
1062,1,"Response ~  (AlphaSqr+log10T90+Alpha+log10Ta)^2+log10PeakFlux+PhotonIndex+log10NH+log10Fa+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10NHSqr+log10FaSqr+log10T90Sqr"
