"formula_idx","wins","formula"
947,2,"Response ~  (log10FaSqr+PhotonIndexSqr+log10PeakFluxSqr+log10Ta)^2+log10PeakFlux+PhotonIndex+log10NH+log10Fa+Alpha+log10T90+log10TaSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
1024,2,"Response ~  (PhotonIndexSqr+Alpha+log10Fa+PhotonIndex)^2+log10PeakFlux+log10Ta+log10NH+log10T90+log10PeakFluxSqr+log10TaSqr+log10NHSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
1044,2,"Response ~  (log10FaSqr+log10TaSqr+log10Fa+PhotonIndex)^2+log10PeakFlux+log10Ta+log10NH+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
1697,2,"Response ~  (log10FaSqr+log10Fa+log10NH+PhotonIndex+log10PeakFlux)^2+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
1754,2,"Response ~  (log10FaSqr+log10PeakFluxSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10Ta+log10NH+Alpha+log10T90+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
1995,2,"Response ~  (log10FaSqr+PhotonIndexSqr+Alpha+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+log10T90+log10PeakFluxSqr+log10TaSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
2023,2,"Response ~  (log10T90Sqr+log10FaSqr+log10T90+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr"
2031,2,"Response ~  (log10FaSqr+PhotonIndexSqr+log10PeakFluxSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
2264,2,"Response ~  (AlphaSqr+log10FaSqr+log10Fa+PhotonIndex+log10Ta)^2+log10PeakFlux+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+log10T90Sqr"
3530,2,"Response ~  (log10FaSqr+log10T90+log10Fa+PhotonIndex+log10Ta+log10PeakFlux)^2+log10NH+Alpha+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
3798,2,"Response ~  (log10FaSqr+PhotonIndexSqr+log10T90+log10Fa+log10Ta+log10PeakFlux)^2+PhotonIndex+log10NH+Alpha+log10PeakFluxSqr+log10TaSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
7825,2,"Response ~  (log10FaSqr+log10NHSqr+log10TaSqr+log10PeakFluxSqr+log10Fa+log10NH+log10PeakFlux)^2+log10Ta+PhotonIndex+Alpha+log10T90+PhotonIndexSqr+AlphaSqr+log10T90Sqr"
30,1,"Response ~  (log10Fa+log10Ta)^2+log10PeakFlux+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
41,1,"Response ~  (log10Fa+PhotonIndex)^2+log10PeakFlux+log10Ta+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
168,1,"Response ~  (log10T90Sqr+log10PeakFluxSqr+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+log10Fa+Alpha+log10T90+log10TaSqr+PhotonIndexSqr+log10NHSqr+log10FaSqr+AlphaSqr"
