"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_bias_idx","best_bias_val","n_candidates","n_survivors","minutes","best_r_formula"
21,1069,0.3576,133,1.2795,1069,-0.4266,5,3,0.5,"Response ~  (PhotonIndexSqr+log10PeakFluxSqr+log10NHSqr+Gamma+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+log10Fluence+log10T90Sqr+GammaSqr+log10FluenceSqr"
22,267,0.3153,267,1.1519,363,-0.1189,5,3,0.5,"Response ~  (GammaSqr+log10NHSqr+log10Fluence)^2+log10NH+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10PeakFluxSqr+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
23,2422,0.1897,2422,1.1865,1408,-0.1425,5,3,0.5,"Response ~  (log10FluenceSqr+GammaSqr+PhotonIndexSqr+log10PeakFluxSqr+log10NHSqr+PhotonIndex)^2+log10NH+log10PeakFlux+log10T90+Gamma+log10Fluence+log10T90Sqr"
24,1281,0.3246,618,1.311,618,0.1834,5,3,0.5,"Response ~  (GammaSqr+log10PeakFluxSqr+log10NHSqr+Gamma+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+log10Fluence+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
25,108,0.758,108,1.1589,317,-0.1864,5,3,0.5,"Response ~  (log10PeakFluxSqr+Gamma+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+log10Fluence+log10NHSqr+PhotonIndexSqr+log10T90Sqr+GammaSqr+log10FluenceSqr"
26,886,0.3774,886,1.2375,872,-0.0766,5,3,0.5,"Response ~  (GammaSqr+log10PeakFluxSqr+log10Fluence+log10PeakFlux+log10NH)^2+PhotonIndex+log10T90+Gamma+log10NHSqr+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
27,281,0.5476,281,1.1641,281,-0.3402,5,3,0.5,"Response ~  (GammaSqr+log10PeakFluxSqr+log10NHSqr)^2+log10NH+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10Fluence+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
28,336,0.4552,336,1.0376,534,-0.009,4,2,0.5,"Response ~  (GammaSqr+log10PeakFluxSqr+log10PeakFlux+log10NH)^2+PhotonIndex+log10T90+Gamma+log10Fluence+log10NHSqr+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
29,784,0.4205,784,1.1055,422,-0.0127,5,3,0.5,"Response ~  (log10FluenceSqr+GammaSqr+log10PeakFluxSqr+log10NHSqr)^2+log10NH+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10Fluence+PhotonIndexSqr+log10T90Sqr"
30,1797,0.3927,1797,1.3041,1033,-0.4093,5,3,0.5,"Response ~  (log10PeakFluxSqr+log10Fluence+Gamma+log10T90+PhotonIndex+log10NH)^2+log10PeakFlux+log10NHSqr+PhotonIndexSqr+log10T90Sqr+GammaSqr+log10FluenceSqr"
31,419,0.1359,869,1.3989,1867,-0.0342,5,3,0.5,"Response ~  (PhotonIndexSqr+log10PeakFluxSqr+Gamma+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+log10Fluence+log10NHSqr+log10T90Sqr+GammaSqr+log10FluenceSqr"
32,372,0.4944,372,1.0266,1446,-0.1015,5,3,0.5,"Response ~  (GammaSqr+log10PeakFluxSqr+PhotonIndex+log10NH)^2+log10PeakFlux+log10T90+Gamma+log10Fluence+log10NHSqr+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
33,566,0.4687,566,1.3179,1062,-0.5722,5,3,0.5,"Response ~  (GammaSqr+log10PeakFluxSqr+log10NHSqr+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+Gamma+log10Fluence+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
34,537,0.5901,537,1.2264,537,-0.1614,5,3,0.5,"Response ~  (GammaSqr+log10NHSqr+Gamma+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+log10Fluence+log10PeakFluxSqr+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
