"","log10PeakFlux","PhotonIndex","log10NH","log10Ta","log10Fa","Alpha","Beta","log10T90","Gamma","log10Fluence","log10PeakFluxSqr","PhotonIndexSqr","log10NHSqr","log10TaSqr","log10FaSqr","AlphaSqr","BetaSqr","log10T90Sqr","GammaSqr","log10FluenceSqr","Response"
"GRB081008",0.113943352,1.69,21.1376737,3.85550833,-10.79317412,1.47398467,0.84,2.26834391395106,1.98207,-5.366531544,0.0129830874649959,2.8561,446.801249447672,14.8649444826994,116.492607584638,2.17263080739501,0.7056,5.14538411195881,3.9286014849,28.799660812747,0.472537053262077
"GRB081029",-0.301029996,1.43,21.49704581,4.48156171,-11.86327943,2.51960373,0.87,2.43136376415899,1.95818,-5.677780705,0.09061905849176,2.0449,462.122978557239,20.0843953605381,140.737398834261,6.34840295622991,0.7569,5.91152975366537,3.8344689124,32.2371937340703,0.685553652846326
"GRB081221",1.260071388,1.21,21.57331844,2.93195749,-9.354577731,1.23586126,0.991,1.53147891704226,2.4947,-4.742321425,1.58777990285625,1.4641,465.408068513644,8.5963747231671,87.5081245253211,1.52735305396879,0.982081,2.34542767334493,6.22352809,22.489612498014,0.513217600067939
"GRB081230",-0.15490196,1.97,20.67248024,3.66959365,-11.32975415,0.99376498,1.02,1.78318869107526,2.08621,-6.086186148,0.0239946172118416,3.8809,427.35143927319,13.4659175561203,128.363329099442,0.9875688354744,1.0404,3.1797619079787,4.3522721641,37.0416618281071,0.491361693834273
"GRB090102",0.740362689,1.36,21.72376179,3.15380077,-9.457174573,1.42487631,0.667,1.43136376415899,1.76997,-7.167491087,0.548136911263311,1.8496,471.921826308664,9.94645929685259,89.4381509041977,2.03027249879922,0.444889,2.04880222534739,3.1327938009,51.3729284822244,0.406028944963615
"GRB090205",-0.301029996,2.15,21.81792086,3.70655,-11.3419886,1.29089,1.01,0.944482672150169,2.03416,-6.721246399,0.09061905849176,4.6225,476.021670653223,13.7385129025,128.64070540253,1.6663969921,1.0201,0.892047517991924,4.1378069056,45.1751531560705,0.752025387323213
"GRB090424",1.851258349,1.19,21.63012977,2.99599056,-9.050609993,1.1284106,0.924,1.68124123737559,1.96315,-4.677780705,3.42715747474221,1.4161,467.86251386704,8.97595943560911,81.9135412453915,1.27331048219236,0.853776,2.8265720982522,3.8539579225,21.8816323240703,0.188647295999717
"GRB090519",-0.22184875,1.02,22.13069392,3.44619,-11.76000021,1.42452,0.63,1.80617997398389,1.46604,-5.920818754,0.0492168678765625,1.0404,489.767613380725,11.8762255161,138.2976049392,2.0292572304,0.3969,3.26228609842045,2.1492732816,35.0560947177181,0.685741738602264
"GRB090529",-0.397940009,2,21.19187281,4.472757799,-12.1873998,0.8815438,0.64,2,2.22623,-6.167491087,0.15835625076292,4,449.095473195217,20.0055623285153,148.53271388504,0.77711947131844,0.4096,4,4.9561000129,38.0379463082244,0.559308010907013
"GRB090530",0.397940009,1.61,20.90942658,3.6839464,-11.16052195,0.88610581,1.09,1.68124123737559,2.03975,-5.958607315,0.15835625076292,2.5921,437.204119904411,13.571461078073,124.557250196432,0.785183506515756,1.1881,2.8265720982522,4.1605800625,35.5050011343715,0.355259905527378
