"","log10PeakFlux","log10NH","PhotonIndex","log10Ta","log10Fa","Alpha","log10T90","log10PeakFluxSqr","log10NHSqr","PhotonIndexSqr","log10TaSqr","log10FaSqr","AlphaSqr","log10T90Sqr","Response"
"090418A",0.278753601,22.02365981,1.48,3.52813657,-10.04720756,1.52909667,1.748188027,0.0777035700704672,485.041591426609,2.1904,12.4477476565714,100.946379753721,2.33813662620509,3.05616137774615,0.416307587059883
"090423A",0.230448921,22.7516324,0.8,3.91521772,-11.2798407,1.43267533,0.989894564,0.0531067051900642,517.63677686473,0.64,15.328929795002,127.234806217376,2.05255860119061,0.97989124783675,0.966610986681934
"090424A",1.851258349,21.63012977,1.19,2.99599056,-9.050609993,1.1284106,1.681241237,3.42715747474221,467.86251386704,1.4161,8.97595943560911,81.9135412453915,1.27331048219236,2.82657209698929,0.188647295999717
"090516A",0.204119983,21.19589965,1.84,4.33113504,-11.27490548,1.76098314,2.322219295,0.0416649674599203,449.26616197287,3.3856,18.7587307347158,127.123493582934,3.10106161936426,5.3927024540703,0.708335902682263
"090519A",-0.22184875,22.13069392,1.02,3.44619,-11.76000021,1.42452,1.806179974,0.0492168678765625,489.767613380725,1.0404,11.8762255161,138.2976049392,2.0292572304,3.26228609847864,0.685741738602264
"090529A",-0.397940009,21.16590877,2,4.472757799,-12.1873998,0.8815438,1.837651558,0.15835625076292,447.995694059963,4,20.0055623285153,148.53271388504,0.77711947131844,3.37696324861983,0.559308010907013
"090530A",0.397940009,20.90942658,1.61,3.6839464,-11.16052195,0.88610581,1.681241237,0.15835625076292,437.204119904411,2.5921,13.571461078073,124.557250196432,0.785183506515756,2.82657209698929,0.355259905527378
"090618A",1.589949601,21.39200012,1.42,3.67275453,-9.640164518,1.30942861,2.05388479,2.52793973372006,457.61766913408,2.0164,13.4891258376355,92.9327719341062,1.71460328468653,4.21844273059334,0.187520720836463
"090726A",-0.15490196,22.02689264,2.25,3.58003027708395,-10.6078628013599,1.26951697854017,1.773054693,0.0239946172118416,485.183999374086,5.0625,12.8166167848378,112.526753212476,1.61167335880176,3.14372294436932,0.569373909615046
"090809A",0.041392685,21.91952315,1.34,4.56066,-11.8559,1.6367,0.73239376,0.00171335437150922,480.465495123386,1.7956,20.7996196356,140.56236481,2.67878689,0.536400619686938,0.572523097849638
"090812A",0.556302501,21.77771022,1.24,3.52924,-10.16730017,1.37252,1.824125834,0.309472472618855,474.268662426292,1.5376,12.4555349776,103.373992746882,1.8838111504,3.3274350582662,0.538070787043172
"090927A",0.301029996,21.01785522,1.8,4.20121889,-11.6716204,1.13087741,0.342422681,0.09061905849176,441.750238048881,3.24,17.6502401616928,136.226722761696,1.27888371644831,0.117253292463228,0.374748346010104
"091018A",1.012837225,21.19187281,1.77,2.89655535,-9.627087997,1.18074867,0.639486489,1.0258392443457,449.095473195217,3.1329,8.39003289561362,92.6808233019815,1.39416742170677,0.408942969613547,0.294686624279443
"091020A",0.62324929,21.70587483,1.53,2.95265011,-9.71219827,1.17417264,1.590061231,0.388439677485504,471.145002135627,2.3409,8.71814267208301,94.326795235791,1.37868138852457,2.52829471832924,0.432969290874406
"091024A",0.301029996,22.23512426,1.2,3.80224970768931,-10.17271124586,1.51626308823486,1.995196292,0.09061905849176,494.400750857641,1.44,14.4571028396234,103.484054091647,2.29905375274351,3.98080824361055,0.320146286111054
"091029A",0.255272505,21.45058625,1.46,4.30368998,-11.34678749,1.12123368,1.593286067,0.065164051808975,460.127650468689,2.1316,18.5217474439524,128.74958634322,1.25716496516634,2.53856049129633,0.574262829707027
"091109A",0.113943352,21.89596701,1.31,3.37933883,-11.14630179,1.06152816,1.681241237,0.0129830874649959,479.433371303008,1.7161,11.4199309279458,124.240043593757,1.12684203447299,2.82657209698929,0.610234175334389
"091127A",1.667452953,20.87872913,2.05,3.98466812,-9.844663963,1.39581701,0.84260924,2.78039935046842,435.921330083911,4.2025,15.8775800265443,96.9174085443909,1.94830512540534,0.709990331333378,0.173186268412274
"091208B",1.181843588,21.91211094,1.74,3.31388094,-10.18045606,1.1606541,1.173186268,1.39675426649671,480.140605846868,3.0276,10.9818068844953,103.641685589591,1.34711793984681,1.37636601942377,0.314499227973151
"100219A",-0.397940009,21.72376179,1.34,3.59028559010207,-10.9021185162828,1.54469122416844,1.274157849,0.15835625076292,471.921826308664,1.7956,12.8901506184946,118.856188143076,2.38607097802299,1.62347822416831,0.753583058892907
"100316B",0.113943352,21.41315218,2.23,3.5543767,-11.1481304,1.36246063,0.579783597,0.0129830874649959,458.523086283839,4.9729,12.6335937255029,124.280811415404,1.8562989683,0.336149019350258,0.338456493604605
"100316D",-1,21.60728985,2.29,4.66627630589122,-10.9092849180835,1.75821298481874,2.717570654,1,466.874974661913,5.2441,21.7741345629219,119.012497423923,3.09131289998522,7.38519025948199,0.0253058652647703
"100418A",0,21.79614607,2.16,5.54363,-12.48811664,1.81145,0.84509804,0,475.071983504776,4.6656,30.7318335769,155.953057214245,3.2813511025,0.714190697211842,0.21045229296202
"100425A",0.146128036,20.53466438,2.42,3.60199415,-11.50168945,0.86819371,1.568201724,0.0213534029052173,421.672441199241,5.8564,12.9743618566342,132.288860204241,0.753760318083564,2.45925664715657,0.440121603187804
"100508A",-0.397940009,20.84356974,1.23,3.80668019668111,-10.847436029809,1.15649635442718,1.716003344,0.15835625076292,434.454399506244,1.5129,14.4908141198042,117.666868420798,1.33748381780336,2.94466747661918,0.181872159010334
"100513A",-0.22184875,22.05240534,1.62,3.74522911,-11.57186521,0.96306136,1.924279286,0.0492168678765625,486.308581279661,2.6244,14.0267410863914,133.908064438408,0.92748718312505,3.70285077052867,0.761326322421457
"100621A",1.10720997,22.28454803,1.9,3.64164386,-9.804100348,0.94079321,1.803457116,1.2259139176674,496.601080901377,3.61,13.2615700030757,96.1203836336537,0.885091863982104,3.25245756925104,0.188084373714938
"100704A",0.633468456,21.52730245,1.73,3.62503495,-10.35163999,1.01294211,2.2955671,0.401282284747024,463.424750773776,2.9929,13.1408783887215,107.156450482567,1.02605171821125,5.26962831060241,0.662757831681574
