GRB,InvZphot,InvZspec,Dlogz,Zphot,Zspec,Dz,normDz,SD,z_SD,pred_max,pred_min,linpred_max,linpred_min,InvZphot_corrected,Zphot_corrected,pred_max_corrected,pred_min_corrected,linpred_max_corrected,linpred_min_corrected
070802A,0.6351,0.5378,-0.0973,3.31618449207359,2.44984831362751,-0.866336178446082,-0.251122976921595,0,0,0.653732280519506,0.608084560150048,3.50538885627389,3.05587498461929,0.6411588282671001,3.376821430799266,0.6510652843095761,0.6267951937639846,3.477806106979604,3.234432299955426
070810A,0.5323,0.5011,-0.0312,2.40643416583076,2.17029736695272,-0.236136798878033,-0.0744841166445553,0,0,0.554105099056032,0.519550900650218,2.58183106755008,2.30788879262348,0.5865018752387048,2.859240779714294,0.5980952631266916,0.5797234032122907,2.9636496795317715,2.799473354840883
071010A,0.4862,0.2989,-0.1873,2.06337384469643,0.990215022279335,-1.07315882241709,-0.539217526952458,0,0,0.510231028948389,0.444493803441141,2.23765842839381,1.78287566720974,0.4195832516762333,1.6277452013606268,0.4457682659308116,0.3741387826215206,1.791054172462298,1.366675868748643
071010B,0.3487,0.2894,-0.0593,1.23202985857428,0.9471526498539,-0.28487720872038,-0.146304507117999,0,0,0.39009577897685,0.3122837172807,1.45525033503423,1.05250260637055,0.2697586450088651,0.8610525871010617,0.3148648726662895,0.2300782433019065,1.0647376288813275,0.6985496387606211
071020A,0.3014,0.4976,0.1962,1.00170465898996,2.14485046547696,1.143145806487,0.363497666752695,0,0,0.314280444272199,0.276123811973631,1.0619609881661,0.888529668758408,0.4637364038937974,1.90895098717068,0.4705847097067395,0.4502974990135042,1.9551852450152984,1.8203142323146828
071112C,0.402,0.2601,-0.1419,1.52348077248057,0.820119908460103,-0.703360864020472,-0.386436553301339,0,0,0.426165524338313,0.370094849142771,1.6678752884181,1.34474084663701,0.3278361107206523,1.12733610376682,0.3541676756580955,0.2930711894272167,1.2603082784843278,0.9636821366697504
071117A,0.4518,0.3675,-0.0843,1.83008839178794,1.33077311528264,-0.499315276505306,-0.214227319352256,0,0,0.485347433772207,0.42289769760061,2.05736601517612,1.6478763314424,0.3820998591718154,1.4104596121712638,0.4186542669508736,0.3506069421625795,1.6221302874223644,1.2418520191489637
080310A,0.4386,0.534,0.0954,1.74536441422341,2.41979442513709,0.674430010913677,0.197213612010213,0,0,0.477892196844333,0.413977716062427,2.00533020911837,1.59404625647208,0.5366832322546519,2.4409885877155917,0.5575742026564336,0.5235919966843431,2.61055697545971,2.338812237999555
080319B,0.2375,0.2871,0.0496,0.727825980507863,0.9368678929189,0.209041912411037,0.107927811274731,0,0,0.315028562293639,0.208064326684546,1.06551599436445,0.614597689555716,0.1485913994713281,0.4079635102294485,0.2330691183886445,0.1165173036424041,0.7102874873463636,0.3077276418172887
080319C,0.526,0.4698,-0.0562,2.35737614242955,1.94985045748424,-0.407525684945307,-0.138151303199574,0,0,0.560854296492332,0.507943668543234,2.63792965030578,2.22065102007557,0.4629506650970424,1.9036927825812897,0.5009290742798168,0.4432758813998382,2.1690498753035796,1.7750823892987868
