"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_mad_idx","best_mad_val","n_candidates","minutes","best_r_formula"
11,309,0.5673,309,0.1668,267,0.1196,16,2.7,"Response ~  (PhotonIndexSqr+log10Fa+log10Ta)^2+log10PeakFlux+log10NH+PhotonIndex+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
12,2878,0.5061,932,0.1622,976,0.0936,17,2.7,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndexSqr+log10Fa+PhotonIndex)^2+log10PeakFlux+log10NH+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+log10T90Sqr"
13,663,0.6251,663,0.1342,663,0.0767,17,2.8,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+AlphaSqr+log10T90Sqr"
14,597,0.6296,597,0.133,597,0.0854,16,2.9,"Response ~  (log10FaSqr+log10Fa+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr"
15,353,0.4111,442,0.1555,4898,0.0916,17,2.9,"Response ~  (PhotonIndexSqr+Alpha+log10Fa)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
16,597,0.4061,597,0.1756,5385,0.1075,17,2.9,"Response ~  (log10FaSqr+log10Fa+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr"
17,774,0.6299,774,0.1377,774,0.0919,17,2.9,"Response ~  (log10T90Sqr+log10Fa+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr"
18,978,0.4933,978,0.1697,145,0.1047,17,2.9,"Response ~  (log10PeakFluxSqr+log10Fa+log10Ta+PhotonIndex)^2+log10PeakFlux+log10NH+Alpha+log10T90+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
19,145,0.6744,378,0.1171,145,0.0799,16,2.9,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr"
20,1769,0.6465,1769,0.1389,145,0.0949,16,3,"Response ~  (AlphaSqr+log10FaSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10NH+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr"
