"","log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","log10T90Err","Redshift_crosscheck","log10z"
"071025A",2.376832349,-10.7483037557133,3.60723936131691,1.40196947400546,0.96757955133753,1.97502660214106,-5.187086643,1.79,21.07108335,0.204119983,88.09086218,0.845514484790761,0.479661086558661,0.268068733221128,0.19008162469404,0.021297834433594,0.05,0.0778422962236166,0.160650774235707,5,0.778151250383644
"071112C",1.176091259,-10.3461501353973,3.24685664084216,1.16868187290275,0.848367271757572,1.67267,-5.522878745,1.09,20.5643192,0.903089987,3.69174647,0.904446039087905,0.518009046244631,0.265425982613987,0.172051394341565,0.057905931,0.07,0.05428681,0.106887008047491,0.82,0.260071387985075
"071117A",0.819543936,-11.23542972,3.901990464,1.104952391,0.94,2.0457,-5.619788758,1.57,22.04291793,1.053078443,1.824859447,0.101024385,0.117162967,0.089387802,0.01,0.018095603,0.06,0.015373256,0.120079755643196,1.331,0.367542273520577
"080310A",2.560456622,-11.3990271,4.32608056,1.59590648,0.878,2.09352,-5.638272164,2.32,21.06857952,0.113943352,17.39875121,0.04247343,0.03798676,0.065276352,0.0375,0.037764738,0.16,0.066814536,0.0207895824764161,2.42,0.534026106056135
"080319B",1.68090255756894,-12.15181088,5.36799912,1.42250979,0.73,1.81426,-4.091514981,1.04,20.8771334,1.394451681,0.179108908,0.097779455,0.087626454,0.075139905,0,0.00536166,0.02,0.008755937,0.00162180613819454,0.937,0.287129620719111
"080319C",1.531478917,-10.6822628133741,3.55022350403823,1.67799727675387,0.938066200015019,1.61029,-5.443697499,1.37,21.75037415,0.716003344,1.824859447,0.917229005112509,0.522864767215619,0.389193366943707,0.202197877930226,0.012063736,0.07,0.025055451,0.0233095996517126,1.95,0.469822015978163
"080330A",1.783188691,-10.5146823488703,3.61779283726065,1.25523741091828,0.851531520680157,2.25433,-6.468521083,2.53,21.69090721,-0.045757491,3.778168861,0.866852928215097,0.525718088172777,0.267117176189114,0.176758751377948,0.102186937,0.45,0.096509885,0.0270319256724107,1.51,0.399673721481038
"080411A",1.748188027,-10.11350927,4.20932562,1.28909841,0.91,1.97674,-4.578396073,1.75,21.57289018,1.635483747,1.000967534,0.06043543,0.049275581,0.010296793,0,0.001645055,0.03,0.009047802,0.00776276208190557,1.03,0.307496037913213
"080413B",0.903089987,-11.168209202489,4.37642100674536,1.81864142533356,0.907123031664302,1.93206,-5.494850022,1.26,21.31329763,1.271841607,5.865069501,0.942321804873536,0.519421510387592,0.316172736808313,0.164019249380587,0.013571703,0.27,0.018579443,0.318395915027013,1.1,0.322219294733919
"080516A",0.763427994,-11.12090412,3.77452827,0.94016916,1.48,2.3315,-6.585026652,1.82,22.03528962,0.255272505,0.213016433,0.077803665,0.111057696,0.084888358,0.03,0.066814536,0.27,0.072382414,0.0159503209161228,3.2,0.6232492903979
"080603A",1.77815125,-10.7788840826963,3.73469319385068,1.20667646070509,0.934250255128602,2.0146549872069,-5.70558194498092,1.8144820875664,20.9181675200872,0.365016103959771,2.819384324,0.921194199276174,0.506837833371978,0.269537194705939,0.176343554061835,0.0419982454796969,0.181989441665926,0.0645822859728094,0.0204073842559895,1.69,0.429752280002408
"080603B",1.77815125,-10.7327663516347,3.86759495300107,1.3249050024208,0.894451033155736,1.83449,-5.619788758,1.21,21.31611509,0.544068044,11.73673073,0.912466447488495,0.507891037016446,0.257334710763915,0.177154382473695,0.018095603,0.3,0.024816828,0.0849532899354341,2.6893,0.566943971856554
"080607A",1.899984563,-10.0540393,3.46298403,1.7256074,1.06,2.03418,-4.619788758,1.31,22.38386741,1.36361198,3.285061929,0.11042072,0.069659314,0.037637388,0.02,0,0.04,0.02068069,0.0179615292332226,3.036,0.605951157564873
"080710A",2.077948999,-11.23284413,4.09266933,1.52133785,1.3,2.00149,-5.853871964,1.47,20.89722339,0,17.43704666,0.06269498,0.054210787,0.06401643,0.150517844,0.062042069,0.23,0.086858896,0.063286086716648,0.845,0.265996370495079
"080810A",2.03666881,-9.931814138,3.2687548,1.44529526,1.079,2.11482,-5.337242168,1.34,21.45079548,0.301029996,4.337190332,0.031830706,0.039738688,0.036139295,0.0015,0.018882369,0.06,0.043429448,0.0173110727824034,3.35,0.638489256954637
"080905B",2.10720997,-10.11125904,3.67820615,1.36946226,0.375,1.86248,-5.744727495,1.78,22.33533151,-0.301029996,28.05833332,0.03236457,0.038825489,0.033301752,0.00558525,0.048254942,0.15,0.086858896,0.0951998384562338,2.374,0.528145078253106
"080916A",1.77815125,-10.75269955,3.60698,0.998947,0.83,1.88453,-5.397940009,1.17,21.7431239,0.431363764,6.325897569,0.0592,0.073495,0.0260505,0.01,0.010857362,0.21,0.032169962,0.0457883734954798,0.6887,0.227552503379865
