"","log10Ta","PhotonIndex","log10Fa","log10PeakFlux","Alpha","log10NH","Beta","log10T90","Gamma","log10Fluence","log10TaSqr","PhotonIndexSqr","log10FaSqr","log10PeakFluxSqr","AlphaSqr","log10NHSqr","BetaSqr","log10T90Sqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10Ta_opt","PhotonIndex_opt","log10Fa_opt","log10PeakFlux_opt","Alpha_opt","log10NH_opt","Beta_opt","log10T90_opt","Gamma_opt","log10Fluence_opt","Redshift_crosscheck","log10z"
"080810A",3.2687548,1.34,-9.931814138,0.301029996,1.44529526,21.45079548,1.079,2.03666881,2.11482,-5.337242168,10.684757942523,1.7956,98.6409320717767,0.09061905849176,2.08887838857847,460.136626724788,1.164241,4.14801984162682,4.4724636324,28.4861539598773,0.0173110727824034,0.031830706,0.039738688,0.036139295,0.0015,0.018882369,0.06,0.0434294480000001,"080810A",0,0,0,0,0,0,0,0,0,0,0,3.35,0.638489256954637
"080928A",4.08450503,1.77,-11.1260984,0.322219295,1.76031774,21.51035195,0.99,2.368584372,2.13864,-5.602059991,16.6831813400953,3.1329,123.790065606483,0.103825274070297,3.09871854575871,462.695241012869,0.9801,5.61019192728263,4.5737810496,31.3830761427629,0.0386609346233468,0.064484035,0.047916769,0.075970735,0,0.034743559,0.12,0.0206806900000001,"080928A",0,0,0,0,0,0,0,0,0,0,0,1.692,0.430075055551939
"081007A",3.58176278,2.51,-10.58502665,0.414973348,1.00469263,21.69605744,0.92,0.958563883,2.102,-6.148741651,12.8290246121933,6.3001,112.04278918121,0.172202879550329,1.00940728077632,470.718908439779,0.8464,0.918844717792038,4.418404,37.8070238907422,0.140327919478768,0.053161115,0.084284398,0.039134851,0.005,0.048934589,0.2,0.066814536,"081007A",0,0,0,0,0,0,0,0,0,0,0,0.5295,0.184549481320698
"081008A",3.85550833,1.69,-10.79317412,0.113943352,1.47398467,21.1376737,0.84,2.268297087,1.98207,-5.366531544,14.8649444826994,2.8561,116.492607584638,0.0129830874649959,2.17263080739501,446.801249447672,0.7056,5.14517167489269,3.9286014849,28.799660812747,0.0944643171466364,0.06052989,0.056285684,0.063988679,0.025,0.020199743,0.07,0.0334072679999999,"081008A",0,0,0,0,0,0,0,0,0,0,0,1.9685,0.472537053262077
"081029A",4.48156171,1.43,-11.86327943,-0.301029996,2.51960373,21.49704581,0.87,2.431283332,1.95818,-5.677780705,20.0843953605381,2.0449,140.737398834261,0.09061905849176,6.34840295622991,462.122978557239,0.7569,5.91113864046102,3.8344689124,32.2371937340703,0.0734942688403521,0.083250805,0.04285341,0.169198521,0.001,0.0413613789999999,0.18,0.173717793,"081029A",0,0,0,0,0,0,0,0,0,0,0,3.8479,0.685553652846326
"081221A",2.93195749,1.21,-9.354577731,1.260071388,1.23586126,21.57331844,0.991,1.531478917,2.4947,-4.742321425,8.5963747231671,1.4641,87.5081245253211,1.58777990285625,1.52735305396879,465.408068513644,0.982081,2.34542767321549,6.22352809,22.489612498014,0.0102431891789539,0.0249855,0.031176651,0.012861856,5e-04,0.00719825100000001,0.13,0.011931167,"081221A",0,0,0,0,0,0,0,0,0,0,0,2.26,0.513217600067939
"081230A",3.66959365,1.97,-11.32975415,-0.15490196,0.99376498,20.67248024,1.02,0.907209226455443,2.08621,-6.086186148,13.4659175561203,3.8809,128.363329099442,0.0239946172118416,0.9875688354744,427.35143927319,1.0404,0.823028580565883,4.3522721641,37.0416618281071,0.740704337003766,0.0701444,0.08735027,0.040381418,0.02,0.02568693,0.096969697,0.142225970771008,"081230A",0,0,0,0,0,0,0,0,0,0,0,2.1,0.491361693834273
"090102A",3.15380077,1.36,-9.457174573,0.740362689,1.42487631,21.72376179,0.667,1.432006687,1.76997,-7.167491087,9.94645929685259,1.8496,89.4381509041977,0.548136911263311,2.03027249879922,471.921826308664,0.444889,2.05064315161272,3.1327938009,51.3729284822244,0.0359770577590371,0.036239983,0.041590346,0.021786596,0.002673458,0.019160051,0.08,0.063170107,"090102A",0,0,0,0,0,0,0,0,0,0,0,1.547,0.406028944963615
"090205A",3.70655,2.15,-11.3419886,-0.301029996,1.29089,21.81792086,1.01,0.944482672,2.03416,-6.721246399,13.7385129025,4.6225,128.64070540253,0.09061905849176,1.6663969921,476.021670653223,1.0201,0.89204751770826,4.1378069056,45.1751531560705,0.0885407574117407,0.13445,0.114585,0.084185,0.025,0.0685728129999999,0.23,0.086858896,"090205A",0,0,0,0,0,0,0,0,0,0,0,4.6497,0.752025387323213
"090423A",3.91521772,0.8,-11.2798407,0.230448921,1.43267533,22.7516324,0.77,0.989894564,1.8158,-6.229147988,15.328929795002,0.64,127.234806217376,0.0531067051900642,2.05255860119061,517.63677686473,0.5929,0.97989124783675,3.29712964,38.8022846564045,0.047195797531391,0.08569564,0.077643595,0.064053366,0.005,0.029443694,0.5,0.051093469,"090423A",0,0,0,0,0,0,0,0,0,0,0,8.26,0.966610986681934
"090424A",2.99599056,1.19,-9.050609993,1.851258349,1.1284106,21.63012977,0.924,1.681241237,1.96315,-4.677780705,8.97595943560911,1.4161,81.9135412453915,3.42715747474221,1.27331048219236,467.86251386704,0.853776,2.82657209698929,3.8539579225,21.8816323240703,0.0205611924585667,0.011257098,0.013394814,0.005546887,0,0,0.15,0.012233647,"090424A",0,0,0,0,0,0,0,0,0,0,0,0.544,0.188647295999717
"090519A",3.44619,1.02,-11.76000021,-0.22184875,1.42452,22.13069392,0.63,1.806179974,1.46604,-5.920818754,11.8762255161,1.0404,138.2976049392,0.0492168678765625,2.0292572304,489.767613380725,0.3969,3.26228609847864,2.1492732816,35.0560947177181,0.0559162050267847,0.21145,0.24029,0.3065,0.03,0.036191207,0.2,0.144764827,"090519A",0,0,0,0,0,0,0,0,0,0,0,3.85,0.685741738602264
