"","log10PeakFlux","log10Ta","log10NH","log10Fa","PhotonIndex","log10T90","Alpha","log10PeakFluxSqr","log10TaSqr","log10NHSqr","log10FaSqr","PhotonIndexSqr","log10T90Sqr","AlphaSqr","Beta","Gamma","log10Fluence","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","FluenceErr","PhotonIndexErr","PeakFluxErr","log10T90Err","log10FluenceErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"80",1.635483747,4.20932562,21.57289018,-10.11350927,1.75,1.7481880270062,1.28909841,2.67480708670116,17.7184221751884,465.38959071834,102.283069754376,3.0625,3.05616137776783,1.66177471066453,0.91,1.97674,-4.578396073,1.0009675337169,0.0604354300000001,0.049275581,0.010296793,0,6.06060606060606e-08,0.0181818181818182,0.545454545454546,0.00776276207959923,0.000997002942546105,0.00548351618331015,"080411",1.03,0.307496037913213
"83",0.414973348,4.21762911,21.51787914,-11.17198494,1.73,1.20951501454263,0.99269763,0.172202879550329,17.7883953095194,463.019122683647,124.813247499587,2.9929,1.46292657040406,0.985448584607617,0.681597854713511,2.03541,-5.920818754,2.18311336401004,0.0281809649999998,0.038388523,0.020935069,0.0755,6.06060606060606e-08,0.0545454545454545,0.121212121212121,0.0585255609480744,0.0219340647449938,0.0202468289917981,"080430",0.767,0.247236549506764
"86",0,4.09266933,20.89722339,-11.23284413,1.47,2.07918124604762,1.52133785,0,16.7499422447226,436.693945411563,126.176787248875,2.1609,4.32299465391615,2.31446885384262,1.3,2.00149,-5.853871964,17.4370466608647,0.0626949799999998,0.054210787,0.0640164304999999,0.1505178435,1.21212121212121e-07,0.139393939393939,0.121212121212121,0.0631067762125255,0.0376012538165791,0.0526417553822122,"080710",0.845,0.265996370495079
"88",-0.301029996,3.67820615,22.33533151,-10.11125904,1.78,2.10720996964787,1.36946226,0.09061905849176,13.5292004818978,498.867033661599,102.237559373982,3.1684,4.44033385618337,1.87542688156431,0.375,1.86248,-5.744727495,28.0583333245587,0.0323645699999995,0.038825489,0.0333017515,0.00558525,1.21212121212121e-07,0.0909090909090909,0.0606060606060606,0.0951998385488904,0.0292454196637412,0.0526417554229419,"080905B",2.374,0.528145078253106
"90",0.322219295,4.08450503,21.51035195,-11.1260984,1.77,2.44715803134222,1.76031774,0.103825274070297,16.6831813400953,462.695241012869,123.790065606483,3.1329,5.98858243036273,3.09871854575871,0.99,2.13864,-5.602059991,20.8004346174656,0.0644840350000004,0.047916769,0.075970735,0,1.21212121212121e-07,0.0727272727272727,0.0606060606060606,0.0322625499126953,0.0210567021369837,0.0125337512738,"080928",1.692,0.430075055551939
"92",0.414973348,3.58176278,21.69605744,-10.58502665,2.51,1,1.00469263,0.172202879550329,12.8290246121933,470.718908439779,112.04278918121,6.3001,1,1.00940728077632,0.92,2.102,-6.148741651,2.93713330647929,0.053161115,0.084284398,0.039134851,0.0049999999999999,4.84848484848485e-08,0.121212121212121,0.242424242424242,0.127558078761821,0.0296573269567103,0.0404936579835962,"081007",0.5295,0.184549481320698
"94",0.113943352,3.85550833,21.1376737,-10.79317412,1.69,2.26834391395106,1.47398467,0.0129830874649959,14.8649444826994,446.801249447672,116.492607584638,2.8561,5.14538411195884,2.17263080739501,0.84,1.98207,-5.366531544,40.3441495698351,0.0605298899999998,0.056285684,0.063988679,0.025,1.21212121212121e-07,0.0424242424242424,0.0606060606060606,0.0944541322655462,0.0122422686816868,0.0202468290074633,"081008",1.9685,0.472537053262077
"98",0.462397998,4.02089,21.66176916,-10.9243983,1.54,2.46834733041216,1.86904,0.213811908554408,16.1675563921,469.232243141127,119.342478217043,2.3716,6.09273854355282,3.4933105216,0.82,2.03508,-5.113509275,82.9698740507662,0.0569499999999996,0.03932,0.064395,0.0325,1.81818181818182e-07,0.0363636363636364,0.121212121212121,0.122562443756652,0.0102548874161921,0.0181523294379188,"081203A",2.1,0.491361693834273
"99",1.260071388,2.93195749,21.57331844,-9.354577731,1.21,1.53147891704226,1.23586126,1.58777990285625,8.5963747231671,465.408068513644,87.5081245253211,1.4641,2.34542767334492,1.52735305396879,0.991,2.4947,-4.742321425,0.801917699762502,0.0249854999999997,0.031176651,0.0128618564999999,5e-04,1.81818181818182e-07,0.0787878787878788,0.303030303030303,0.0102431891749236,0.00436257641157646,0.00723101035445099,"081221",2.26,0.513217600067939
"100",-0.15490196,3.66959365,20.67248024,-11.32975415,1.97,1.78318869107526,0.99376498,0.0239946172118416,13.4659175561203,427.35143927319,128.363329099442,3.8809,3.17976190797869,0.9875688354744,1.02,2.08621,-6.086186148,13.7743084089789,0.0701443999999993,0.08735027,0.0403814179999999,0.02,4.84848484848485e-08,0.096969696969697,0.0606060606060606,0.0985519956186671,0.0256789050871822,0.0376012538456717,"081230",2.1,0.491361693834273
"101",0.740362689,3.15380077,21.72376179,-9.457174573,1.36,1.43136376415899,1.42487631,0.548136911263311,9.94645929685259,471.921826308664,89.4381509041977,1.8496,2.04880222534738,2.03027249879922,0.667,1.76997,-7.167491087,2.24000000357628,0.0362399829999998,0.041590346,0.0217865955,0.0026734575,1.81818181818182e-09,0.0484848484848485,0.484848484848485,0.0360303570746831,0.0116121519146922,0.038284913048815,"090102",1.547,0.406028944963615
"103",0.278753601,3.52813657,22.02365981,-10.04720756,1.48,1.7481880270062,1.52909667,0.0777035700704672,12.4477476565714,485.041591426609,100.946379753721,2.1904,3.05616137776783,2.33813662620509,0.98,2.03408,-5.337242168,4.12921107301137,0.028659405,0.030759021,0.0421545135,0.003531332,1.21212121212121e-07,0.0424242424242424,0.181818181818182,0.0320230997075472,0.0114438598573077,0.0415592805603905,"090418A",1.608,0.416307587059883
"104",1.851258349,2.99599056,21.63012977,-9.050609993,1.19,1.68124123737559,1.1284106,3.42715747474221,8.97595943560911,467.86251386704,81.9135412453915,1.4161,2.8265720982522,1.27331048219236,0.924,1.96315,-4.677780705,2.27250697020751,0.0112570984999998,0.013394814,0.0055468865,0,0,0.0909090909090909,1.21212121212121,0.0205611924426625,0,0.00741433173917757,"090424",0.544,0.188647295999717
"105",0.397940009,3.6839464,20.90942658,-11.16052195,1.61,1.68124123737559,0.88610581,0.15835625076292,13.571461078073,437.204119904411,124.557250196432,2.5921,2.8265720982522,0.785183506515756,1.09,2.03975,-5.958607315,35.7770876399966,0.0891756250000002,0.115365029,0.0385142015,0.035,6.06060606060606e-08,0.103030303030303,0.181818181818182,0.323703994596241,0.023928070636996,0.0315850532054756,"090530",1.266,0.355259905527378
"107",1.589949601,3.67275453,21.39200012,-9.640164518,1.42,2.05384642685225,1.30942861,2.52793973372006,13.4891258376355,457.61766913408,92.9327719341062,2.0164,4.21828514509377,1.71460328468653,0.8945,1.82831,-3.978810701,0.593538562159812,0.0096952545000004,0.014245613,0.010591616,0.0024826615,6.06060606060606e-07,0.0484848484848485,0.484848484848485,0.00227712475567841,0.00250675025669951,0.00541303397652361,"090618",0.54,0.187520720836463
"109",0.556302501,3.52924,21.77771022,-10.16730017,1.24,1.82412583391655,1.37252,0.309472472618855,12.4555349776,474.268662426292,103.373992746882,1.5376,3.32743505796175,1.8838111504,0.53,1.88559,-5.236572006,14.6583733159175,0.10615,0.13258,0.08412,0.015,1.21212121212121e-07,0.0303030303030303,0.121212121212121,0.0954430381526363,0.00907616471193707,0.0146227098205568,"090812",2.452,0.538070787043172
"110",0.301029996,4.20121889,21.01785522,-11.6716204,1.8,0.342422680822206,1.13087741,0.09061905849176,17.6502401616928,441.750238048881,136.226722761696,3.24,0.117253292341467,1.27888371644831,0.92,2.06549,-6.698970004,0.400898977948906,0.076268475,0.093241949,0.074843971,0.01,1.81818181818182e-08,0.121212121212121,0.121212121212121,0.0791400972381197,0.0394813165061122,0.0263208776707413,"090927",1.37,0.374748346010104
"112",1.012837225,2.89655535,21.19187281,-9.627087997,1.77,0.643452676486187,1.18074867,1.0258392443457,8.39003289561362,449.095473195217,92.6808233019815,3.1329,0.414031346877238,1.39416742170677,0.91,1.98015,-5.853871964,0.601065703889731,0.0242886034999996,0.034497878,0.016335114,0.002061639,6.06060606060606e-08,0.145454545454545,0.242424242424242,0.0593271632865009,0.0188006269082896,0.0102217000672768,"091018",0.971,0.294686624279443
"114",0.62324929,2.95265011,21.70587483,-9.71219827,1.53,1.53907609879278,1.17417264,0.388439677485504,8.71814267208301,471.145002135627,94.326795235791,2.3409,2.36875523787519,1.37868138852457,0.895,2.08587,-5.431798276,4.87503886377992,0.0344806870000003,0.045271255,0.018244861,0.0021828874999999,6.06060606060606e-08,0.0424242424242424,0.181818181818182,0.0611908230521248,0.00711375072842337,0.0188006269394438,"091020",1.71,0.432969290874406
"117",1.667452953,3.98466812,20.87872913,-9.844663963,2.05,0.851258348719075,1.39581701,2.78039935046842,15.8775800265443,435.921330083911,96.9174085443909,4.2025,0.724640776263927,1.94830512540534,0.758,1.80187,-5.045757491,0.150359555029189,0.0185625155000002,0.021935207,0.0135873089999999,0.00244132,1.81818181818182e-07,0.0424242424242424,1.63636363636364,0.00919722888036692,0.00877362590591064,0.0152830902683826,"091127",0.49,0.173186268412274
"119",1.181843588,3.31388094,21.91211094,-10.18045606,1.74,1.17318626841227,1.1606541,1.39675426649671,10.9818068844953,480.140605846868,103.641685589591,3.0276,1.37636602039112,1.34711793984681,0.86,2.03333,-5.48148606,2.89772326829494,0.036806415,0.052928177,0.030502454,0.034663611,1.21212121212121e-07,0.0666666666666667,0.606060606060606,0.084460753389473,0.0159520470810336,0.0173163668998415,"091208B",1.063,0.314499227973151
"120",0.113943352,3.5543767,21.41315218,-11.1481304,2.23,0.57978359661681,1.36246063,0.0129830874649959,12.6335937255029,458.523086283839,124.280811415404,4.9729,0.336149018905924,1.8562989683,1.08,2.23535,-6.698970004,0.445223531811273,0.10431242,0.207348761,0.13322096,0.02,1.21212121212121e-08,0.109090909090909,0.0606060606060606,0.0508837165997665,0.0263208776707414,0.0202468290074633,"100316B",1.18,0.338456493604605
