"","log10Ta","log10PeakFlux","log10NH","log10Fa","Alpha","PhotonIndex","log10T90","Gamma","Beta","log10Fluence","log10TaSqr","log10PeakFluxSqr","log10NHSqr","log10FaSqr","AlphaSqr","PhotonIndexSqr","log10T90Sqr","GammaSqr","BetaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"050525A",3.54258782619238,0.322219295,20.98677173,-10.4128117747282,1.31655952668039,1.53,0.857935264719429,1.89482,0.848179628060498,-5.920818754,12.5499285062865,0.103825274070297,440.444587647127,108.426649055918,1.73332898729289,2.3409,0.736052918449197,3.5903428324,0.719408681456845,35.0560947177181,0.0352171865714314,2.04531595465086,0.723552458748726,0.473795531499366,0.240728004266814,0.0159520470810336,0.066666667,0.0438681294132183,"050525A",0.61,0.20682587603185
"050603A",3.99828776536953,0.176091259,21.69224395,-10.4862647533429,1.69901021729769,0.92,1.58771096501891,2.06183,0.916948112666877,-5.974694135,15.9863050547037,0.0310081314962051,470.553447586312,109.961748477202,2.88663571848196,0.8464,2.52082610844128,4.2511429489,0.840793841323347,35.6969700068034,0.0335671166680867,2.05876157755797,0.761281736685634,0.499855824293642,0.254202581113617,0.0120881068052489,0.066666667,0.0404936579440628,"050603A",2.82,0.582063362911709
"050730A",4.05018,-0.259637311,21.73850309,-10.09854168,2.38763,1.53,2.19451434188247,1.6177,0.5615,-5.623423043,16.4039580324,0.0674115332633107,472.562516593939,101.980544062697,5.7007770169,2.3409,4.81589319672784,2.61695329,0.31528225,31.6228867205434,0.0500432094352208,0.0266,0.017795,0.0538,0.000210492,0.0168099723091123,0.066666667,0.0669985979550667,"050730A",3.967,0.696094159995223
"050801A",3.32542924393881,1.324282455,21.63012977,-10.1246253619139,1.38958788525874,1.31,0.698970004336019,1.8158,0.875367168486276,-5.619788758,11.0584796564434,1.75372402062083,467.86251386704,102.50803871911,1.93095449085785,1.7161,0.488559066961494,3.29712964,0.76626767966368,31.5820256845432,0.0965452753437635,1.99552123286837,0.708188611113501,0.477239273091976,0.250824983509403,0.00731135491027843,0.024242424,0.018994447849191,"050801A",1.38,0.376576957056512
"050802A",3.63973,0.439332694,21.25883595,-10.28650946,1.44729,1.54,1.27875360095283,1.8557,0.8585,-5.698970004,13.2476344729,0.193013216017298,451.938105949012,105.812276870669,2.0946483441,2.3716,1.63521077194983,3.44362249,0.73702225,32.4782591064918,0.233102740892789,0.0275,0.0326,0.03274,0.002369606,0.020661888971532,0.078787879,0.0421134043419523,"050802A",1.7102,0.433001340945038
"050803A",4.21721,-0.017728767,21.34755638,-10.86012091,1.52234,1.38,1.94398887507377,2.11696,1.218,-5.66756154,17.7848601841,0.000314309179340289,455.718163397279,117.942226179819,2.3175190756,1.9044,3.77909274641059,4.4815196416,1.483524,32.1212538096872,0.0515724807439485,0.0489,0.04766,0.048695,0.22485626,0.0165270627330643,0.066666667,0.0301593391746037,"050803A",3.5,0.653212513775344
"050820A",3.750945731,0.389166084,21.61964524,-10.01818139,1.136499703,1.25,1.41497334797082,1.96878,0.9,-5.463441557,14.0695938769071,0.151450240935895,467.409060303455,100.363958362942,1.29163157491909,1.5625,2.00214957546775,3.8760946884,0.81,29.8491936467546,0.378773543216465,0.266741013,0.238477529,0.012525701,0.0405,0.0185164313807078,0.072727273,0.0247093953343968,"050820A",2.6147,0.558072259099146
"050824A",5.08558,-0.301029996,20.9708274,-12.23882419,0.954481,2.76,1.3541084391474,1.94709,0.86,-6.575118363,25.8631239364,0.09061905849176,439.775601840591,149.788817553729,0.911033979361,7.6176,1.83360966497021,3.7911594681,0.7396,43.2321814874598,0.0782292570058625,0.06855,0.12722,0.0899785,0.01,0.0514543473223617,0.23030303,0.0789626332133755,"050824A",0.8278,0.261928672990642
"050826A",4.76235,-0.420216403,21.96085591,-12.33348202,1.801,1.16,1.55022835305509,2.45742,1.11,-6.384049948,22.6799775225,0.176581825350258,482.279192299782,152.114778737663,3.243601,1.3456,2.40320794661591,6.0389130564,1.2321,40.7560937385588,0.0717511921200946,0.23405,0.13858,0.23538,0.03,0.0458862758416538,0.187878788,0.0900451080536063,"050826A",0.297,0.11293997608408
"050904A",4.6841,-0.207608311,22.39388568,-11.4544,1.20052929,1.25,2.24104815067164,1.90813,0.848,-5.316052869,21.94079281,0.0431012107962727,501.486115848909,131.20327936,1.4412705761479,1.5625,5.0222968136288,3.6409600969,0.719104,28.2604181060031,0.0268161033458331,0.29485,0.098475,0.624745,0,0.00980902273641476,0.042424242,0.072170148569444,"050904A",6.29,0.862727528317975
"050908A",3.55591116840679,0.28780173,20.65703194,-10.7795944819464,1.21612385063083,1.73,1.22788670461367,1.97351,1.05288581479576,-6.229147988,12.6445042376001,0.0828298357909929,426.71296857018,116.19965719521,1.47895722007317,2.9929,1.50770575936703,3.8947417201,1.10856853899814,38.8022846564045,0.0298708467608446,2.11122754625572,0.725130405203723,0.470746915180213,0.298871644680668,0.00533531304621856,0.018181818,0.096509884965017,"050908A",3.34,0.637489729512511
"050922C",2.52429,0.860936621,21.44930866,-9.477555766,1.22035,1.37,0.653212513775344,2.2119,1.064,-5.790484985,6.3720400041,0.741211865378898,460.072841991951,89.8240632976399,1.4892541225,1.8769,0.426686588152704,4.89250161,1.132096,33.5297163615105,0.0434736059021067,0.03194,0.034305,0.013275,0.013,0.0087736258877956,0.036363636,0.0116014887850822,"050922C",2.198,0.504878459410216
"051016B",4.25742,0.113943352,21.71466751,-11.59006688,1.14771,2.4,0.602059991327962,1.89482,0.73,-6.769551079,18.1256250564,0.0129830874649959,471.52678506985,134.329650282873,1.3172382441,5.76,0.362476233157826,3.5903428324,0.5329,45.8268218111901,0.0509829165954318,0.04535,0.058175,0.04854,0.005,0.0340623123358059,0.139393939,0.0323949264220647,"051016B",0.9364,0.286995073968852
"051028A",3.84618828247263,0.387389826,21.7153121,-10.9649949432857,1.31374659638913,1.97,2.2417954312952,2.11482,0.940937118924916,-5.886056648,14.7931643042298,0.15007087728831,471.554779600406,120.231114106281,1.72593011952401,3.8809,5.02564675577603,4.4724636324,0.885362661770721,34.645662863465,0.0658325115046647,2.14728359319875,0.752456712933578,0.477502748211572,0.26177896363666,0.0142275014568467,0.036363636,0.0507946764616626,"051028A",3.6,0.662757831681574
"051109A",3.91123,0.595496222,21.97057233,-10.51999306,1.22299,1.51,1.5705429398819,2.06584,1.06,-5.657577319,15.2977201129,0.354615750416273,482.706048507762,110.670253982448,1.4957045401,2.2801,2.46660512601287,4.2676949056,1.1236,32.0081811204632,0.0827679937571121,0.04815,0.04637,0.019155,0.054794381,0.0325421760411363,0.121212121,0.046094938049931,"051109A",2.346,0.524525936626376
"051109B",3.65548,-0.259637311,21.36742302,-11.57511836,1.251,1.97,1.15533603746506,2.12549,1.06,-6.591760035,13.3625340304,0.0674115332633107,456.566766515626,133.983365048009,1.565001,3.8809,1.33480135946547,4.5177077401,1.1236,43.4513003590232,0.114743908253916,0.0922,0.126645,0.12217,0.01,0.0421545307074316,0.145454545,0.0622129838718209,"051109B",0.08,0.0334237554869497
"051111A",3.37375609906919,1.851258349,22.27837171,-10.0964978536916,1.30051175936873,1.47,1.28600712207947,1.81479,0.88656203807336,-4.920818754,11.3822302160065,3.42715747474221,496.325846048928,101.939268909599,1.69133083625636,2.1609,1.65381431803913,3.2934627441,0.785992247352791,24.2144572097181,0.0933217274145018,1.99080097835284,0.711285650061575,0.47314769407126,0.247290770673454,0.000997002942546105,0.03030303,0.0181523294061522,"051111A",1.55,0.406540180433955
"060115A",3.69688,-0.060480747,21.43355223,-11.29499204,0.889919,1,2.14488541828714,2.10553,1,-5.76700389,13.6669217344,0.00365792075767801,459.397161196138,127.576845183663,0.791955826561,1,4.60053345758081,4.4332565809,1,33.2583338672751,0.0469357822433229,0.0812,0.123015,0.053884,0.085,0.0230884892235729,0.303030303,0.0363046589885454,"060115A",3.53,0.656098202012832
"060124A",4.47599,-0.050609993,21.9172644,-10.6893,1.3641,1.84,2.8750612633917,2.00895,0.99,-6.336299075,20.0344864801,0.00256137139146005,480.366478779507,114.26113449,1.86076881,3.3856,8.26597726825548,4.0358801025,0.9801,40.1486859678459,0.000756704468657758,0.04445,0.036665,0.01627,0.076380116,0.0302604450950157,0.115151515,0.0532332356918798,"060124A",2.296,0.517987203025078
