log10T90,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FluenceErr,PhotonIndexErr,log10PeakFluxErr,Redshift_crosscheck,GRB
1.053078443,2.01015,-6.171984936,1.74,22.49782636,0.130333768,1.095536415,0.030974941,0.12,0.057905931,4.41,060223A
2.13255996245349,2.28823,-5.671620397,1.8,21.61973178,0.775974331,3.518840719,0.01457843,0.060606061,0.0488439909307915,1.559,060306A
2.158362492,1.94118,-5.079354999,1.7,21.65363309,0.814247596,45.254834,0.013190457,0.06,0.023313354,1.489,060418A
1.45331834,2.02719,-5.63638802,1.46,21.45692297,0.227886705,9.827838,0.019176639,0.08,0.053965586,1.5026,060502A
2.43964843,2.1317,-5.390405591,1.78,22.00215742,-0.244125144,21.28954544,0.018780302,0.08,0.083811216,4.9,060510B
0.92890769,2.70163,-6.634512015,2.48,20.24962877,-0.055517328,32.58849643,0.074878359,0.3,0.098703291,0.44,060512A
2.47444938,1.90677,-5.899629455,2.01,21.1872488303853,0.222716471,23.04821868,0.056871896,0.24,0.046810184,3.221,060526A
1.977723605,2.1711,-6.395773947,2.01,21.99003057,-0.468521083,17.0,0.11451546,0.42,0.166053773,2.1357,060604A
2.059904056,2.02128,-6.156767222,1.55,21.77333803,-0.337242168,35.01416491,0.056078197,0.2,0.113294213,3.78,060605A
2.009450896,1.61002,-5.59345982,1.47,21.79614607,0.146128036,3.69174647,0.019074895,0.08,0.040327345,3.07,060607A
2.036229544,1.89544,-4.690369833,2.02,20.51216256,1.06069784,3.31042292,0.007727887,0.04,0.027945906,0.125,060614A
1.820857989,2.09345,-5.795880017,0.6,21.20847898,0.004321374,6.314200491,0.040986542,0.363636364,0.098898743,3.425,060707A
1.008600172,2.20484,-6.306273051,1.68,20.79066861,0.28780173,3.601244236,0.032528129,0.12,0.031340839,1.92,060708A
2.060660074,2.04425,-5.548213564,1.93,22.0125926,0.10720997,9.129365384,0.025627978,0.11,0.044108033,2.711,060714A
2.062017599,1.92492,-5.583359493,1.75,20.86562801,0.068185862,33.90346061,0.035109631,0.14,0.048254942,0.54,060729A
2.162265614,2.11591,-4.835647144,1.53,22.00679538,0.861534411,4.898458524,0.007109341,0.03,0.017323989,1.9229,060814A
2.234264124,2.18877,-5.790484985,1.64,21.59122827,0.387389826,1.330335293,0.038335871,0.14,0.037377804,0.7,060904B
1.638489257,2.07859,-5.655607726,2.03,22.41960057,0.294466226,8.166987204,0.026725814,0.11,0.061727135,3.686,060906A
1.285557309,2.13395,-5.552841969,1.0,21.80952201,0.481442629,1.330335293,0.017216674,0.181818182,0.035832878,1.8836,060908A
0.698970004,1.8948,-5.869666232,1.74,21.36738202,0.933487288,0.58,0.019945376,0.09,0.022271512,0.937,060912A
0.903089987,2.00443,-6.659555885,2.54,22.50004427,0.037426498,1.212679677,0.049576996,0.23,0.055780943,3.2,060926A
1.352953912,1.94856,-5.946921557,0.9,22.10710478,0.431363764,1.294276634,0.026134535,0.242424242,0.027344467,5.47,060927A
1.876852648,1.99824,-4.35261703,1.03,21.74186197,1.164352856,0.297321378,0.005497151,0.03,0.011006093,1.26,061007A
1.664641976,1.99282,-5.528708289,1.3,20.87141063,0.78604121,5.398832468,0.014818832,0.06,0.019191409,0.3463,061021A
1.90982337,1.90181,-4.863279433,1.41,21.75351565,1.324282455,46.12748458,0.006308365,0.03,0.009468031,1.314,061121A
2.281033367,1.9269241917552,-5.169411331,1.32,21.38058204,0.989449818,1.095536415,0.0190994093843814,0.06,0.0246693811930976,1.1588,061126A
1.853698212,1.92748,-5.097453221,1.35,22.56660835,0.930949031,16.0,0.008588051,0.04,0.013237581,2.088,061222A
1.946550511,2.08596,-5.790484985,1.58,21.3989672,-0.22184875,14.47803302,0.028952965,0.12,0.086858896,2.352,070110A
1.77815125,1.95142632719767,-5.49527903539734,1.66719216524827,21.1168251059769,0.461366700396796,1.212679677,0.0330719907495403,0.177142407809118,0.0593602352348791,1.55,070125A
1.806179974,2.20341,-6.351639989,1.94,21.8647258,-0.045757491,22.627417,0.098570208,0.36,0.106160873,1.165,070208A
1.9408513687054,2.25837,-5.769551079,1.85,21.70173804,-0.161150909,8.08530616,0.018572476,0.072727273,0.130844061722848,1.6295,070223A
2.321184027,1.94468,-5.269217724,1.66,22.44245468,0.609594409,64.76757163,0.02308703,0.1,0.022408315,1.4959,070306A
2.089021501,2.2428,-5.568636236,1.72,22.32139542,-0.040958608,4.086802216,0.02493172,0.1,0.062042069,2.95,070411A
1.320146286,1.82568,-4.707743929,1.1,21.89306622,1.382017043,0.735923906,0.006049102,0.060606061,0.010992516,0.82,070508A
1.57863921,2.00022,-5.096367484,1.1,22.27524914,0.814913181,2.819384324,0.009596769,0.121212121,0.017957046,2.0865,070521A
2.038222638,1.97999,-5.590066877,1.34,22.56252244,0.155336037,19.9827799,0.041401614,0.16,0.109332877,2.4996,070529A
2.566790912,1.97567939099548,-4.974694135,1.69,21.2559971173378,0.178976947,0.647,0.024623678,0.1,0.109292651,0.671,070612A
1.806179974,2.07429,-6.142667504,1.36,21.64321572,0.431363764,8.408797283,0.05428681,0.19,0.032169962,0.923,070714B
2.531478917,1.52512,-5.443697499,1.34,21.89473409,0.176091259,21.32020684,0.024127471,0.11,0.086858896,3.626,070721B
1.214843848,1.99014,-6.552841969,1.79,21.91375294,-0.397940009,3.019812592,0.077552586,0.27,0.108573621,2.45,070802A
1.16168428403346,1.37246,-7.0,1.69,20.80619355,0.079181246,0.271528985,0.026318246,0.133333333,0.016256930519715,0.2187,070809A
1.041392685,2.17076,-6.161150909,2.04,21.93100401,0.278753601,4.99064124,0.037764738,0.14,0.045715209,2.17,070810A
2.170643023,1.91015,-5.080921908,1.36,20.86974084,0.799340549,4.494400066,0.015697391,0.07,0.027574253,1.60435,071003A
0.77815125,2.33496,-6.698970004,2.33,22.13954852,-0.096910013,18.03329907,0.086858896,0.37,0.162860431,0.99,071010A
1.552668216,2.04061,-5.356547324,1.53,21.30047157,0.886490725,6.325897569,0.009870329,0.22,0.016920564,0.947,071010B
0.62324929,1.59788,-5.638272164,1.11,20.99642367,0.924279286,0.581982802,0.018882369,0.05,0.015510517,2.145,071020A
2.376832349,1.97502660214106,-5.187086643,1.79,21.07108335,0.204119983,1.212679677,0.021297834433594,0.05,0.0778422962236166,5.0,071025A
1.176091259,1.67267,-5.522878745,1.09,20.5643192,0.903089987,0.400898978,0.057905931,0.07,0.05428681,0.82,071112C
0.819543936,2.0457,-5.619788758,1.57,22.04291793,1.053078443,1.824859447,0.018095603,0.06,0.015373256,1.331,071117A
2.560456622,2.09352,-5.638272164,2.32,22.01715025,0.113943352,17.39875121,0.037764738,0.16,0.066814536,2.42,080310A
1.68090255756894,1.81426,-4.091514981,1.04,20.8771334,1.394451681,0.179108908,0.00536166,0.02,0.008755937,0.937,080319B
1.531478917,1.61029,-5.443697499,1.37,21.75037415,0.716003344,2.27250697,0.012063736,0.07,0.025055451,1.95,080319C
1.783188691,2.25433,-6.468521083,2.53,21.69090721,-0.045757491,3.773539953,0.102186937,0.45,0.096509885,1.51,080330A
1.748188027,1.97674,-4.578396073,1.75,21.57289018,1.635483747,1.000967534,0.001645055,0.03,0.009047802,1.03,080411A
0.903089987,1.93206,-5.494850022,1.26,21.31329763,1.271841607,20.80043462,0.013571703,0.27,0.018579443,1.1,080413B
