"log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","log10Fa_native","log10Ta_native","Alpha_native","Beta_native","Redshift_crosscheck","is_optical","GRB"
1.531478917,-9.354577731,2.93195749,1.23586126,0.991,2.4947,-4.742321425,1.21,21.57331844,1.260071388,-9.32192587897464,1.57539962385724,1.04011461163314,1.71078704696547,2.26,0,"081221A"
0.477121255,-10.9265341850558,3.37145690541835,1.30627017284479,0.948812901759482,2.11824052948599,-7.050609993,2.1,21.16936021,-0.22184875,-12.9876,2.80122,1.18347,1.24,3.44,1,"081228A"
0.907209226455443,-11.32975415,3.66959365,0.99376498,1.02,2.08621,-6.086186148,1.97,20.67248024,-0.15490196,-13.9331609235654,3.62759265853916,0.537268471207929,2.02174565730217,2.1,0,"081230A"
1.432006687,-9.457174573,3.15380077,1.42487631,0.667,1.76997,-7.167491087,1.36,21.72376179,0.740362689,-9.56144785217351,2.1925944669178,1.43270836968171,-1.76337122024448,1.547,0,"090102A"
0.944482672,-11.3419886,3.70655,1.29089,1.01,2.03416,-6.721246399,2.15,21.81792086,-0.301029996,-13.9617233973012,3.73040969513518,1.15441207015445,1.91451855028951,4.6497,0,"090205A"
1.893872679,-10.2750974013515,3.61735205955917,1.18760574958508,0.923746981702793,2.07619,-5.853871964,1.91,22.44115763,-0.096910013,-11.4731,3.487381,0.938086,1,3.38,1,"090313A"
1.748188027,-10.04720756,3.52813657,1.52909667,0.98,2.03408,-5.337242168,1.48,22.02365981,0.278753601,-10.9389353317458,3.2340419488201,1.64917929513223,1.59283722925155,1.608,0,"090418A"
0.989894564,-11.2798407,3.91521772,1.43267533,0.77,1.8158,-6.229147988,0.8,22.7516324,0.230448921,-13.8166332819723,4.31094853632615,1.44890732617166,-0.658932018014153,8.26,0,"090423A"
1.681241237,-9.050609993,2.99599056,1.1284106,0.924,1.96315,-4.677780705,1.19,21.63012977,1.851258349,-8.61228461736004,1.75354737117389,0.816934190739679,0.9923654299807,0.544,0,"090424A"
1.806179974,-11.76000021,3.44619,1.42452,0.63,1.46604,-5.920818754,1.02,22.13069392,-0.22184875,-14.9376107998319,3.00605667736856,1.43196829590489,-2.16011151619129,3.85,0,"090519A"
1.837651558,-12.1873998,4.472757799,0.8815438,0.64,2.22623,-6.167491087,2,20.842422,-0.397940009,-15.9354153242751,5.86209248604766,0.304179440525743,-2.05288440917864,2.625,0,"090529A"
1.681241237,-11.16052195,3.6839464,0.88610581,1.09,2.03975,-5.958607315,1.61,20.90942658,0.397940009,-13.5380724424523,3.66752374540254,0.313654964565523,2.77233540639074,1.266,0,"090530A"
2.05388479,-9.640164518,3.67275453,1.30942861,0.8945,1.82831,-3.978810701,1.42,21.39200012,1.589949601,-9.98865508241117,3.63638660909531,1.19291769480654,0.676045464293373,0.54,0,"090618A"
1.773054693,-10.5914459251334,3.56533160944221,1.26283515561348,0.953317422847414,2.4288,-6.065501549,2.25,22.02689264,-0.15490196,-12.2265,3.354189,1.086752,1.3,2.71,1,"090726A"
0.73239376,-11.8559,4.56066,1.6367,0.96,1.94644,-6.468521083,1.34,21.91952315,0.041392685,-15.1614978755194,6.10664704344004,1.87267681928832,1.37838301522625,2.737,0,"090809A"
1.824125834,-10.16730017,3.52924,1.37252,0.53,1.88559,-5.236572006,1.24,21.77771022,0.556302501,-11.2193028201896,3.23711182457058,1.32396168257687,-3.23238258631782,2.452,0,"090812A"
0.342422681,-11.6716204,4.20121889,1.13087741,0.92,2.06549,-6.698970004,1.8,21.01785522,0.301029996,-14.7312798244385,5.1066383910438,0.822057879082443,0.949474587175639,1.37,0,"090927A"
0.639486489,-9.627087997,2.89655535,1.18074867,0.91,1.98015,-5.853871964,1.77,21.19187281,1.012837225,-9.9581267147593,1.47690658750605,0.925642992447845,0.842247480162986,0.971,0,"091018A"
1.590061231,-9.71219827,2.95265011,1.17417264,0.895,2.08587,-5.431798276,1.53,21.70587483,0.62324929,-10.1568246486436,1.63296899604382,0.911984247650856,0.681406819644007,1.71,0,"091020A"
1.995196292,-10.1641599753581,3.79420173278937,1.52125637829585,0.894638177333763,1.49013,-5.214670165,1.2,22.23512426,0.301029996,-11.21,3.97,1.63,0.64,1.09,1,"091024A"
1.593286067,-11.34678749,4.30368998,1.12123368,1.064,2.11535,-5.619788758,1.46,21.45058625,0.255272505,-13.9729268571695,5.39172536014556,0.802027367214177,2.49354492815784,2.752,0,"091029A"
1.681241237,-11.14630179,3.37933883,1.06152816,0.89,1.96352,-5.795880017,1.31,21.89596701,0.113943352,-13.5048741420367,2.82006863492452,0.678016001595175,0.62779326613768,3.076,0,"091109A"
0.84260924,-9.844663963,3.98466812,1.39581701,0.758,1.80187,-5.045757491,2.05,20.87872913,1.667452953,-10.4660782625951,4.50416795107918,1.37235074316858,-0.787604546429337,0.49,0,"091127A"
1.173186268,-10.18045606,3.31388094,1.1606541,0.86,2.03333,-5.48148606,1.74,21.91211094,1.181843588,-11.2500164822337,2.63795686599636,0.883905560678946,0.306111945099721,1.063,0,"091208B"
1.274157849,-10.8901436479531,3.57904633378434,1.53758127913373,0.95188933509596,1.58721,-6.431798276,1.34,21.05996459,-0.397940009,-12.92,3.37,1.67,1.27,4.67,1,"100219A"
0.579783597,-11.1481304,3.5543767,1.36246063,1.08,2.23535,-6.698970004,2.23,21.41315218,0.113943352,-13.5091432039968,3.30704516495195,1.30306786554007,2.66510829937808,1.18,0,"100316B"
2.717570654,-10.901989967454,4.66754766224549,1.75922124454362,0.91830617143679,2.49431,-6.522878745,2.29,21.60728985,-1,-12.9424,6.41,2.12,0.94,0.06,1,"100316D"
0.84509804,-12.48811664,5.54363,1.81145,0.84,2.26662,-6.468521083,2.16,22.12127744,0,-16.6374670588785,8.84138850093758,2.23564135157814,0.0916577310744156,0.6235,0,"100418A"
1.568201724,-11.50168945,3.60199415,0.86819371,1.46,2.17077,-6.327902142,2.42,20.53466438,0.146128036,-14.334560045758,3.43952267150385,0.276450632669508,6.73973836585889,1.755,0,"100425A"
