"formula_idx","wins","formula","r","rmse","bias"
1046,1,"Response ~  (log10T90Sqr+log10NHSqr+log10Fa+PhotonIndex)^2+log10PeakFlux+log10NH+log10Ta+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr",0.51,0.15,-0.23
1119,1,"Response ~  (log10T90Sqr+log10FaSqr+log10PeakFluxSqr+PhotonIndex)^2+log10PeakFlux+log10NH+log10Ta+log10Fa+Alpha+log10T90+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr",0.67,0.15,0.07
1135,1,"Response ~  (log10T90Sqr+log10FaSqr+PhotonIndexSqr+PhotonIndex)^2+log10PeakFlux+log10NH+log10Ta+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+AlphaSqr",0.57,0.16,-0.24
1319,1,"Response ~  (log10FaSqr+log10TaSqr+log10PeakFluxSqr+log10Fa)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+Alpha+log10T90+log10NHSqr+PhotonIndexSqr+AlphaSqr+log10T90Sqr",0.34,0.18,-0.29
1487,1,"Response ~  (log10FaSqr+log10Fa+PhotonIndex+log10NH+log10PeakFlux)^2+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.44,0.18,0.0046
1532,1,"Response ~  (log10FaSqr+log10Fa+log10Ta+log10NH+log10PeakFlux)^2+PhotonIndex+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.46,0.18,-0.18
1598,1,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10NH+log10PeakFlux)^2+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.44,0.17,-0.098
2057,1,"Response ~  (log10T90Sqr+log10FaSqr+log10TaSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+AlphaSqr",0.46,0.17,-0.14
2819,1,"Response ~  (log10TaSqr+PhotonIndexSqr+Alpha+log10Fa+PhotonIndex)^2+log10PeakFlux+log10NH+log10Ta+log10T90+log10PeakFluxSqr+log10NHSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.44,0.18,-0.23
3006,1,"Response ~  (AlphaSqr+log10FaSqr+log10TaSqr+PhotonIndexSqr+PhotonIndex)^2+log10PeakFlux+log10NH+log10Ta+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+log10T90Sqr",0.37,0.18,-0.31
3306,1,"Response ~  (log10T90Sqr+log10FaSqr+PhotonIndexSqr+log10T90+log10Fa)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+Alpha+log10PeakFluxSqr+log10NHSqr+log10TaSqr+AlphaSqr",0.43,0.16,-0.27
4927,1,"Response ~  (log10T90Sqr+log10FaSqr+log10T90+log10Fa+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+Alpha+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr",0.59,0.16,-0.18
8422,1,"Response ~  (log10T90Sqr+AlphaSqr+log10T90+Alpha+log10Fa+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr",0.45,0.21,-0.014
8739,1,"Response ~  (log10T90Sqr+log10FaSqr+PhotonIndexSqr+log10T90+log10Fa+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+Alpha+log10PeakFluxSqr+log10NHSqr+log10TaSqr+AlphaSqr",0.52,0.17,0.055
