GRB,Redshift_crosscheck,log10T90,log10Fa,log10FaErr,log10Ta,log10TaErr,Alpha,AlphaErr,Beta,BetaErr,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,FluenceErr,PhotonIndexErr,PeakFluxErr
090530A,1.266,1.681241237,-11.16052195,0.089175625,3.6839464,0.115365029,0.88610581,0.038514202,1.09,0.035,2.03975,-5.958607315,1.61,20.90942658,0.397940009,35.77708764,1.0000000113713698e-07,0.17,0.3000000012144137
090618A,0.54,2.05388479,-9.640164518,0.009695255,3.67275453,0.014245613,1.30942861,0.010591616,0.8945,0.002482662,1.82831,-3.978810701,1.42,21.39200012,1.589949601,0.593538562,1.0000000184824134e-06,0.08,0.7999999945125539
090809A,2.737,0.73239376,-11.8559,0.338,4.56066,0.237865,1.6367,0.319405,0.96,0.01,1.94644,-6.468521083,1.34,21.91952315,0.041392685,1.216253263,5.0000000328635685e-08,0.24,0.19999999974143037
090812A,2.452,1.824125834,-10.16730017,0.10615,3.52924,0.13258,1.37252,0.08412,0.53,0.015,1.88559,-5.236572006,1.24,21.77771022,0.556302501,14.65837332,2.00000003008931e-07,0.05,0.1999999983096543
090927A,1.37,0.342422681,-11.6716204,0.076268475,4.20121889,0.093241949,1.13087741,0.074843971,0.92,0.01,2.06549,-6.698970004,1.8,21.01785522,0.301029996,0.400898978,2.999999989173935e-08,0.2,0.19999999927826256
091018A,0.971,0.639486489,-9.627087997,0.024288603,2.89655535,0.034497878,1.18074867,0.016335114,0.91,0.002061639,1.98015,-5.853871964,1.77,21.19187281,1.012837225,0.601065704,9.999999871481455e-08,0.24,0.39999999736729425
091020A,1.71,1.590061231,-9.71219827,0.034480687,2.95265011,0.045271255,1.17417264,0.018244861,0.895,0.002182887,2.08587,-5.431798276,1.53,21.70587483,0.62324929,4.875038864,1.0000000253969446e-07,0.07,0.2999999956473182
091029A,2.752,1.593286067,-11.34678749,0.02563352,4.30368998,0.034224003,1.12123368,0.026782025,1.064,0.002,2.11535,-5.619788758,1.46,21.45058625,0.255272505,4.829610314,9.999999778609708e-08,0.27,0.09999999907745596
091127A,0.49,0.84260924,-9.844663963,0.018562516,3.98466812,0.021935207,1.39581701,0.013587309,0.758,0.00244132,1.80187,-5.045757491,2.05,20.87872913,1.667452953,0.150359555,3.0000000528956076e-07,0.07,2.7000000061210643
050416A,0.6528,0.397940009,-10.5559552,0.0484,2.99481,0.070765,0.842217,0.0149485,0.9,0.005,2.06183,-6.435333936,3.08,21.75162856,0.688419822,0.44407209,3.699999972196831e-08,0.22,0.47999999973552054
