"","log10Ta","log10NH","log10PeakFlux","log10Fa","PhotonIndex","Gamma","log10T90","Alpha","Beta","log10Fluence","log10TaSqr","log10NHSqr","log10PeakFluxSqr","log10FaSqr","PhotonIndexSqr","GammaSqr","log10T90Sqr","AlphaSqr","BetaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"050416A",2.99481,21.75162856,0.688419822,-10.5559552,3.08,2.06183,0.397940008672038,0.842217,0.9,-6.435333936,8.9688869361,473.133345012208,0.473921851322512,111.428190184407,9.4864,4.2511429489,0.158356250501901,0.709329475089,0.81,41.4135228678333,0.0771432233016977,0.0484,0.070765,0.0149485,0.005,0.0265360347448561,0.133333333,0.0258893879011433,"050416A",0.6528,0.218220304175545
"050502A",3.73887129255741,21.36742302,0.72427587,-10.7825903790659,2.06,2.02179,1.50514997831991,1.4781504985866,0.887860682680306,-5.337242168,13.9791585423099,456.566766515626,0.524575535864257,116.264255282724,4.2436,4.0876348041,2.26547645723641,2.18492889647183,0.788296591849538,28.4861539598773,0.0815374132522222,0.795733741185874,0.600030608877632,0.329118591135277,0.22334946716977,0.0457754394646476,0.58,0.0526417553674108,"050502A",3.79,0.680335513414563
"050502B",3.71594367996181,22.0746007,0.612783857,-10.6845299680413,1.94,2.00022,1.2148438480477,1.4414121596325,0.909572941995981,-5.443697499,13.8082374326481,487.287996064441,0.375504055399796,114.159180637973,3.7636,4.0008800484,1.47584557513934,2.07766901393644,0.827322936811224,29.6338424606189,0.0559978453466017,0.800554078057697,0.594999156714632,0.335208964189468,0.218574216236772,0.0219340647449938,0.024242424,0.0789626332133755,"050502B",3.793,0.680607428991788
"050505A",4.270583544,22.23063027,0.267171728,-11.04817696,1.41,2.01835,1.7701152947871,1.462094791,0.973,-5.603800653,18.2378838062836,494.20092220144,0.071380732242506,122.062214139475,1.9881,4.0737367225,3.13330815683923,2.13772117786933,0.946729,31.4025817585632,0.0504266082816271,0.03272177,0.030067592,0.035926291,5e-04,0.018921434167657,0.072727273,0.0441052545788047,"050505A",4.27,0.721810615212547
"050525A",3.59469903921604,22.3877421,0.146128036,-10.3779343534828,2.54,2.20942,2,1.26194205360202,0.84638496330514,-5.76700389,12.9218611825407,501.210996336112,0.0213534029052173,107.701521445198,6.4516,4.8815367364,4,1.59249774664928,0.716367506109044,33.2583338672751,0.0249820977867784,0.794369946480704,0.603825221968328,0.32456833033212,0.223474770656689,0.0354526107425099,0.060606061,0.100638650276148,"050525A",0.61,0.20682587603185
"050603A",3.97330171494176,21.91722026,1.1430148,-10.4545489776926,2.04,1.90402,2.12710479836481,1.70421669898736,0.923270245649369,-5.070581074,15.7871265179591,480.364543925354,1.30648283301904,109.297594326973,4.1616,3.6252921604,4.52457482322659,2.90435455710736,0.852427946501447,25.710792428007,0.00197833385893328,0.777899093766972,0.601670270384861,0.329748180967531,0.225563606023124,0.0457754394646476,0.115151515,0.065802194705171,"050603A",2.82,0.582063362911709
"050730A",4.05018,21.73850309,-0.259637311,-10.09854168,1.53,1.6177,2.19451434188247,2.38763,0.5615,-5.623423043,16.4039580324,472.562516593939,0.0674115332633107,101.980544062697,2.3409,2.61695329,4.81589319672784,5.7007770169,0.31528225,31.6228867205434,0.0500432094352208,0.0266,0.017795,0.0538,0.000210492,0.0168099723091123,0.066666667,0.0669985979550667,"050730A",3.967,0.696094159995223
"050801A",3.3971919739385,22.05240534,0.86332286,-10.0934488994198,1.13,1.93554,2.04571405894087,1.35431697756137,0.875134262289035,-4.443697499,11.5409133077922,486.30858127966,0.74532636059858,101.877710685199,1.2769,3.7463150916,4.18494601094832,1.83417447571097,0.765859977032173,19.7464474626189,0.0942443169455569,0.799137700501466,0.606108727053697,0.321808884124022,0.235280946103468,0.0457754394646476,0.066666667,0.065802194705171,"050801A",1.56,0.40823996531185
"050802A",3.63973,21.25883595,0.439332694,-10.28650946,1.54,1.8557,1.27875360095283,1.44729,0.8585,-5.698970004,13.2476344729,451.938105949012,0.193013216017298,105.812276870669,2.3716,3.44362249,1.63521077194983,2.0946483441,0.73702225,32.4782591064918,0.233102740892789,0.0275,0.0326,0.03274,0.002369606,0.020661888971532,0.078787879,0.0421134043419523,"050802A",1.7102,0.433001340945038
"050803A",4.21721,21.34755638,-0.017728767,-10.86012091,1.38,2.11696,1.94398887507377,1.52234,1.218,-5.66756154,17.7848601841,455.718163397279,0.000314309179340289,117.942226179819,1.9044,4.4815196416,3.77909274641059,2.3175190756,1.483524,32.1212538096872,0.0515724807439485,0.0489,0.04766,0.048695,0.22485626,0.0165270627330643,0.066666667,0.0301593391746037,"050803A",3.5,0.653212513775344
