"","log10Ta","log10NH","log10Fa","PhotonIndex","log10PeakFlux","Alpha","log10T90","Beta","Gamma","log10Fluence","log10TaSqr","log10NHSqr","log10FaSqr","PhotonIndexSqr","log10PeakFluxSqr","AlphaSqr","log10T90Sqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"060502A",3.3865,21.45692297,-10.55284197,1.46,0.227886705,0.897152,1.45331834004704,0.87,2.02719,-5.63638802,11.46838225,460.399543340514,111.362473643793,2.1316,0.051932350315757,0.804881711104,2.11213419751708,0.7569,4.1094992961,31.7688699119995,0.150287880719686,0.05675,0.075085,0.0205255,0.015,0.0116222057308489,0.048484848,0.0327064159666924,"060502A",1.5026,0.398391440229475
"060510B",4.43617,22.00215742,-12.2656,1.78,-0.244125144,1.00735,2.43964842956347,1.38,2.1317,-5.390405591,19.6796042689,484.094931134461,150.44494336,3.1684,0.0595970859330207,1.0147540225,5.95188445987152,1.9044,4.54414489,29.0564724354841,0.033597137016063,0.2206,0.31628,0.2313695,0.03,0.0113820011696242,0.048484848,0.0507946764616626,"060510B",4.9,0.770852011642144
"060512A",3.71997873096253,21.71466751,-10.6747154883862,1.54,0.688419822,1.09177175828786,1.59328606702046,0.88336526940305,1.78537,-5.443697499,13.8382417588136,471.52678506985,113.949550757993,2.3716,0.473921851322512,1.19196557219496,2.53856049136152,0.780334199187522,3.1875460369,29.6338424606189,0.202660966173494,0.806728923192389,0.594713899043324,0.332948331201959,0.219292858465085,0.0501350050952,0.121212121,0.144764827428965,"060512A",0.44,0.15836249209525
"060526A",3.8752,22.27837171,-11.3053948,2.01,0.222716471,1.05873,2.47450763911698,0.93,1.90677,-5.899629455,15.01717504,496.325846048928,127.811951583867,4.0401,0.0496026264546938,1.1209092129,6.12318805604827,0.8649,3.6357718329,34.8056277063036,0.0335671166680867,0.06785,0.09216,0.0623145,0.0305,0.034467816033398,0.145454545,0.0283698082758142,"060526A",3.221,0.625415352154408
"060604A",4.45991,21.99003057,-11.76955108,2.01,-0.468521083,1.21596,1.97772360528885,1.02,2.1711,-6.395773947,19.8907972081,483.561444469534,138.522332624729,4.0401,0.219512005215493,1.4785587216,3.91139065891672,1.0404,4.71367521,40.905924381124,0.0777158546563713,0.04195,0.04994,0.04695,0,0.0694033093482565,0.254545455,0.100638650276148,"060604A",2.1357,0.496334505996816
"060605A",4.04162,21.77333803,-11.26121944,1.55,-0.337242168,1.9179,1.89817648349768,0.835,2.02128,-6.156767222,16.3346922244,474.078248968644,126.815063275834,2.4025,0.11373227987734,3.67834041,3.6030739625036,0.697225,4.0855728384,37.9057826258936,0.192243471667048,0.05315,0.037375,0.085,0.10149311,0.0339867861224412,0.121212121,0.0686631594013328,"060605A",3.78,0.679427896612119
"060607A",4.37412,21.79614607,-11.02273379,1.47,0.146128036,1.92622006,2.00945089579869,0.564,1.61002,-5.59345982,19.1329257744,475.071983504776,121.500660205208,2.1609,0.0213534029052173,3.7103237195464,4.03789290262617,0.318096,2.5921644004,31.2867927579544,0.132029607628865,0.0761,0.02584,0.163115,0.012077154,0.0115605423699981,0.048484848,0.0244408150465787,"060607A",3.0749,0.610116955411928
"060614A",5.03344,20.51216256,-11.78251606,2.02,1.06069784,1.9453,2.03622954408629,0.783,1.89544,-4.690369833,25.3355182336,420.748812887866,138.827684704158,4.0804,1.12507990778067,3.78419209,4.14623075620988,0.613089,3.5926927936,21.9995691703164,0.0132262962918312,0.0429,0.0289,0.05983,0.006,0.00468356794668692,0.024242424,0.0169369125967137,"060614A",0.125,0.0511525224473813
"060707A",3.5545,21.20847898,-10.9132,0.6,0.004321374,0.861995,1.8208579894397,1.12,2.09345,-5.795880017,12.63447025,449.799580645102,119.09793424,0.36,1.8674273247876e-05,0.743035380025,3.31552381770639,1.2544,4.3825329025,33.5922251714599,0.0414232995600016,0.07695,0.127895,0.0364485,0.035,0.0248403283013014,0.363636364,0.0599386321664952,"060707A",3.425,0.645913275033844
"060708A",3.50569,20.79066861,-10.86966623,1.68,0.28780173,1.12969,1.00860017176192,1.485,2.20484,-6.306273051,12.2898623761,432.251901250839,118.149643951602,2.8224,0.0828298357909929,1.2761994961,1.01727430647817,2.205225,4.8613194256,39.7690797937688,0.153333382321636,0.06115,0.062725,0.028525,0.33410152,0.019714017700399,0.072727273,0.018994447849191,"060708A",1.92,0.465382851448418
"060714A",3.73449,22.0125926,-10.86012091,1.93,0.10720997,1.20488,2.06069784035361,0.87,2.04425,-5.548213564,13.9464155601,484.554232973575,117.942226179819,3.7249,0.0114939776674009,1.4517358144,4.24647558923804,0.7569,4.1789580625,30.7826737517536,0.0344768087786936,0.0352,0.046765,0.035305,0.005,0.0155321080197879,0.066666667,0.0267321414553261,"060714A",2.711,0.569490954348783
