"","Redshift_crosscheck","T90","log10Fluence","log10PeakFlux","PhotonIndex","log10NH","Gamma","log10Fa","log10Ta","Alpha","Beta","log10TaErr","BetaErr","AlphaErr","T90Err","FluenceErr","PeakFluxErr","PhotonIndexErr","log10FaErr"
"GRB090530",1.266,48,-5.958607315,0.397940009,1.61,20.90942658,2.03975,-11.16052195,3.6839464,0.88610581,1.09,0.115365029,0.035,0.038514202,35.77708764,6.06060606060606e-08,0.181818182,0.103030303,0.089175625
"GRB090618",0.54,113.2,-3.978810701,1.589949601,1.42,21.39200012,1.82831,-9.640164518,3.67275453,1.30942861,0.8945,0.014245613,0.002482662,0.010591616,0.593538562,6.06060606060606e-07,0.484848485,0.048484848,0.009695255
"GRB090809",2.737,5.4,-6.468521083,0.041392685,1.34,21.91952315,1.94644,-11.8559,4.56066,1.6367,0.96,0.237865,0.01,0.319405,1.216253263,3.03030303030303e-08,0.121212121,0.145454545,0.338
"GRB090812",2.452,66.7,-5.236572006,0.556302501,1.24,21.77771022,1.88559,-10.16730017,3.52924,1.37252,0.53,0.13258,0.015,0.08412,14.65837332,1.21212121212121e-07,0.121212121,0.03030303,0.10615
"GRB090927",1.37,2.2,-6.698970004,0.301029996,1.8,21.01785522,2.06549,-11.6716204,4.20121889,1.13087741,0.92,0.093241949,0.01,0.074843971,0.400898978,1.81818181818182e-08,0.121212121,0.121212121,0.076268475
"GRB091018",0.971,4.4,-5.853871964,1.012837225,1.77,21.19187281,1.98015,-9.627087997,2.89655535,1.18074867,0.91,0.034497878,0.002061639,0.016335114,0.601065704,6.06060606060606e-08,0.242424242,0.145454545,0.024288603
"GRB091020",1.71,34.6,-5.431798276,0.62324929,1.53,21.70587483,2.08587,-9.71219827,2.95265011,1.17417264,0.895,0.045271255,0.002182887,0.018244861,4.875038864,6.06060606060606e-08,0.181818182,0.042424242,0.034480687
"GRB091029",2.752,39.2,-5.619788758,0.255272505,1.46,21.45058625,2.11535,-11.34678749,4.30368998,1.12123368,1.064,0.034224003,0.002,0.026782025,4.829610314,6.06060606060606e-08,0.060606061,0.163636364,0.02563352
"GRB091127",0.49,7.1,-5.045757491,1.667452953,2.05,20.87872913,1.80187,-9.844663963,3.98466812,1.39581701,0.758,0.021935207,0.00244132,0.013587309,0.150359555,1.81818181818182e-07,1.636363636,0.042424242,0.018562516
"GRB050416A",0.6528,2.5,-6.435333936,0.688419822,3.08,21.75162856,2.06183,-10.5559552,2.99481,0.842217,0.9,0.070765,0.005,0.0149485,0.44407209,2.24242424242424e-08,0.290909091,0.133333333,0.0484
"GRB050820A",2.6147,26,-5.463441557,0.389166084,1.25,21.61964524,1.96878,-10.01818139,3.750945731,1.136499703,0.9,0.238477529,0.0405,0.012525701,22.67611617,1.46666666666667e-07,0.139393939,0.072727273,0.266741013
"GRB050922C",2.198,4.5,-5.790484985,0.860936621,1.37,21.44930866,2.2119,-9.477555766,2.52429,1.22035,1.064,0.034305,0.013,0.013275,0.450457546,3.27272727272727e-08,0.193939394,0.036363636,0.03194
"GRB051016B",0.9364,4,-6.769551079,0.113943352,2.4,21.71466751,1.89482,-11.59006688,4.25742,1.14771,0.73,0.058175,0.005,0.04854,0.469570015,1.33333333333333e-08,0.096969697,0.139393939,0.04535
"GRB051109A",2.346,37.2,-5.657577319,0.595496222,1.51,21.97057233,2.06584,-10.51999306,3.91123,1.22299,1.06,0.04637,0.054794381,0.019155,7.089588968,1.64848484848485e-07,0.418181818,0.121212121,0.04815
"GRB051109B",0.08,14.3,-6.591760035,-0.259637311,1.97,21.36742302,2.12549,-11.57511836,3.65548,1.251,1.06,0.126645,0.01,0.12217,3.778168861,2.48484848484848e-08,0.078787879,0.145454545,0.0922
"GRB051221A",0.5465,1.4,-5.93930216,1.079181246,1.39,21.27394758,2.0589,-11.69464863,4.20075,1.09586,0.89,0.085085,0.005,0.05576,0.204978045,2.12121212121212e-08,0.236363636,0.036363636,0.063
"GRB060223A",4.41,11.3,-6.171984936,0.130333768,1.74,22.49782636,2.01015,-10.9636,2.78682,1.1892,0.81,0.23477,0.045,0.18005,1.095536415,2.90909090909091e-08,0.109090909,0.072727273,0.1982
"GRB060502A",1.5026,28.4,-5.63638802,0.227886705,1.46,21.45692297,2.02719,-10.55284197,3.3865,0.897152,0.87,0.075085,0.015,0.0205255,9.827838,6.18181818181818e-08,0.127272727,0.048484848,0.05675
"GRB060510B",4.9,275.2,-5.390405591,-0.244125144,1.78,22.00215742,2.1317,-12.2656,4.43617,1.00735,1.38,0.31628,0.03,0.2313695,21.28954544,1.06666666666667e-07,0.066666667,0.048484848,0.2206
"GRB060607A",3.0749,102.2,-5.59345982,0.146128036,1.47,21.79614607,1.61002,-11.02273379,4.37412,3.43151,0.564,0.02584,0.012077154,0.163115,31.06976133,6.78787878787879e-08,0.078787879,0.048484848,0.0761
"GRB060904B",0.703,171.5,-5.790484985,0.387389826,1.64,21.59122827,2.18877,-11.11633856,3.87074,1.36265,1.58,0.081295,0.136141492,0.04215,11.34305921,8.66666666666667e-08,0.127272727,0.084848485,0.08665
"GRB060912A",0.937,5,-5.869666232,0.933487288,1.74,21.36738202,1.8948,-10.1079054,2.455171016,1.045731532,0.63,0.156564864,0.0785,0.028937785,0.58,3.75757575757576e-08,0.266666667,0.054545455,0.147419953
"GRB061110A",0.7578,40.7,-5.974694135,-0.27572413,1.67,16.57386563,1.82722,-8.33235,2.24983,4.46435,1.98,0.03335,0.0015,0.11946,4.024501448,4.60606060606061e-08,0.072727273,0.072727273,0.2103
"GRB061222A",2.088,71.4,-5.097453221,0.930949031,1.35,22.56660835,1.92748,-9.954677021,3.92091,1.35061,0.86,0.024435,0.005,0.018075,16,9.57575757575758e-08,0.157575758,0.024242424,0.02311
"GRB070714B",0.923,64,-6.142667504,0.431363764,1.36,21.64321572,2.07429,-10.74232143,3.22974,1.64623,0.93,0.0946,0.005,0.108425,8.408797283,5.45454545454545e-08,0.121212121,0.115151515,0.09935
"GRB070721B",3.626,340,-5.443697499,0.176091259,1.34,21.89473409,1.52512,-10.50863831,3.94739,2.5054,0.52,0.10084,0,0.09144,21.32020684,1.21212121212121e-07,0.181818182,0.066666667,0.3648
"GRB070810A",2.17,11,-6.161150909,0.278753601,2.04,21.93100401,2.17076,-10.77728353,3.36583,1.36994,1.02,0.07187,0.01,0.077915,4.99064124,3.63636363636364e-08,0.121212121,0.084848485,0.06175
"GRB080319B",0.937,50,-4.091514981,1.394451681,1.04,20.8771334,1.81426,-12.15181088,5.36799912,1.42250979,0.73,0.087626454,0,0.075139905,0.179108908,6.06060606060606e-07,0.303030303,0.012121212,0.097779455
"GRB080319C",1.95,34,-5.443697499,0.716003344,1.37,21.75037415,1.61029,-8.91721463,3.19029,1.45203,1.94,0.04713,0.199995173,0.02854,8.885029446,6.06060606060606e-08,0.181818182,0.042424242,0.05004
