GRB,Redshift_crosscheck,log10T90,log10Fa,log10Ta,Alpha,Beta,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FaErr,log10TaErr,AlphaErr,BetaErr,FluenceErr,PhotonIndexErr,PeakFluxErr
081007A,0.5295,1.0,-10.58502665,3.58176278,1.00469263,0.92,2.102,-6.148741651,2.51,21.69605744,0.414973348,2.937133306,0.053161115,0.084284398,0.039134851,0.005,4.84848484848485e-08,0.121212121,0.242424242
081008A,1.9685,2.268343913951065,-10.79317412,3.85550833,1.47398467,0.84,1.98207,-5.366531544,1.69,21.1376737,0.113943352,40.34414957,0.06052989,0.056285684,0.063988679,0.025,1.21212121212121e-07,0.042424242,0.060606061
081028A,3.038,2.4149733479708178,-11.3994,4.75426,2.20023,0.945,2.51,-5.431798276,1.25,20.90308999,-0.301029996,32.58849643,0.0572,0.03025,0.054715,0.0005,1.21212121212121e-07,0.23030303,0.060606061
081029A,3.8479,2.4313637641589874,-11.86327943,4.48156171,2.51960373,0.87,1.95818,-5.677780705,1.43,21.49704581,-0.301029996,45.6827768,0.083250805,0.04285341,0.169198521,0.001,1.21212121212121e-07,0.109090909,0.121212121
081109A,0.98,2.2833012287035497,-10.859093797282327,3.98871579105181,1.8496676779686765,0.8910377045465561,,,,,,,0.8362948936932781,0.6141745954702253,0.5533816788679183,0.20704020327768496,,,
081203A,2.1,2.4683473304121573,-10.9243983,4.02089,1.86904,0.82,2.03508,-5.113509275,1.54,21.66176916,0.462397998,82.96987405,0.05695,0.03932,0.064395,0.0325,1.81818181818182e-07,0.036363636,0.121212121
081221A,2.26,1.5314789170422551,-9.354577731,2.93195749,1.23586126,0.991,2.4947,-4.742321425,1.21,21.57331844,1.260071388,0.8019177,0.0249855,0.031176651,0.012861856,0.0005,1.81818181818182e-07,0.078787879,0.303030303
081228A,3.44,0.47712125471966244,-10.909459829868574,3.405578528427819,1.3186070125409899,0.9034437075629942,,,,,,,0.8101238614228787,0.594215247239936,0.2824772400683401,0.21213585206006835,,,
081230A,2.1,1.7831886910752577,-11.32975415,3.66959365,0.99376498,1.02,2.08621,-6.086186148,1.97,20.67248024,-0.15490196,13.77430841,0.0701444,0.08735027,0.040381418,0.02,4.84848484848485e-08,0.096969697,0.060606061
090102A,1.547,1.4313637641589874,-9.457174573,3.15380077,1.42487631,0.667,1.76997,-7.167491087,1.36,21.72376179,0.740362689,2.240000004,0.036239983,0.041590346,0.021786596,0.002673458,1.81818181818182e-09,0.048484848,0.484848485
090205A,4.6497,0.9444826721501687,-11.3419886,3.70655,1.29089,1.01,2.03416,-6.721246399,2.15,21.81792086,-0.301029996,1.794079127,0.13445,0.114585,0.084185,0.025,1.81818181818182e-08,0.139393939,0.060606061
090313A,3.38,1.8938726787950815,-10.298345297849863,3.644800087998283,1.212901744677752,0.8925126061842686,,,,,,,0.7886305712382446,0.5998489851670734,0.2793805199415506,0.21188603183645383,,,
090418A,1.608,1.7481880270062005,-10.04720756,3.52813657,1.52909667,0.98,2.03408,-5.337242168,1.48,22.02365981,0.278753601,4.129211073,0.028659405,0.030759021,0.042154514,0.003531332,1.21212121212121e-07,0.042424242,0.181818182
090423A,8.26,1.0128372247051722,-11.2798407,3.91521772,1.43267533,0.77,1.8158,-6.229147988,0.8,22.7516324,0.230448921,1.061728761,0.08569564,0.077643595,0.064053366,0.005,2.42424242424242e-08,0.303030303,0.121212121
090424A,0.544,1.6812412373755872,-9.050609993,2.99599056,1.1284106,0.924,1.96315,-4.677780705,1.19,21.63012977,1.851258349,2.27250697,0.011257098,0.013394814,0.005546887,0.0,0.0,0.090909091,1.212121212
