"","z","T90","class","logFa","logFaErr","logT_a","logTaErr","Alpha","AlphaErr","Beta","betaErr","Fluence","PhotonIndex","NH","PeakFlux","PhotonIndexErr","PeakFluxErr"
"071031A",2.69,180.89,"XRF",-12.3316,0.006784,3.545649,0.012037,0.783822,0.007754,0.34,0.3,9,2.42,8.93255e-05,0.5,0.29,0.1
"071112C",0.82,15,"SN-C",-11.73,0.01,2.56,0.02,0.92,0,0.44,0.11,30,1.09,0.366707,8,0.07,1
"080310A",2.43,363.46,"XRR",-11.7773,0.03995,3.53482,0.03563,1.13752,0.008815,0.42,0.12,23,2.32,3.64273e-11,1.3,0.16,0.2
"080319C",1.95,33.94,"L",-12.32,0.25,3.23,0.13,2,0.56,0.98,0.42,36,1.37,5.62826,5.2,0.07,0.3
"080330A",1.51,60.7,"XRF",-11.98,0.01,3.52,0.01,1.13,0,0.42,0.15,3.4,2.53,4.90803,0.9,0.45,0.2
"080413A",2.43,46.35,"XRR",-10.34,0.04,1.89,0.06,0.95,0.04,0.52,0.37,35,1.57,5.81033,5.6,0.06,0.2
"080413B",1.1,6.98,"L",-13.54,0.05,5.62,0.02,2.29,0.1,0.74,0.04,32,1.26,2.0573,18.7,0.27,0.8
"080603A",1.69,60,"L",-12.4,0.03,3.8,0.03,0.98,0.02,0.85,0.31,NA,NA,NA,NA,NA,NA
"080603B",2.6893,60,"L",-12.2511,0.01515,4.19971,0.014815,1.26607,0.02688,0.62115,0.06837,24,1.21,2.07069,3.5,0.3,0.2
"080605A",1.6403,20,"L",-12.5404,0.0122,3.52993,0.02324,0.680096,0.010692,0.57477,0.35333,133,1.11,5.47122,19.9,0.14,0.6
"080607A",3.04,79.43,"L",-11.2452,0.028099,2.024669,0.025586,1.543158,0.031343,0.98,0.0606,240,1.31,24.2029,23.1,0.04,1.1
"080710A",0.85,119.66,"L",-11.7,0.01,4.01,0.01,1.52,0.01,0.8,0.09,14,1.47,0.789266,1,0.23,0.2
"080810A",3.35,108.81,"L",-10.4242,0.019425,2.750635,0.025429,1.160407,0.008112,0.51,0.13,46,1.34,2.82355,2,0.06,0.2
"080913A",6.73,7.89,"IS",-14.51,0.14,5.54,0.15,1.07,0.21,1.16,0.17,5.6,0.46,0.894847,1.4,0.7,0.2
"080928A",1.69,233.66,"XRR",-12.67,0.1,4.45,0.07,2.25,0.21,1.08,0.14,25,1.77,3.23856,2.1,0.12,0.1
"081007A",0.53,9.09,"XRF-SN-B",-12.93,0.09,4.83,0.07,1.26,0.09,0.27,0.11,7.1,2.51,4.96658,2.6,0.2,0.4
"081008A",1.97,185.48,"XRR",-11.22,0.01,3.51,0.01,1.29,0.01,0.38,0.23,43,1.69,1.37301,1.3,0.07,0.1
"081029A",3.85,269.95,"L",-12.6223,0.095308,4.599535,0.071694,2.252306,0.171741,1.08,0.02,21,1.43,3.14084,0.5,0.18,0.2
"081109A",0.98,192,"XRR",-12.86,0.45,4.43,0.31,2.4,1.02,0.9,0.07,36,1.72,1.84,1.1,0.09,0
"081203A",2.1,221,"L",-11.7554,0.126215,4.027516,0.081744,1.826152,0.19167,0.95,0.06,NA,NA,NA,NA,0.06,0.2
"081228A",3.44,3,"IS",-12.9876,0.0492,2.80122,0.047595,1.18347,0.036055,1.24,0.285,0.89,2.1,1.476931,0.6,0.31,0.1
"090102A",1.55,27.04,"L",-12.8492,0.071878,3.8,0.063638,1.153525,0.018438,0.74,0.22,0.68,1.36,5.29373,5.5,0.08,0.8
"090313A",3.38,78.32,"XRR",-11.4731,0.110788,3.487381,0.148455,0.938086,0.040385,1,0.103,14,1.91,27.6158,0.8,0.29,0.3
"090423A",8.23,9.77,"XRR-IS",-13.39,0.08,4.7,0.09,1.12,0.1,0.45,0.13,5.9,0.8,56.4459,1.7,0.5,0.2
"090529A",2.63,68.81,"XRR",-13.09,0.03,3.97,0.07,0.52,0.02,0.12,0.0848,NA,NA,NA,NA,0.3,0.1
"090530A",1.266,48,"L",-11.6906,0.175329,5.143885,0.05081,3.280375,0.093676,0.9,0.08,11,1.61,0.811758,2.5,0.17,0.3
"090618A",0.54,113.21,"XRR-SN-C",-11.84,0.01,4.07,0.01,1.04,0,0.71,0.02,1050,1.42,2.46604,38.9,0.08,0.8
"090726A",2.71,59.3,"XRF",-12.2265,0.098827,3.354189,0.0975,1.086752,0.195492,1.3,0.11,8.6,2.25,10.6388,0.7,0.19,0.2
"091018A",0.971,4.36,"L",-12.6087,0.009407,4.381196,0.009379,1.272917,0.012642,0.60705,0.01791,14,1.77,1.55551,10.3,0.24,0.4
"091020A",1.71,38.91,"L",-10.8705,0.04935,2.58947,0.04193,1.08875,0.00706,1.06,0.09,37,1.53,5.08013,4.2,0.07,0.3
"091024A",1.09,98.9,"UL",-11.21,0.04,3.97,0.03,1.63,0.04,0.64,0.29,61,1.2,17.184,2,0.08,0.3
"091029A",2.75,39.2,"XRR",-12.77,0.01,4.45,0.02,1.1,0.01,0.43,0.03,24,1.46,2.82219,1.8,0.27,0.1
"091127A",0.49,6.96,"XRR-SN-B",-12.02,0.01,4.42,0.01,1.19,0.01,0.43,0.1,90,2.05,0.756361,46.5,0.07,2.7
"000926A",2.04,25,"L",-12.89,0.03,5.12,0.02,2.14,0.04,1.01,0.16,NA,NA,NA,NA,NA,NA
"970508A",0.83,13.2,"XRF",-13.8798,0.072147,6.247263,0.067354,1.487567,0.155485,0.32,0.15,NA,NA,NA,NA,NA,NA
"980326A",1,5,"L",-14.5407,1.122123,5.314622,0.600428,1.515176,0.702623,0.66,0.7,NA,NA,NA,NA,NA,NA
"990510A",1.62,67.58,"L",-12.3,0.02,4.83,0.01,1.58,0.01,0.17,0.15,NA,NA,NA,NA,NA,NA
