GRB,Redshift_crosscheck,log10T90,log10Fa,log10Ta,Alpha,Beta,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FaErr,log10TaErr,AlphaErr,BetaErr,log10FluenceErr,PhotonIndexErr,log10PeakFluxErr,is_optical
060526A,3.221,2.47444938,-11.3053948,3.8752,1.05873,0.93,1.90677,-5.899629455,2.01,16.11154478,0.222716471,23.04821868,0.06785,0.09216,0.0623145,0.0305,0.056871896,0.24,0.046810184,0
060604A,2.1357,1.977723605,-11.76955108,4.45991,1.21596,1.02,2.1711,-6.395773947,2.01,21.99003057,-0.468521083,17.0,0.04195,0.04994,0.04695,0.0,0.11451546,0.42,0.166053773,0
060605A,3.78,2.059904056,-11.26121944,4.04162,1.9179,0.835,2.02128,-6.156767222,1.55,21.77333803,-0.337242168,35.01416491,0.05315,0.037375,0.085,0.10149311,0.056078197,0.2,0.113294213,0
060607A,3.07,2.009450896,-10.38680512465926,3.5881521602783946,1.3464668475309316,0.9116268158523333,1.61002,-5.59345982,1.47,21.79614607,0.146128036,,0.3845310353774227,0.29596269198778113,0.17600667738846987,0.10344447882147417,0.019074895,0.08,0.040327345,1
060614A,0.125,2.036229544,-11.78251606,5.03344,1.9453,0.783,1.89544,-4.690369833,2.02,20.51216256,1.06069784,3.31042292,0.0429,0.0289,0.05983,0.006,0.007727887,0.04,0.027945906,0
060707A,3.425,1.820857989,-10.9132,3.5545,0.861995,1.12,2.09345,-5.795880017,0.6,21.20847898,0.004321374,6.314200491,0.07695,0.127895,0.0364485,0.035,0.040986542,0.363636364,0.098898743,0
060708A,1.92,1.008600172,-10.86966623,3.50569,1.12969,1.485,2.20484,-6.306273051,1.68,20.79066861,0.28780173,3.601244236,0.06115,0.062725,0.028525,0.33410152,0.032528129,0.12,0.031340839,0
060714A,2.711,2.060660074,-10.86012091,3.73449,1.20488,0.87,2.04425,-5.548213564,1.93,22.0125926,0.10720997,9.129365384,0.0352,0.046765,0.035305,0.005,0.025627978,0.11,0.044108033,0
060729A,0.54,2.062017599,-11.15058059,5.1057,1.35481,1.317,1.92492,-5.583359493,1.75,20.86562801,0.068185862,33.90346061,0.0116,0.012825,0.013425,0.077392286,0.035109631,0.14,0.048254942,0
060814A,1.9229,2.162265614,-10.91009489,4.22387,1.29504,0.97,2.11591,-4.835647144,1.53,22.00679538,0.861534411,4.898458524,0.0353,0.034855,0.024565,0.0,0.007109341,0.03,0.017323989,0
060904B,0.7,2.234264124,-10.606779624553285,3.7407113048528853,1.3060253841018592,0.9749679830807297,2.18877,-5.790484985,1.64,21.59122827,0.387389826,,0.42324690227754314,0.2990349315881897,0.1692353990194958,0.11177656289877236,0.038335871,0.14,0.037377804,1
060906A,3.686,1.638489257,-11.8827287,4.33479,1.71887,1.06,2.07859,-5.655607726,2.03,22.41960057,0.294466226,8.166987204,0.08845,0.072145,0.169635,0.005,0.026725814,0.11,0.061727135,0
060908A,1.8836,1.285557309,-9.627087997,2.81918,1.38309,1.185,2.13395,-5.552841969,1.0,21.80952201,0.481442629,1.330335293,0.045185,0.05993,0.04964,0.003474954,0.017216674,0.181818182,0.035832878,0
060912A,0.937,0.698970004,-10.1079054,2.455171016,1.045731532,0.63,1.8948,-5.869666232,1.74,21.36738202,0.933487288,0.58,0.147419953,0.156564864,0.028937785,0.0785,0.019945376,0.09,0.022271512,0
060926A,3.2,0.903089987,-10.84771166,3.351,1.45111,1.357,2.00443,-6.659555885,2.54,22.50004427,0.037426498,1.212679677,0.08245,0.09927,0.11561,0.009157091,0.049576996,0.23,0.055780943,0
060927A,5.47,1.352953912,-10.77728353,3.15198,1.39098,0.83,1.94856,-5.946921557,0.9,22.10710478,0.431363764,1.294276634,0.08115,0.108435,0.118785,0.178498106,0.026134535,0.242424242,0.027344467,0
061007A,1.26,1.876852648,-8.996941378532021,2.9975730316012097,1.6078028158380802,0.9764824067622409,1.99824,-4.35261703,1.03,21.74186197,1.164352856,,0.6404432436256196,0.39494573500839225,0.20223213388139283,0.1083801929985933,0.005497151,0.03,0.011006093,1
061021A,0.3463,1.664641976,-10.04095861,3.23849,1.01707,0.785,1.99282,-5.528708289,1.3,20.87141063,0.78604121,5.398832468,0.0264,0.03399,0.010415,0.016800037,0.014818832,0.06,0.019191409,0
061121A,1.314,1.90982337,-10.03011836,3.78753,1.35185,0.9485,1.90181,-4.863279433,1.41,21.75351565,1.324282455,46.12748458,0.01265,0.01703,0.01585,0.002358211,0.006308365,0.03,0.009468031,0
061126A,1.1588,2.281033367,-10.644883048523724,3.601884978500718,1.1797374146325206,0.9225384285348401,1.926924191755202,-5.169411331,1.32,21.38058204,0.989449818,,0.42819080998866976,0.2871423409101417,0.20636833029013685,0.09508220172180532,0.0190994093843814,0.06,0.0246693811930976,1
061201A,0.111,-0.119186408,-10.4134127,3.49343,1.98937,0.145,1.65934,-6.476253533,0.81,21.16656331,0.586587305,0.098954548,0.09365,0.093885,0.169505,0.061048094,0.035107638,0.15,0.034878572,0
061222A,2.088,1.853698212,-9.954677021,3.92091,1.35061,0.86,1.92748,-5.097453221,1.35,22.56660835,0.930949031,16.0,0.02311,0.024435,0.018075,0.005,0.008588051,0.04,0.013237581,0
070110A,2.352,1.946550511,-11.04866248,4.26825,1.42725,1.186,2.08596,-5.790484985,1.58,21.3989672,-0.22184875,14.47803302,0.05475,0.053995,0.046555,0.12166788,0.028952965,0.12,0.086858896,0
070125A,1.55,1.77815125,-10.851337048794473,4.3402122789097195,1.608272467621979,0.8900706275400041,1.9514263271976688,-5.495279035397339,1.667192165248273,21.11682510597685,0.4613667003967956,,0.3935723908236648,0.36010469382449006,0.20220930390682612,0.10181071192422136,0.0330719907495403,0.1771424078091182,0.0593602352348791,1
