GRB_Name,Redshift_crosscheck,log10Fluence,log10PeakFlux,PhotonIndex,log10NH,Gamma,log10Fa_X,log10Ta_X,Alpha_X,Beta_X,log10TaErr,BetaErr_X,AlphaErr,T90Err,PhotonIndexErr,log10FaErr_X,logT90err,log10PeakFluxErr,logFluenceErr,log10T90
GRB090529A,2.625,-6.167491087,-0.397940009,2.0,13.51385525,2.22623,-12.1873998,4.472757799,0.8815438,0.64,0.21900534,0.125,0.113675222,10.5274432,0.3,0.11547934,0.066443983,0.108573621,0.10857362,1.837651558
GRB090530A,1.266,-5.958607315,0.397940009,1.61,20.90942658,2.03975,-11.16052195,3.6839464,0.88610581,1.09,0.115365029,0.035,0.038514202,35.77708764,0.17,0.089175625,0.323703995,0.052115338,0.039481317,1.681241237
GRB090618A,0.54,-3.978810701,1.589949601,1.42,21.39200012,1.82831,-9.640164518,3.67275453,1.30942861,0.8945,0.014245613,0.002482662,0.010591616,0.593538562,0.08,0.009695255,0.002277125,0.008931506,0.004136138,2.05388479
GRB090809A,2.737,-6.468521083,0.041392685,1.34,21.91952315,1.94644,-11.8559,4.56066,1.6367,0.96,0.237865,0.01,0.319405,1.216253263,0.24,0.338,0.097817052,0.078962633,0.063866836,0.73239376
GRB090812A,2.452,-5.236572006,0.556302501,1.24,21.77771022,1.88559,-10.16730017,3.52924,1.37252,0.53,0.13258,0.015,0.08412,14.65837332,0.05,0.10615,0.095443038,0.024127471,0.014975672,1.824125834
GRB090927A,1.37,-6.698970004,0.301029996,1.8,21.01785522,2.06549,-11.6716204,4.20121889,1.13087741,0.92,0.093241949,0.01,0.074843971,0.400898978,0.2,0.076268475,0.079140097,0.043429448,0.065144172,0.342422681
GRB091018A,0.971,-5.853871964,1.012837225,1.77,21.19187281,1.98015,-9.627087997,2.89655535,1.18074867,0.91,0.034497878,0.002061639,0.016335114,0.601065704,0.24,0.024288603,0.059327163,0.016865805,0.031021034,0.639486489
GRB091020A,1.71,-5.431798276,0.62324929,1.53,21.70587483,2.08587,-9.71219827,2.95265011,1.17417264,0.895,0.045271255,0.002182887,0.018244861,4.875038864,0.07,0.034480687,0.061190823,0.031021034,0.011737689,1.590061231
GRB091029A,2.752,-5.619788758,0.255272505,1.46,21.45058625,2.11535,-11.34678749,4.30368998,1.12123368,1.064,0.034224003,0.002,0.026782025,4.829610314,0.27,0.02563352,0.053506967,0.024127471,0.018095603,1.593286067
GRB091127A,0.49,-5.045757491,1.667452953,2.05,20.87872913,1.80187,-9.844663963,3.98466812,1.39581701,0.758,0.021935207,0.00244132,0.013587309,0.150359555,0.07,0.018562516,0.009197229,0.025217099,0.014476483,0.84260924
GRB050416A,0.6528,-6.435333936,0.688419822,3.08,21.75162856,2.06183,-10.5559552,2.99481,0.842217,0.9,0.070765,0.005,0.0149485,0.44407209,0.22,0.0484,0.077143223,0.04271749,0.043784457,0.397940009
