GRB,z,class,log10Faopt,log10FaErr_opt,log10Taopt,logTaErr_opt,Alpha_opt,AlphaErr_opt,Beta_opt,betaErr_opt,PhotonIndex,PhotonIndexErr,Gamma,log10Fluence,log10FluenceErr,log10NH,log10PeakFlux,log10PeakFluxErr,log10T90
210210A,0.715,L,-11.7476,0.033076,3.875593,0.03022,1.44657,0.031618,0.81,0.07,1.53,0.58,1.85188,-6.008773924,0.035452611,21.12319546,0.84509804,0.031021034,0.819543936
030226A,1.99,L,-13.1407,0.064136,4.965035,0.032442,2.121816,0.132162,0.57,0.12,1.6936423720497527,0.19939865194869766,1.9460271678025596,-5.889071811324594,0.036950100695604615,21.05118687251175,0.32046446943746787,0.07239404973196668,1.344195716
030329A,0.17,SN-A,-11.76,0.09,5.5,0.05,1.46,0.03,0.41,0.17,1.633617447071938,0.1645582665787907,1.9492449337212887,-5.1536155408659505,0.027364357840425513,21.20678392008461,0.7803767981078531,0.03589441558593985,1.798650645
040924A,0.86,SN-C,-12.2,0.04,3.5,0.04,1.3,0.02,0.63,0.48,1.9102829721285486,0.24103920780279897,2.0163743128455134,-6.342455717185209,0.04538306883858305,20.870879862299898,0.6338588617081715,0.05388692020712459,0.378397901
041006A,0.72,SN-C,-12.45,0.03,4.08,0.03,1.24,0.01,0.36,0.27,1.8315922738031924,0.20985314277282063,1.9667196956617854,-5.868707585670798,0.04298932963357058,20.908138889373173,0.5259018527890582,0.05885401647003867,1.240549248
050319A,3.24,XRR,-12.83,0.02,4.44,0.03,0.76,0.03,0.74,0.42,2.02,0.19,2.01045,-5.882728704,0.049065331,20.93735437,0.181843588,0.060001211,2.183383742
050401A,2.8992,L,-13.6002,0.12095,4.1414,0.161195,0.87515,0.047862,0.39,0.05,1.4,0.07,1.78711,-5.085128182,0.016167167,22.12570242,1.029383778,0.037341208,1.506369717
050408A,1.24,L,-13.25,0.03,4.36,0.05,0.83,0.05,0.28,0.27,1.926285947337184,0.24937398920694964,1.9671673321089769,-5.985291674588619,0.05419100392442465,20.75818616770858,0.22163534149593556,0.07805161120028391,1.531478917
050416A,0.65,XRF-D-IS-SN,-13.54,0.05,4.15,0.06,0.94,0.08,0.92,0.3,3.08,0.22,2.06183,-6.435333936,0.043784457,21.75162856,0.688419822,0.04271749,0.397940009
050502B,3.793,L,-12.4453,0.122846,3.576116,0.139983,1.358692,0.198462,0.9,0.06,1.4939816936122414,0.14,1.9781231878612309,-5.907266041523986,0.029579879982160343,21.034720149749216,0.30015291146834855,0.06710999094950842,1.243038049
050502A,3.79,L,-12.6,0.04,3.72,0.03,1.43,0.02,0.76,0.16,1.5837013438142045,0.18713159391255962,1.967051465223916,-5.959056988742906,0.03474866632334633,21.018163759441723,0.33057184680733176,0.06577492681626526,1.301029996
050525A,0.61,SN-B-XRR,-11.6972,0.0658,3.22416,0.10234,1.03423,0.034343,0.52,0.08,1.0,0.1,2.08914,-4.815308569,0.006273143,21.2788016,1.620136055,0.009789852,0.944482672
050603A,2.82,L,-11.88,0.13,4.45,0.08,1.85,0.09,0.95,0.08,1.16,0.06,1.9095112702293147,-5.196542884,-0.000621765697996858,21.63005546,1.33243846,0.0038290748542292863,1.322219295
050730A,3.97,L,-12.3658,0.044456,4.344142,0.054968,1.574343,0.069551,0.52,0.05,1.53,0.11,1.6177,-5.623423043,0.027736454,21.73850309,-0.259637311,0.110547686,2.194514342
050801A,1.56,XRR,-10.98,0.02,2.64,0.02,1.19,0.01,0.69,0.34,1.99,0.25,2.0752521078114348,-6.508638306,0.058123453510233375,20.80209017,0.164352856,0.07127963396143648,1.28780173
050802A,1.71,L,-11.61,0.08,2.91,0.09,0.91,0.01,0.72,0.03,1.54,0.13,1.8557,-5.698970004,0.034092117,21.25883595,0.439332694,0.069487117,1.477121255
050820A,2.61,L,-11.97,0.01,4.46,0.02,1.02,0.01,0.72,0.03,1.25,0.12,1.96878,-5.463441557,0.030552112,21.61964524,0.389166084,0.040770502,1.414973348
050824A,0.83,XRF-SN-E,-12.5,0.03,3.65,0.06,0.65,0.01,0.45,0.18,2.76,0.38,1.94709,-6.575118363,0.084899673,20.9708274,-0.301029996,0.130288345,1.353723938
050904A,6.295,UL,-14.18,0.12808,5.539472,0.069062,2.332396,0.187665,1.0,0.09,1.25,0.07,1.90813,-5.316052869,0.016184888,22.39388568,-0.207608311,0.119080745,2.259044094
050908A,3.34,XRR,-12.61,0.08,3.26,0.13,0.82,0.08,1.8,0.09,1.88,0.17,2.74883,-6.316052869,0.045857181,14.58600523,-0.15490196,0.086858896,1.239799818
050922C,2.2,IS,-11.65,0.01,3.77,0.01,1.25,0.01,0.56,0.01,1.37,0.06,2.2119,-5.790484985,0.014476483,21.44930866,0.860936621,0.019142457,0.653212514
051028A,3.6,SN-B,-13.0714,0.2287,4.04085,0.246865,1.02823,0.1334,1.1,0.18,1.6783282458665043,0.23699117464220343,2.029219821752511,-6.175683413986066,0.04514144480228331,20.902419538548095,0.1794660336551921,0.07495344298826727,1.204119983
051109A,2.35,L,-12.14,0.03,3.74,0.04,0.81,0.02,0.96,0.04,1.51,0.2,2.06584,-5.657577319,0.05369459,21.97057233,0.595496222,0.076056648,1.57054294
051111A,1.55,L,-10.91,0.03,2.77,0.04,1.0,0.04,0.76,0.07,1.32,0.06,2.23019,-5.389339837,0.014263593,21.79196559,0.424881637,0.034286406,1.776555911
060124A,2.3,XRR,-11.66,0.03,3.63,0.04,0.88,0.0,0.73,0.08,1.84,0.19,2.00895,-6.336299075,0.049929734,21.9172644,-0.050609993,0.087834839,1.134495856
060206A,4.05,XRR-IS,-12.0107,0.004353,4.293881,0.004134,1.255402,0.00376,0.77,0.01,1.2,0.181818182,2.20424,-6.080398976,0.021949902,22.33966406,0.445604203,0.026462388,0.880241776
060210A,3.91,L,-12.4544,0.039346,3.243171,0.035759,1.327381,0.053451,0.99,0.03,1.53,0.09,2.08163,-5.11577123,0.023188831,22.3877421,0.434568904,0.044706785,2.40654018
