"formula_idx","wins","formula"
419,3,"Response ~  (PhotonIndexSqr+log10PeakFluxSqr+Gamma+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+log10Fluence+log10NHSqr+log10T90Sqr+GammaSqr+log10FluenceSqr"
864,3,"Response ~  (log10PeakFluxSqr+log10NHSqr+Gamma+log10PeakFlux+log10NH)^2+PhotonIndex+log10T90+log10Fluence+PhotonIndexSqr+log10T90Sqr+GammaSqr+log10FluenceSqr"
869,3,"Response ~  (PhotonIndexSqr+log10PeakFluxSqr+Gamma+log10PeakFlux+log10NH)^2+PhotonIndex+log10T90+log10Fluence+log10NHSqr+log10T90Sqr+GammaSqr+log10FluenceSqr"
1281,3,"Response ~  (GammaSqr+log10PeakFluxSqr+log10NHSqr+Gamma+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+log10Fluence+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
1301,3,"Response ~  (GammaSqr+log10PeakFluxSqr+log10NHSqr+log10Fluence+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+Gamma+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
152,2,"Response ~  (log10NHSqr+Gamma+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+log10Fluence+log10PeakFluxSqr+PhotonIndexSqr+log10T90Sqr+GammaSqr+log10FluenceSqr"
267,2,"Response ~  (GammaSqr+log10NHSqr+log10Fluence)^2+log10NH+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10PeakFluxSqr+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
354,2,"Response ~  (log10PeakFluxSqr+Gamma+PhotonIndex+log10NH)^2+log10PeakFlux+log10T90+log10Fluence+log10NHSqr+PhotonIndexSqr+log10T90Sqr+GammaSqr+log10FluenceSqr"
409,2,"Response ~  (log10PeakFluxSqr+log10Fluence+Gamma+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+log10NHSqr+PhotonIndexSqr+log10T90Sqr+GammaSqr+log10FluenceSqr"
436,2,"Response ~  (GammaSqr+log10PeakFluxSqr+log10Fluence+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10NHSqr+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
446,2,"Response ~  (GammaSqr+log10PeakFluxSqr+log10NHSqr+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10Fluence+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
537,2,"Response ~  (GammaSqr+log10NHSqr+Gamma+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+log10Fluence+log10PeakFluxSqr+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
713,2,"Response ~  (log10FluenceSqr+GammaSqr+log10NHSqr+log10T90)^2+log10NH+log10PeakFlux+PhotonIndex+Gamma+log10Fluence+log10PeakFluxSqr+PhotonIndexSqr+log10T90Sqr"
