"GRB","Redshift_crosscheck","log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","is_optical"
"060510B",4.9,2.43964843,-12.2656,4.43617,1.00735,1.38,2.1317,-5.390405591,1.78,22.00215742,-0.244125144,21.28954544,0.2206,0.31628,0.2313695,0.03,0.018780302,0.08,0.083811216,0
"060512A",0.44,0.92890769,-10.6816826796143,3.66968890789553,1.09523674262367,0.895416872468867,2.70163,-6.634512015,2.48,16.36612399,-0.055517328,NA,0.793957184160756,0.612985509256598,0.277885965782858,0.197355981980653,0.074878359,0.3,0.098703291,1
"060526A",3.221,2.47444938,-11.3053948,3.8752,1.05873,0.93,1.90677,-5.899629455,2.01,16.11154478,0.222716471,23.04821868,0.06785,0.09216,0.0623145,0.0305,0.056871896,0.24,0.046810184,0
"060604A",2.1357,1.977723605,-11.76955108,4.45991,1.21596,1.02,2.1711,-6.395773947,2.01,21.99003057,-0.468521083,17,0.04195,0.04994,0.04695,0,0.11451546,0.42,0.166053773,0
"060605A",3.78,2.059904056,-11.26121944,4.04162,1.9179,0.835,2.02128,-6.156767222,1.55,21.77333803,-0.337242168,35.01416491,0.05315,0.037375,0.085,0.10149311,0.056078197,0.2,0.113294213,0
"060607A",3.07,2.009450896,-10.4034487155603,3.62913988999298,1.34132523976043,0.901433865164867,1.61002,-5.59345982,1.47,21.79614607,0.146128036,NA,0.797068515289679,0.605424807757188,0.273951130205867,0.204597024930413,0.019074895,0.08,0.040327345,1
"060614A",0.125,2.036229544,-11.78251606,5.03344,1.9453,0.783,1.89544,-4.690369833,2.02,20.51216256,1.06069784,3.31042292,0.0429,0.0289,0.05983,0.006,0.007727887,0.04,0.027945906,0
"060707A",3.425,1.820857989,-10.9132,3.5545,0.861995,1.12,2.09345,-5.795880017,0.6,21.20847898,0.004321374,6.314200491,0.07695,0.127895,0.0364485,0.035,0.040986542,0.363636364,0.098898743,0
"060708A",1.92,1.008600172,-10.86966623,3.50569,1.12969,1.485,2.20484,-6.306273051,1.68,20.79066861,0.28780173,3.601244236,0.06115,0.062725,0.028525,0.33410152,0.032528129,0.12,0.031340839,0
"060714A",2.711,2.060660074,-10.86012091,3.73449,1.20488,0.87,2.04425,-5.548213564,1.93,22.0125926,0.10720997,9.129365384,0.0352,0.046765,0.035305,0.005,0.025627978,0.11,0.044108033,0
