"","log10T90","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","T90Err","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","log10T90Err","Redshift_crosscheck","log10z"
"061222A",1.853698212,1.92748,-5.097453221,1.35,22.56660835,0.930949031,16,0.008588051,0.04,0.013237581,0.0973208922530927,2.088,0.489677291663699
"070110A",1.946550511,2.08596,-5.790484985,1.58,21.3989672,-0.22184875,14.47803302,0.028952965,0.12,0.086858896,0.0711120769415451,2.352,0.525304009958239
"070125A",1.77815125,1.95142632719767,-5.49527903539734,1.66719216524827,21.1168251059769,0.461366700396796,19.64696058,0.0330719907495403,0.177142407809118,0.0593602352348791,0.142209442893369,1.55,0.406540180433955
"070208A",1.806179974,2.20341,-6.351639989,1.94,21.8647258,-0.045757491,22.627417,0.098570208,0.36,0.106160873,0.153546286600926,1.165,0.335457900689384
"070223A",1.9408513687054,2.25837,-5.769551079,1.85,21.70173804,-0.161150909,8.08530616,0.018572476,0.072727273,0.130844061722848,0.0402373538487879,1.6295,0.419873175149476
"070306A",2.321184027,1.94468,-5.269217724,1.66,22.44245468,0.609594409,64.76757163,0.02308703,0.1,0.022408315,0.134263479640872,1.4959,0.397227181043161
"070411A",2.089021501,2.2428,-5.568636236,1.72,22.32139542,-0.040958608,8.166987204,0.02493172,0.1,0.062042069,0.0288951321775762,2.95,0.59659709562646
"070508A",1.320146286,1.82568,-4.707743929,1.1,21.89306622,1.382017043,0.735923906,0.006049102,0.060606061,0.010992516,0.0152922340458476,0.82,0.260071387985075
"070521A",1.57863921,2.00022,-5.096367484,1.1,22.27524914,0.814913181,2.819384324,0.009596769,0.121212121,0.017957046,0.0323072045959819,2.0865,0.489466281303128
"070529A",2.038222638,1.97999,-5.590066877,1.34,22.56252244,0.155336037,19.9827799,0.041401614,0.16,0.109332877,0.0794726286723922,2.4996,0.544018407858776
"070612A",2.566790912,1.97567939099548,-4.974694135,1.69,21.2559971173378,0.178976947,5.385164807,0.024623678,0.1,0.109292651,0.00634150586191601,0.671,0.222976449893391
"070714B",1.806179974,2.07429,-6.142667504,1.36,21.64321572,0.431363764,8.408797283,0.05428681,0.19,0.032169962,0.0570608478017886,0.923,0.28397928423848
"070721B",2.531478917,1.52512,-5.443697499,1.34,21.89473409,0.176091259,21.32020684,0.024127471,0.11,0.086858896,0.0272330828957319,3.626,0.6652056284346
"070802A",1.214843848,1.99014,-6.552841969,1.79,21.91375294,-0.397940009,3.019812592,0.077552586,0.27,0.108573621,0.079968777148268,2.45,0.537819095073274
"070809A",1.16168428403346,1.37246,-7,1.69,20.80619355,0.079181246,0.271528985,0.026318246,0.133333333,0.016256930519715,0.00812673734142053,0.2187,0.0858968111315881
"070810A",1.041392685,2.17076,-6.161150909,2.04,21.93100401,0.278753601,4.99064124,0.037764738,0.14,0.045715209,0.197037086589132,2.17,0.501059262217751
"071003A",2.170643023,1.91015,-5.080921908,1.36,20.86974084,0.799340549,4.494400066,0.015697391,0.07,0.027574253,0.0131768929142836,1.60435,0.415699348887829
"071010A",0.77815125,2.33496,-6.698970004,2.33,22.13954852,-0.096910013,13.77430841,0.086858896,0.37,0.162860431,0.997017689963497,0.99,0.298853076409707
"071010B",1.552668216,2.04061,-5.356547324,1.53,21.30047157,0.886490725,11.73673073,0.009870329,0.22,0.016920564,0.142778638457706,0.947,0.289365951520032
"071020A",0.62324929,1.59788,-5.638272164,1.11,20.99642367,0.924279286,0.581982802,0.018882369,0.05,0.015510517,0.0601790285006581,2.145,0.497620649781288
"071025A",2.376832349,1.97502660214106,-5.187086643,1.79,21.07108335,0.204119983,4.086802216,0.021297834433594,0.05,0.0778422962236166,0.007453076560961,5,0.778151250383644
"071112C",1.176091259,1.67267,-5.522878745,1.09,20.5643192,0.903089987,3.69174647,0.057905931,0.07,0.05428681,0.106887008047491,0.82,0.260071387985075
"071117A",0.819543936,2.0457,-5.619788758,1.57,22.04291793,1.053078443,1.824859447,0.018095603,0.06,0.015373256,0.120079755643196,1.331,0.367542273520577
"080310A",2.560456622,2.09352,-5.638272164,2.32,21.32749584,0.113943352,17.39875121,0.037764738,0.16,0.066814536,0.0207895824764161,2.42,0.534026106056135
"080319B",1.68090255756894,1.81426,-4.091514981,1.04,20.8771334,1.394451681,0.179108908,0.00536166,0.02,0.008755937,0.00162180613819455,0.937,0.287129620719111
"080319C",1.531478917,1.61029,-5.443697499,1.37,21.75037415,0.716003344,33.90346061,0.012063736,0.07,0.025055451,0.433061348875878,1.95,0.469822015978163
"080330A",1.783188691,2.25433,-6.468521083,2.53,21.69090721,-0.045757491,2.27250697,0.102186937,0.45,0.096509885,0.0162592625589572,1.51,0.399673721481038
"080411A",1.748188027,1.97674,-4.578396073,1.75,21.57289018,1.635483747,1.000967534,0.001645055,0.03,0.009047802,0.00776276208190557,1.03,0.307496037913213
"080413B",0.903089987,1.93206,-5.494850022,1.26,21.31329763,1.271841607,15.0870791,0.013571703,0.27,0.018579443,0.819029400130791,1.1,0.322219294733919
"080516A",0.763427994,2.3315,-6.585026652,1.82,22.03528962,0.255272505,0.213016433,0.066814536,0.27,0.072382414,0.0159503209161228,3.2,0.6232492903979
