"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_mad_idx","best_mad_val","n_candidates","minutes","best_r_formula"
74,1840,0.4968,1396,0.1583,1840,0.0987,16,82.7,"Response ~ (log10FaSqr + log10TaSqr + log10PeakFluxSqr + PhotonIndex +      log10NH)^2 + log10PeakFlux + log10Ta + log10Fa + Beta + log10T90 +      log10NHSqr + PhotonIndexSqr + BetaSqr + log10T90Sqr"
75,1819,0.5966,1819,0.1595,2249,0.0925,17,86,"Response ~ (log10T90Sqr + log10FaSqr + log10T90 + PhotonIndex +      log10NH)^2 + log10PeakFlux + log10Ta + log10Fa + Beta + log10NHSqr +      log10PeakFluxSqr + PhotonIndexSqr + log10TaSqr + BetaSqr"
76,7431,0.4315,746,0.1978,7431,0.1216,14,97.8,"Response ~ (log10T90Sqr + log10FaSqr + log10PeakFluxSqr + log10T90 +      log10Ta + PhotonIndex + log10NH)^2 + log10PeakFlux + log10Fa +      Beta + log10NHSqr + PhotonIndexSqr + log10TaSqr + BetaSqr"
77,3312,0.6845,3312,0.1326,3468,0.0886,17,85.7,"Response ~ (log10TaSqr + PhotonIndexSqr + log10PeakFluxSqr +      log10NHSqr + log10Fa)^2 + log10NH + log10PeakFlux + PhotonIndex +      log10Ta + Beta + log10T90 + log10FaSqr + BetaSqr + log10T90Sqr"
78,1723,0.5413,1723,0.1575,7101,0.1005,16,86.1,"Response ~ (log10FaSqr + log10PeakFluxSqr + log10Ta + PhotonIndex +      log10NH)^2 + log10PeakFlux + log10Fa + Beta + log10T90 +      log10NHSqr + PhotonIndexSqr + log10TaSqr + BetaSqr + log10T90Sqr"
79,2040,0.5738,2040,0.163,817,0.115,17,89.4,"Response ~ (log10TaSqr + PhotonIndexSqr + log10PeakFluxSqr +      log10Fa + log10NH)^2 + log10PeakFlux + PhotonIndex + log10Ta +      Beta + log10T90 + log10NHSqr + log10FaSqr + BetaSqr + log10T90Sqr"
80,4603,0.6175,4603,0.1611,4603,0.1012,13,88.7,"Response ~ (log10FaSqr + log10TaSqr + log10PeakFluxSqr + log10NHSqr +      log10Fa + log10NH)^2 + log10PeakFlux + PhotonIndex + log10Ta +      Beta + log10T90 + PhotonIndexSqr + BetaSqr + log10T90Sqr"
81,1697,0.3399,5401,0.1893,1697,0.1292,17,83.6,"Response ~ (log10FaSqr + log10Fa + log10Ta + PhotonIndex + log10NH)^2 +      log10PeakFlux + Beta + log10T90 + log10NHSqr + log10PeakFluxSqr +      PhotonIndexSqr + log10TaSqr + BetaSqr + log10T90Sqr"
82,311,0.6235,311,0.1563,108,0.0974,17,84.4,"Response ~ (log10FaSqr + log10Fa + log10Ta)^2 + log10NH + log10PeakFlux +      PhotonIndex + Beta + log10T90 + log10NHSqr + log10PeakFluxSqr +      PhotonIndexSqr + log10TaSqr + BetaSqr + log10T90Sqr"
83,5948,0.5362,677,0.1639,11538,0.0987,17,91.3,"Response ~ (log10T90Sqr + BetaSqr + PhotonIndexSqr + log10PeakFluxSqr +      Beta + PhotonIndex)^2 + log10NH + log10PeakFlux + log10Ta +      log10Fa + log10T90 + log10NHSqr + log10TaSqr + log10FaSqr"
84,1605,0.5144,3816,0.1598,1310,0.0971,17,83.7,"Response ~ (log10T90Sqr + log10FaSqr + log10Fa + log10PeakFlux +      log10NH)^2 + PhotonIndex + log10Ta + Beta + log10T90 + log10NHSqr +      log10PeakFluxSqr + PhotonIndexSqr + log10TaSqr + BetaSqr"
85,2936,0.5651,2936,0.155,677,0.1017,15,81.7,"Response ~ (log10T90Sqr + BetaSqr + PhotonIndexSqr + Beta + PhotonIndex)^2 +      log10NH + log10PeakFlux + log10Ta + log10Fa + log10T90 +      log10NHSqr + log10PeakFluxSqr + log10TaSqr + log10FaSqr"
86,1159,0.562,1159,0.1511,4135,0.1012,17,81,"Response ~ (log10FaSqr + log10NHSqr + log10Fa + log10Ta)^2 +      log10NH + log10PeakFlux + PhotonIndex + Beta + log10T90 +      log10PeakFluxSqr + PhotonIndexSqr + log10TaSqr + BetaSqr +      log10T90Sqr"
87,6367,0.5171,817,0.1555,1164,0.0981,17,81.3,"Response ~ (log10T90Sqr + log10FaSqr + log10TaSqr + PhotonIndexSqr +      log10T90 + log10Fa)^2 + log10NH + log10PeakFlux + PhotonIndex +      log10Ta + Beta + log10NHSqr + log10PeakFluxSqr + BetaSqr"
88,5817,0.464,3798,0.1924,3798,0.0912,17,80.9,"Response ~ (log10T90Sqr + BetaSqr + log10FaSqr + Beta + log10Fa +      PhotonIndex)^2 + log10NH + log10PeakFlux + log10Ta + log10T90 +      log10NHSqr + log10PeakFluxSqr + PhotonIndexSqr + log10TaSqr"
89,7566,0.3342,7566,0.1666,8709,0.1029,17,81,"Response ~ (log10T90Sqr + log10FaSqr + log10TaSqr + log10T90 +      log10Fa + PhotonIndex + log10NH)^2 + log10PeakFlux + log10Ta +      Beta + log10NHSqr + log10PeakFluxSqr + PhotonIndexSqr + BetaSqr"
90,391,0.5909,391,0.1564,868,0.0955,17,81.8,"Response ~ (BetaSqr + log10T90 + Beta)^2 + log10NH + log10PeakFlux +      PhotonIndex + log10Ta + log10Fa + log10NHSqr + log10PeakFluxSqr +      PhotonIndexSqr + log10TaSqr + log10FaSqr + log10T90Sqr"
91,229,0.3963,229,0.1517,3062,0.0776,17,83.6,"Response ~ (log10PeakFluxSqr + log10NHSqr + log10PeakFlux)^2 +      log10NH + PhotonIndex + log10Ta + log10Fa + Beta + log10T90 +      PhotonIndexSqr + log10TaSqr + log10FaSqr + BetaSqr + log10T90Sqr"
92,890,0.5779,890,0.1286,890,0.0717,17,84.8,"Response ~ (log10T90Sqr + log10FaSqr + log10Fa + log10PeakFlux)^2 +      log10NH + PhotonIndex + log10Ta + Beta + log10T90 + log10NHSqr +      log10PeakFluxSqr + PhotonIndexSqr + log10TaSqr + BetaSqr"
93,1697,0.4893,1697,0.169,5831,0.1081,17,88.5,"Response ~ (log10FaSqr + log10Fa + log10Ta + PhotonIndex + log10NH)^2 +      log10PeakFlux + Beta + log10T90 + log10NHSqr + log10PeakFluxSqr +      PhotonIndexSqr + log10TaSqr + BetaSqr + log10T90Sqr"
94,4166,0.3481,4166,0.1724,5268,0.1079,17,81,"Response ~ (log10T90Sqr + log10FaSqr + PhotonIndexSqr + log10Fa +      PhotonIndex + log10NH)^2 + log10PeakFlux + log10Ta + Beta +      log10T90 + log10NHSqr + log10PeakFluxSqr + log10TaSqr + BetaSqr"
95,1329,0.2365,1329,0.2044,4331,0.1263,16,83.3,"Response ~ (log10FaSqr + log10TaSqr + log10PeakFluxSqr + log10Fa)^2 +      log10NH + log10PeakFlux + PhotonIndex + log10Ta + Beta +      log10T90 + log10NHSqr + PhotonIndexSqr + BetaSqr + log10T90Sqr"
96,737,0.477,737,0.1906,1499,0.111,16,80.4,"Response ~ (log10FaSqr + PhotonIndexSqr + log10PeakFluxSqr +      log10NH)^2 + log10PeakFlux + PhotonIndex + log10Ta + log10Fa +      Beta + log10T90 + log10NHSqr + log10TaSqr + BetaSqr + log10T90Sqr"
97,2533,0.3144,2924,0.1749,2924,0.1097,17,80.9,"Response ~ (log10T90Sqr + log10FaSqr + log10NHSqr + log10Fa +      log10PeakFlux)^2 + log10NH + PhotonIndex + log10Ta + Beta +      log10T90 + log10PeakFluxSqr + PhotonIndexSqr + log10TaSqr +      BetaSqr"
98,597,0.5932,597,0.171,1311,0.1272,17,81.1,"Response ~ (log10FaSqr + log10Fa + log10Ta + log10NH)^2 + log10PeakFlux +      PhotonIndex + Beta + log10T90 + log10NHSqr + log10PeakFluxSqr +      PhotonIndexSqr + log10TaSqr + BetaSqr + log10T90Sqr"
99,817,0.3532,3322,0.1667,1879,0.0975,17,81.5,"Response ~ (log10FaSqr + log10Fa + log10Ta + log10PeakFlux)^2 +      log10NH + PhotonIndex + Beta + log10T90 + log10NHSqr + log10PeakFluxSqr +      PhotonIndexSqr + log10TaSqr + BetaSqr + log10T90Sqr"
100,2115,0.4163,2115,0.1617,8050,0.1005,11,86.6,"Response ~ (log10T90Sqr + BetaSqr + log10FaSqr + Beta + log10NH)^2 +      log10PeakFlux + PhotonIndex + log10Ta + log10Fa + log10T90 +      log10NHSqr + log10PeakFluxSqr + PhotonIndexSqr + log10TaSqr"
