"","PhotonIndex","log10Ta","log10PeakFlux","log10Fa","log10NH","Alpha","log10T90","Gamma","Beta","log10Fluence","PhotonIndexSqr","log10TaSqr","log10PeakFluxSqr","log10FaSqr","log10NHSqr","AlphaSqr","log10T90Sqr","GammaSqr","BetaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"050820A",1.25,3.750945731,0.389166084,-10.01818139,21.61964524,1.136499703,1.414973348,1.96878,0.9,-5.463441557,1.5625,14.0695938769071,0.151450240935895,100.363958362942,467.409060303455,1.29163157491909,2.00214957555033,3.8760946884,0.81,29.8491936467546,0.378773543191014,0.266741013,0.238477529,0.012525701,0.0405,0.030552112,0.12,0.040770502,"050820A",2.6147,0.558072259099146
"050824A",2.76,5.08558,-0.301029996,-12.23882419,20.9708274,0.954481,1.353723938,1.94709,0.86,-6.575118363,7.6176,25.8631239364,0.09061905849176,149.788817553729,439.775601840591,0.911033979361,1.83256850031423,3.7911594681,0.7396,43.2321814874598,0.0782985476819812,0.06855,0.12722,0.0899785,0.01,0.084899673,0.38,0.130288345,"050824A",0.8278,0.261928672990642
"050904A",1.25,4.34762128111129,-0.207608311,-11.4173100900788,22.39388568,1.86371911100538,2.259044094,1.90813,0.924604024668438,-5.316052869,1.5625,18.9018108039718,0.0431012107962727,130.354969693015,501.486115848909,3.47344892472668,5.10328021863628,3.6409600969,0.854892602433074,28.2604181060031,0.0359770577590371,0.818530896219006,0.617358055383405,0.295927730335143,0.202727857638442,0.016184888,0.07,0.119080745,"050904A",6.295,0.86302529622947
"050908A",1.88,3.55588449842624,-0.15490196,-10.7718220987934,21.59590717,1.12420017561685,1.239799818,2.74883,0.999089462104701,-6.316052869,3.5344,12.644314566148,0.0239946172118416,116.032151328054,466.383206495257,1.26382603485696,1.53710358871283,7.5560663689,0.998179753288661,39.8925238440031,0.119342969960682,0.782392709056198,0.603190476203751,0.286076857503581,0.225284884194761,0.045857181,0.17,0.086858896,"050908A",3.34,0.637489729512511
"050922C",1.37,2.52429,0.860936621,-9.477555766,21.44930866,1.22035,0.653212514,2.2119,1.064,-5.790484985,1.8769,6.3720400041,0.741211865378898,89.8240632976399,460.072841991951,1.4892541225,0.4266865884462,4.89250161,1.132096,33.5297163615105,0.0434736058796182,0.03194,0.034305,0.013275,0.013,0.014476483,0.06,0.019142456,"050922C",2.198,0.504878459410216
"051016B",2.4,4.25742,0.113943352,-11.59006688,21.71466751,1.14771,0.602059991,1.89482,0.73,-6.769551079,5.76,18.1256250564,0.0129830874649959,134.329650282873,471.52678506985,1.3172382441,0.36247623276292,3.5903428324,0.5329,45.8268218111901,0.0509829166339321,0.04535,0.058175,0.04854,0.005,0.056202815,0.23,0.053451629,"051016B",0.9364,0.286995073968852
"051028A",1.6783282458665,3.79469236898461,0.179466033655192,-10.9670540439546,20.9024195385481,1.22899571871285,1.204119983,2.02921982175251,0.931000767828636,-6.17568341398607,2.81678570087332,14.39969017523,0.0322080572359265,120.276274403021,436.911142565477,1.51043047661451,1.44990493345992,4.11773308499329,0.86676242969751,38.1390656297826,0.214744065864423,0.809844872573473,0.609896416583391,0.283463087605548,0.203427877848168,0.0451414448022833,0.236991174642203,0.0749534429882672,"051028A",3.6,0.662757831681574
"051109A",1.51,3.91123,0.595496222,-10.51999306,21.97057233,1.22299,1.57054294,2.06584,1.06,-5.657577319,2.2801,15.2977201129,0.354615750416273,110.670253982448,482.706048507762,1.4957045401,2.46660512638384,4.2676949056,1.1236,32.0081811204632,0.0827679937346041,0.04815,0.04637,0.019155,0.054794381,0.05369459,0.2,0.076056648,"051109A",2.346,0.524525936626376
"051111A",1.32,3.35202423564014,0.424881637,-10.0303124173803,21.79196559,1.21769894155036,1.776555911,2.23019,0.905680124903167,-5.389339837,1.7424,11.2360664763189,0.1805244054598,100.607167190253,474.889764275744,1.48279071225287,3.15615090490904,4.9737474361,0.820256488644616,29.0449838786752,0.204728382319217,0.819877543412424,0.613435922197969,0.276936406799714,0.193079312533109,0.014263593,0.06,0.034286406,"051111A",1.55,0.406540180433955
"060115A",1,3.69688,-0.060480747,-11.29499204,21.43355223,0.889919,2.144885418,2.10553,1,-5.76700389,1,13.6669217344,0.00365792075767801,127.576845183663,459.397161196138,0.791955826561,4.60053345634903,4.4332565809,1,33.2583338672751,0.0469357822743554,0.0812,0.123015,0.053884,0.085,0.038096007,0.303030303,0.059902687,"060115A",3.53,0.656098202012832
"060124A",1.84,4.47599,-0.050609993,-10.6893,21.9172644,1.3641,1.134495856,2.00895,0.99,-6.336299075,3.3856,20.0344864801,0.00256137139146005,114.26113449,480.366478779507,1.86076881,1.28708084728117,4.0358801025,0.9801,40.1486859678459,0.0416381769095578,0.04445,0.036665,0.01627,0.076380116,0.049929734,0.19,0.087834839,"060124A",2.296,0.517987203025078
"060206A",1.2,3.93814,0.445604203,-10.63078414,22.33966406,1.17565,0.880241776,2.20424,1.265,-6.080398976,1.44,15.5089466596,0.198563105731265,113.013571431276,499.060590313656,1.3821529225,0.774825584215634,4.8586739776,1.600225,36.9712517073418,0.110636974360534,0.07055,0.07444,0.02867,0.013041887,0.021949902,0.181818182,0.026462388,"060206A",4.048,0.703119346236078
"060210A",1.53,4.15028,0.434568904,-10.66756154,22.3877421,1.20511,2.40654018,2.08163,0.979,-5.11577123,2.3409,17.2248240784,0.188850132323761,113.796869209687,501.210996336112,1.4522901121,5.79143563795443,4.3331834569,0.958441,26.1711152776957,0.207740121229715,0.0292,0.030365,0.02297,0.083622271,0.023188831,0.09,0.044706785,"060210A",3.91,0.691081492122968
"060223A",1.74,2.78682,0.130333768,-10.9636,22.49782636,1.1892,1.053078443,2.01015,0.81,-6.171984936,3.0276,7.7663657124,0.0169868910810778,120.20052496,506.152190924711,1.41419664,1.1089742071113,4.0407030225,0.6561,38.0933980502109,0.042104904450281,0.1982,0.23477,0.18005,0.045,0.030974941,0.12,0.057905931,"060223A",4.41,0.73319726510657
"060306A",1.8,3.61496,0.775974331,-10.70553377,21.61973178,1.03794,2.13255996245349,2.28823,0.76,-5.671620397,3.24,13.0679358016,0.602136162370898,114.60845330061,467.412802239142,1.0773194436,4.54781199345963,5.2359965329,0.5776,32.1672779276664,0.0112622187283241,0.03495,0.04452,0.02498,0.01,0.01457843,0.060606061,0.0488439909307915,"060306A",1.559,0.408070285887185
