"","log10NH","PhotonIndex","log10PeakFlux","log10Fa","log10Ta","Beta","log10T90","Alpha","Gamma","log10Fluence","log10NHSqr","PhotonIndexSqr","log10PeakFluxSqr","log10FaSqr","log10TaSqr","BetaSqr","log10T90Sqr","AlphaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10NH_opt","PhotonIndex_opt","log10PeakFlux_opt","log10Fa_opt","log10Ta_opt","Beta_opt","log10T90_opt","Alpha_opt","Gamma_opt","log10Fluence_opt","Redshift_crosscheck","log10z"
"081029A",21.49704581,1.43,-0.301029996,-11.86327943,4.48156171,0.87,2.431283332,2.51960373,1.95818,-5.677780705,462.122978557239,2.0449,0.09061905849176,140.737398834261,20.0843953605381,0.7569,5.91113864046102,6.34840295622991,3.8344689124,32.2371937340703,0.0734942688403521,0.083250805,0.04285341,0.169198521,0.001,0.0413613789999999,0.18,0.173717793,"081029A",0,0,0,0,0,0,0,0,0,0,0,3.8479,0.685553652846326
"081221A",21.57331844,1.21,1.260071388,-9.354577731,2.93195749,0.991,1.531478917,1.23586126,2.4947,-4.742321425,465.408068513644,1.4641,1.58777990285625,87.5081245253211,8.5963747231671,0.982081,2.34542767321549,1.52735305396879,6.22352809,22.489612498014,0.0102431891789539,0.0249855,0.031176651,0.012861856,5e-04,0.00719825100000001,0.13,0.011931167,"081221A",0,0,0,0,0,0,0,0,0,0,0,2.26,0.513217600067939
"081230A",20.67248024,1.97,-0.15490196,-11.32975415,3.66959365,1.02,0.907209226455443,0.99376498,2.08621,-6.086186148,427.35143927319,3.8809,0.0239946172118416,128.363329099442,13.4659175561203,1.0404,0.823028580565883,0.9875688354744,4.3522721641,37.0416618281071,0.740704337003766,0.0701444,0.08735027,0.040381418,0.02,0.02568693,0.096969697,0.142225970771008,"081230A",0,0,0,0,0,0,0,0,0,0,0,2.1,0.491361693834273
"090102A",21.72376179,1.36,0.740362689,-9.457174573,3.15380077,0.667,1.432006687,1.42487631,1.76997,-7.167491087,471.921826308664,1.8496,0.548136911263311,89.4381509041977,9.94645929685259,0.444889,2.05064315161272,2.03027249879922,3.1327938009,51.3729284822244,0.0359770577590371,0.036239983,0.041590346,0.021786596,0.002673458,0.019160051,0.08,0.063170107,"090102A",0,0,0,0,0,0,0,0,0,0,0,1.547,0.406028944963615
"090205A",21.81792086,2.15,-0.301029996,-11.3419886,3.70655,1.01,0.944482672,1.29089,2.03416,-6.721246399,476.021670653223,4.6225,0.09061905849176,128.64070540253,13.7385129025,1.0201,0.89204751770826,1.6663969921,4.1378069056,45.1751531560705,0.0885407574117407,0.13445,0.114585,0.084185,0.025,0.0685728129999999,0.23,0.0868588959999999,"090205A",0,0,0,0,0,0,0,0,0,0,0,4.6497,0.752025387323213
"090423A",22.7516324,0.8,0.230448921,-11.2798407,3.91521772,0.77,0.989894564,1.43267533,1.8158,-6.229147988,517.63677686473,0.64,0.0531067051900642,127.234806217376,15.328929795002,0.5929,0.97989124783675,2.05255860119061,3.29712964,38.8022846564045,0.047195797531391,0.08569564,0.077643595,0.064053366,0.005,0.029443694,0.5,0.051093469,"090423A",0,0,0,0,0,0,0,0,0,0,0,8.26,0.966610986681934
"090424A",21.63012977,1.19,1.851258349,-9.050609993,2.99599056,0.924,1.681241237,1.1284106,1.96315,-4.677780705,467.86251386704,1.4161,3.42715747474221,81.9135412453915,8.97595943560911,0.853776,2.82657209698929,1.27331048219236,3.8539579225,21.8816323240703,0.0205611924585667,0.011257098,0.013394814,0.005546887,0,0,0.15,0.012233647,"090424A",0,0,0,0,0,0,0,0,0,0,0,0.544,0.188647295999717
"090519A",22.13069392,1.02,-0.22184875,-11.76000021,3.44619,0.63,1.806179974,1.42452,1.46604,-5.920818754,489.767613380725,1.0404,0.0492168678765625,138.2976049392,11.8762255161,0.3969,3.26228609847864,2.0292572304,2.1492732816,35.0560947177181,0.0559162050267847,0.21145,0.24029,0.3065,0.03,0.036191207,0.2,0.144764827,"090519A",0,0,0,0,0,0,0,0,0,0,0,3.85,0.685741738602264
"090530A",20.90942658,1.61,0.397940009,-11.16052195,3.6839464,1.09,1.681241237,0.88610581,2.03975,-5.958607315,437.204119904411,2.5921,0.15835625076292,124.557250196432,13.571461078073,1.1881,2.82657209698929,0.785183506515756,4.1605800625,35.5050011343715,0.323703994876218,0.089175625,0.115365029,0.038514202,0.035,0.039481317,0.17,0.052115338,"090530A",0,0,0,0,0,0,0,0,0,0,0,1.266,0.355259905527378
"090618A",21.39200012,1.42,1.589949601,-9.640164518,3.67275453,0.8945,2.05388479,1.30942861,1.82831,-3.978810701,457.61766913408,2.0164,2.52793973372006,92.9327719341062,13.4891258376355,0.80013025,4.21844273059334,1.71460328468653,3.3427174561,15.8309345943921,0.00227692361547263,0.009695255,0.014245613,0.010591616,0.002482662,0.00413613799999999,0.08,0.008931506,"090618A",0,0,0,0,0,0,0,0,0,0,0,0.54,0.187520720836463
