"row","GRB","y","z","pred","z_pred"
144,"110715A",0.260071387985075,0.82,0.394087081750972,1.47791886311963
145,"110731A",0.583198773968623,2.83,0.416399460764736,1.6085517729975
147,"110808A",0.370698092575577,1.348,0.456706635408171,1.8622438797734
148,"110818A",0.639486489268586,3.36,0.624666129992027,3.21372442873257
149,"111107A",0.590284403718162,2.893,0.526556117015253,2.36167803895576
151,"111209A",0.224533062606086,0.677,0.454610253938059,1.84846084450811
152,"111228A",0.234010817587179,0.714,0.264972371228037,0.840654899699819
155,"120327A",0.581266805273671,2.813,0.525395754993628,2.35270818731674
156,"120404A",0.588383768378728,2.876,0.547980936060511,2.53167666682703
157,"120711A",0.381115080709851,1.405,0.397113974015082,1.49524948149258
159,"120802A",0.680879174426811,3.796,0.596307744800042,2.94736916964587
160,"120811C",0.564784384503987,2.671,0.492145812310267,2.10560210426974
161,"120815A",0.526339277389844,2.36,0.382400357454756,1.41212804144197
163,"120922A",0.612783856719735,3.1,0.462695013902536,1.90198400176111
166,"121128A",0.505149978319906,2.2,0.472651848643423,1.96928475583945
167,"121211A",0.305995882770805,1.023,0.461963315778835,1.89709886365215
168,"121217A",0.612783856719735,3.1,0.462477080622628,1.90052812271457
169,"130215A",0.204119982655925,0.6,0.391841703698082,1.46514065260862
170,"130418A",0.345961541813141,1.218,0.435708130718211,1.72714437890457
171,"130420A",0.361160995195026,1.297,0.427270994859612,1.67467485501327
172,"130427A",0.127104798364808,0.34,0.219089531121762,0.656111340645159
173,"130511A",0.362350507594848,1.3033,0.482367599684982,2.03646024647044
174,"130514A",0.662757831681574,3.6,0.422162769624406,1.6433992937171
175,"130604A",0.313867220369153,1.06,0.530219024468738,2.39015085961501
176,"130702A",0.0606978403536116,0.15,0.269764923447666,0.861079491862048
179,"131105A",0.429106008332697,1.686,0.446973990308767,1.79881369498572
180,"131117A",0.702602841340427,4.042,0.572198226065302,2.73420560140317
181,"140206A",0.571708831808688,2.73,0.458206844918852,1.87214819739214
182,"140213A",0.343920385393226,1.2076,0.234925546601933,0.717613902287739
183,"140419A",0.695131297704026,3.956,0.499125390089506,2.15591567208488
184,"140423A",0.629409599102719,3.26,0.537959124721502,2.4511125634754
185,"140430A",0.414973347970818,1.6,0.454718233288027,1.84916915005381
186,"140506A",0.276231957921834,0.889,0.424607309159743,1.65832030871417
187,"140509A",0.531478917042255,2.4,0.44701604214413,1.7990847114409
188,"140512A",0.236789099409293,0.725,0.386400357352973,1.43444718684126
189,"140518A",0.756407872548958,4.707,0.797423556086354,5.27225282940717
190,"140614A",0.718750734739665,4.233,0.673044132623194,3.71025189130377
191,"140629A",0.515211304327802,2.275,0.453794321443985,1.84311431129204
192,"140801A",0.3654879848909,1.32,0.30577056048603,1.02195069181257
193,"140907A",0.344392273685111,1.21,0.402614146902838,1.52705181535454
194,"141004A",0.196728722623287,0.573,0.439220956020049,1.74929255501735
195,"141121A",0.392696953259666,1.47,0.486046362091797,2.06229032388438
196,"141220A",0.365394376854778,1.3195,0.50893350526428,2.22799984550481
198,"150120B",0.653212513775344,3.5,0.509928780989565,2.23540595858259
199,"150314A",0.440594261839831,1.758,0.380975716519225,1.40422836434642
200,"150323A",0.202215775801131,0.593,0.457093009116702,1.86479143197419
201,"150403A",0.48572142648158,2.06,0.35997113885401,1.29071541765621
202,"150910A",0.372635880581721,1.3585,0.405918270926466,1.54635101441554
203,"151021A",0.52244423350632,2.33,0.502614338355203,2.181371149731
