"","log10NH","log10PeakFlux","PhotonIndex","log10T90","Gamma","log10Fluence","log10NHSqr","log10PeakFluxSqr","PhotonIndexSqr","log10T90Sqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10NH_opt","log10PeakFlux_opt","PhotonIndex_opt","log10T90_opt","Gamma_opt","log10Fluence_opt","Redshift_crosscheck","log10z"
"070306A",22.44245468,0.609594409,1.66,2.321184027,1.94468,-5.269217724,503.663772063854,0.371605343484059,2.7556,5.38789528719994,3.7817803024,27.7646554229157,0.134263479640872,0.02308703,0.1,0.022408315,"070306A",0,0,0,0,0,0,0,1.4959,0.397227181043161
"070411A",22.32139542,-0.040958608,1.72,2.089021501,2.2428,-5.568636236,498.244693495997,0.00167760756929766,2.9584,4.36401083164029,5.03015184,31.0097095288922,0.0359770577590371,0.02493172,0.1,0.062042069,"070411A",1,5.580348855,-0.010239652,0.43,0.52225537525,0.5607,-1.392159059,2.95,0.59659709562646
"070508A",21.89306622,1.382017043,1.1,1.320146286,1.82568,-4.707743929,479.306348513305,1.90997110714246,1.21,1.74278621643959,3.3331074624,22.1628529010364,0.0152922340458476,0.006049102,0.060606061,0.010992516,"070508A",0,0,0,0,0,0,0,0.82,0.260071387985075
"070521A",22.27524914,0.814913181,1.1,1.57863921,2.00022,-5.096367484,496.186724249071,0.664083492567539,1.21,2.49210175534942,4.0008800484,25.9729615319725,0.0323072045959819,0.009596769,0.121212121,0.017957046,"070521A",0,0,0,0,0,0,0,2.0865,0.489466281303128
"070529A",22.56252244,0.155336037,1.34,2.038222638,1.97999,-5.590066877,509.067418855503,0.0241292843908654,1.7956,4.15435152205568,3.9203604001,31.2488476893325,0.0794726286723922,0.041401614,0.16,0.109332877,"070529A",0,0,0,0,0,0,0,2.4996,0.544018407858776
"070612A",21.2559971173378,0.178976947,1.69,2.566790912,1.97567939099548,-4.974694135,451.817413452273,0.0320327475574408,2.8561,6.58841558592579,3.90330905600427,24.7475817368034,0.0794726286723922,0.024623678,0.1,0.109292651,"070612A",1,5.31399927933445,0.04474423675,0.4225,0.641697728,0.49391984774887,-1.24367353375,0.671,0.222976449893391
"070714B",21.64321572,0.431363764,1.36,1.806179974,2.07429,-6.142667504,468.428786702455,0.186074696892248,1.8496,3.26228609847864,4.3026790041,37.7323640646976,0.0570608478017886,0.05428681,0.19,0.032169962,"070714B",0,0,0,0,0,0,0,0.923,0.28397928423848
"070721B",21.89473409,0.176091259,1.34,2.531478917,1.52512,-5.443697499,479.379380871808,0.0310081314962051,1.7956,6.40838550721549,2.3259910144,29.6338424606189,0.0272330828957319,0.024127471,0.11,0.086858896,"070721B",0,0,0,0,0,0,0,3.626,0.6652056284346
"070802A",21.91375294,-0.397940009,1.79,1.214843848,1.99014,-6.552841969,480.212567915359,0.15835625076292,3.2041,1.47584557502345,3.9606572196,42.9397378706878,0.079968777148268,0.077552586,0.27,0.108573621,"070802A",0,0,0,0,0,0,0,2.45,0.537819095073274
"070809A",20.80619355,0.079181246,1.69,1.16168428403346,1.37246,-7,432.897690040062,0.00626966971811252,2.8561,1.34951037577033,1.8836464516,49,0.00812673734142053,0.026318246,0.133333333,0.016256930519715,"070809A",0,0,0,0,0,0,0,0.2187,0.0858968111315881
"070810A",21.93100401,0.278753601,2.04,1.041392685,2.17076,-6.161150909,480.968936886636,0.0777035700704672,4.1616,1.08449872437151,4.7121989776,37.9597805234715,0.197037086589132,0.037764738,0.14,0.045715209,"070810A",0,0,0,0,0,0,0,2.17,0.501059262217751
"071003A",20.86974084,0.799340549,1.36,2.170643023,1.91015,-5.080921908,435.546082728764,0.638945313275621,1.8496,4.71169113329858,3.6486730225,25.8157674351944,0.0131768929142836,0.015697391,0.07,0.027574253,"071003A",0,0,0,0,0,0,0,1.60435,0.415699348887829
