"","log10NH","log10PeakFlux","PhotonIndex","log10T90","Gamma","log10Fluence","log10NHSqr","log10PeakFluxSqr","PhotonIndexSqr","log10T90Sqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10NH_opt","log10PeakFlux_opt","PhotonIndex_opt","log10T90_opt","Gamma_opt","log10Fluence_opt","Redshift_crosscheck","log10z"
"060926A",22.50004427,0.037426498,2.54,0.903089987,2.00443,-6.659555885,506.25199215196,0.001400742752544,6.4516,0.81557152461966,4.0177396249,44.3496845854381,0.0658325115034435,0.049576996,0.23,0.055780943,"060926A",0,0,0,0,0,0,0,3.2,0.6232492903979
"060927A",22.10710478,0.431363764,0.9,1.352953912,1.94856,-5.946921557,488.724081753899,0.186074696892248,0.81,1.8304842879961,3.7968860736,35.3658760051113,0.0249377639674928,0.026134535,0.242424242,0.027344467,"060927A",0,0,0,0,0,0,0,5.47,0.8109042806687
"061007A",21.74186197,1.164352856,1.03,1.876852648,1.99824,-4.35261703,472.708561922532,1.35571757327536,1.0609,3.52257586230461,3.9929630976,18.945275009846,0.0202577864729536,0.005497151,0.03,0.011006093,"061007A",1,5.4354654925,0.291088214,0.2575,0.469213162,0.49956,-1.0881542575,1.26,0.354108439147401
"061121A",21.75351565,1.324282455,1.41,1.90982337,1.90181,-4.863279433,473.215443134795,1.75372402062083,1.9881,3.64742530459816,3.6168812761,23.6514868434408,0.246558916936231,0.006308365,0.03,0.009468031,"061121A",0,0,0,0,0,0,0,1.314,0.364363354615731
"061126A",21.38058204,0.989449818,1.32,2.281033367,1.9269241917552,-5.169411331,457.129288369171,0.979010942340233,1.7424,5.20311322136736,3.71303684077143,26.7228135090712,0.0255903856698547,0.0190994093843814,0.06,0.0246693811930976,"061126A",1,5.34514551,0.2473624545,0.33,0.57025834175,0.4817310479388,-1.29235283275,1.1588,0.334212409393176
"061222A",22.56660835,0.930949031,1.35,1.853698212,1.92748,-5.097453221,509.25181242229,0.866666098319839,1.8225,3.436197061172,3.7151791504,25.9840293402833,0.0973208922530927,0.008588051,0.04,0.013237581,"061222A",0,0,0,0,0,0,0,2.088,0.489677291663699
"070110A",21.3989672,-0.22184875,1.58,1.946550511,2.08596,-5.790484985,457.915797226676,0.0492168678765625,2.4964,3.78905889187436,4.3512291216,33.5297163615105,0.0711120769415451,0.028952965,0.12,0.086858896,"070110A",0,0,0,0,0,0,0,2.352,0.525304009958239
"070125A",21.1168251059769,0.461366700396796,1.66719216524827,1.77815125,1.95142632719767,-5.49527903539734,445.920302556416,0.212859232235027,2.77952971586521,3.16182186787656,3.80806471048019,30.1980916768775,0.0141299769251024,0.0330719907495403,0.177142407809118,0.0593602352348791,"070125A",1,5.27920627649423,0.115341675099199,0.416798041312067,0.4445378125,0.487856581799417,-1.37381975884934,1.55,0.406540180433955
"070208A",21.8647258,-0.045757491,1.94,1.806179974,2.20341,-6.351639989,478.066234309186,0.00209374798261508,3.7636,3.26228609847864,4.8550156281,40.3433305498639,0.153546286600926,0.098570208,0.36,0.106160873,"070208A",0,0,0,0,0,0,0,1.165,0.335457900689384
"070223A",21.70173804,-0.161150909,1.85,1.9408513687054,2.25837,-5.769551079,470.965433956783,0.0259696154715263,3.4225,3.76690403540562,5.1002350569,33.2877196531901,0.0402373538487879,0.018572476,0.072727273,0.130844061722848,"070223A",0,0,0,0,0,0,0,1.6295,0.419873175149476
