"","log10PeakFlux","log10NH","log10Ta","PhotonIndex","log10Fa","Alpha","log10T90","Beta","Gamma","log10Fluence","log10PeakFluxSqr","log10NHSqr","log10TaSqr","PhotonIndexSqr","log10FaSqr","AlphaSqr","log10T90Sqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"060605A",-0.337242168,21.77333803,4.04162,1.55,-11.26121944,1.9179,1.89817648349768,0.835,2.02128,-6.156767222,0.11373227987734,474.078248968644,16.3346922244,2.4025,126.815063275834,3.67834041,3.6030739625036,0.697225,4.0855728384,37.9057826258936,0.192243471667048,0.05315,0.037375,0.085,0.10149311,0.0339867861224412,0.121212121,0.0686631594013328,"060605A",3.78,0.679427896612119
"060607A",0.146128036,21.79614607,4.37412,1.47,-11.02273379,1.50754,2.00945089579869,0.564,1.61002,-5.59345982,0.0213534029052173,475.071983504776,19.1329257744,2.1609,121.500660205208,2.2726768516,4.03789290262617,0.318096,2.5921644004,31.2867927579544,0.132029607628865,0.0761,0.02584,0.163115,0.012077154,0.0115605423699981,0.048484848,0.0244408150465787,"060607A",3.0749,0.610116955411928
"060707A",0.004321374,21.20847898,3.5545,0.6,-10.9132,0.861995,1.8208579894397,1.12,2.09345,-5.795880017,1.8674273247876e-05,449.799580645102,12.63447025,0.36,119.09793424,0.743035380025,3.31552381770639,1.2544,4.3825329025,33.5922251714599,0.0414232995600016,0.07695,0.127895,0.0364485,0.035,0.0248403283013014,0.363636364,0.0599386321664952,"060707A",3.425,0.645913275033844
"060708A",0.28780173,20.79066861,3.50569,1.68,-10.86966623,1.12969,1.00860017176192,1.485,2.20484,-6.306273051,0.0828298357909929,432.251901250839,12.2898623761,2.8224,118.149643951602,1.2761994961,1.01727430647817,2.205225,4.8613194256,39.7690797937688,0.153333382321636,0.06115,0.062725,0.028525,0.33410152,0.019714017700399,0.072727273,0.018994447849191,"060708A",1.92,0.465382851448418
"060714A",0.10720997,22.0125926,3.73449,1.93,-10.86012091,1.20488,2.06069784035361,0.87,2.04425,-5.548213564,0.0114939776674009,484.554232973575,13.9464155601,3.7249,117.942226179819,1.4517358144,4.24647558923804,0.7569,4.1789580625,30.7826737517536,0.0344768087786936,0.0352,0.046765,0.035305,0.005,0.0155321080197879,0.066666667,0.0267321414553261,"060714A",2.711,0.569490954348783
"060729A",0.068185862,20.86562801,5.1057,1.75,-11.15058059,1.35481,2.0618293072947,1.317,1.92492,-5.583359493,0.00464931177668304,435.374432251696,26.06817249,3.0625,124.335447494085,1.8355101361,4.25114009241934,1.734489,3.7053170064,31.1739032280732,0.127702392544209,0.0116,0.012825,0.013425,0.077392286,0.0212785639737521,0.084848485,0.0292454197184288,"060729A",0.54,0.187520720836463
"060814A",0.861534411,22.00679538,4.22387,1.53,-10.91009489,1.29504,2.16226561429802,0.97,2.11591,-4.835647144,0.742241541337117,484.299042897189,17.8410777769,2.3409,119.030170508804,1.6771286016,4.6753925867756,0.9409,4.4770751281,23.3834833012754,0.0146412491865461,0.0353,0.034855,0.024565,0,0.00430869161989862,0.018181818,0.0104993872606212,"060814A",1.9229,0.465813957269479
"060904B",0.387389826,21.59122827,3.87074,1.64,-11.11633856,1.36265,2.23426412437879,1.58,2.18877,-5.790484985,0.15007087728831,466.181138207247,14.9826281476,2.6896,123.572982980543,1.8568150225,4.99193617748612,2.4964,4.7907141129,33.5297163615105,0.0287243616490079,0.08665,0.081295,0.04215,0.136141492,0.0232338611473106,0.084848485,0.0226532143754057,"060904B",0.703,0.231214647962601
"060906A",0.294466226,22.41960057,4.33479,2.03,-11.8827287,1.71887,1.63848925695464,1.06,2.07859,-5.655607726,0.0867103582546831,502.638489718344,18.7904043441,4.1209,141.199241357804,2.9545140769,2.68464704515576,1.1236,4.3205363881,31.9858987503909,0.0815374132522222,0.08845,0.072145,0.169635,0.005,0.0161974631827828,0.066666667,0.0374103846163063,"060906A",3.686,0.670802284260944
"060908A",0.481442629,21.80952201,2.81918,1,-9.627087997,1.38309,1.28555730900777,1.185,2.13395,-5.552841969,0.231787005018432,475.655250304674,7.9477758724,1,92.6808233019815,1.9129379481,1.65265759474331,1.404225,4.5537426025,30.8340539326878,0.0299356101984998,0.045185,0.05993,0.04964,0.003474954,0.0104343479500535,0.181818182,0.0217168958293479,"060908A",1.8836,0.459935016851525
"060912A",0.933487288,21.36738202,2.455171016,1.74,-10.1079054,1.045731532,0.698970004336019,0.63,1.8948,-5.869666232,0.871398516857595,456.565014388619,6.02786471780647,3.0276,102.169751575349,1.09355443701907,0.488559066961494,0.3969,3.59026704,34.4529816750811,0.0503781599007772,0.147419953,0.156564864,0.028937785,0.0785,0.0120881068052489,0.054545455,0.0134978860076092,"060912A",0.937,0.287129620719111
