"","log10PeakFlux","log10NH","log10Ta","PhotonIndex","log10Fa","log10T90","Alpha","Beta","Gamma","log10Fluence","log10PeakFluxSqr","log10NHSqr","log10TaSqr","PhotonIndexSqr","log10FaSqr","log10T90Sqr","AlphaSqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"070809A",0.079181246,20.80619355,4.18985,1.69,-11.9625735,1.16168428403346,1.17521,0.396,1.37246,-7,0.00626966971811252,432.897690040062,17.5548430225,2.8561,143.103164742902,1.34951037577033,1.3811185441,0.156816,1.8836464516,49,0.00812673734142058,0.1917,0.206985,0.395643,0.0595,114298.690111723,0.133333333,0.00588357934847585,"070809A",0.2187,0.0858968111315881
"071003A",0.799340549,20.86974084,4.78411,1.36,-11.67760082,2.170643023,1.97901,0.837,1.91015,-5.080921908,0.638945313275621,435.546082728764,22.8877084921,1.8496,136.366360911265,4.71169113329858,3.9164805801,0.700569,3.6486730225,25.8157674351944,0.0131768929142836,0.1359,0.098505,0.183105,0.032,821.360276804957,0.07,0.00190084856079545,"071003A",1.60435,0.415699348887829
"071020A",0.924279286,20.99642367,2.311950854,1.11,-9.169411331,0.62324929,1.119196934,0.844,1.59788,-5.638272164,0.85429219852867,440.849806930136,5.34511675131133,1.2321,84.0781041570712,0.388439677485504,1.252601777075,0.712336,2.5532204944,31.7901129953372,0.0601790285006581,0.035099822,0.039262062,0.011153209,0.001,3565.43854882314,0.05,0.000801920469705523,"071020A",2.145,0.497620649781288
"071117A",1.053078443,22.04291793,3.901990464,1.57,-11.23542972,0.819543936,1.104952391,0.94,2.0457,-5.619788758,1.1089742071113,485.890230868716,15.2255295811469,2.4649,126.234880993059,0.671652263034372,1.22091978637662,0.8836,4.18488849,31.5820256845432,0.120079755643196,0.101024385,0.117162967,0.089387802,0.01,3274.50855183053,0.06,0.000590842500629893,"071117A",1.331,0.367542273520577
"080310A",0.113943352,21.025718487627,4.32608056,2.32,-11.3990271,2.560456622,1.59590648,0.878,2.09352,-5.638272164,0.0129830874649959,442.080837920941,18.7149730116099,5.3824,129.937818826534,6.55593811314365,2.54691749290599,0.770884,4.3828259904,31.7901129953372,0.0207895824764161,0.04247343,0.03798676,0.065276352,0.0375,7130.87709764628,0.16,0.0223209110124826,"080310A",2.42,0.534026106056135
"080411A",1.635483747,21.57289018,4.20932562,1.75,-10.11350927,1.748188027,1.28909841,0.91,1.97674,-4.578396073,2.67480708670116,465.38959071834,17.7184221751884,3.0625,102.283069754376,3.05616137774615,1.66177471066453,0.8281,3.9075010276,20.9617106012618,0.00776276208190557,0.06043543,0.049275581,0.010296793,0,27.062057148228,0.03,9.09585759323742e-05,"080411A",1.03,0.307496037913213
"080516A",0.255272505,22.03528962,3.77452827,1.82,-11.12090412,0.763427994,0.94016916,1.48,2.3315,-6.585026652,0.065164051808975,485.55398863728,14.2470636610292,3.3124,123.674508446233,0.582822302022864,0.883918049415106,2.1904,5.43589225,43.3625760075503,0.0159503209161228,0.077803665,0.111057696,0.084888358,0.03,111604.554976063,0.27,0.0174640461080635,"080516A",3.2,0.6232492903979
"080607A",1.36361198,22.38386741,3.46298403,1.31,-10.0540393,1.899984563,1.7256074,1.06,2.03418,-4.619788758,1.85943763199952,501.03752022846,11.992258392035,1.7161,101.083706245944,3.6099413396383,2.97772089893476,1.1236,4.1378882724,21.3424481685432,0.0179615292332226,0.11042072,0.069659314,0.037637388,0.02,0,0.04,0.000388809937087499,"080607A",3.036,0.605951157564873
"080710A",0,20.89722339,4.09266933,1.47,-11.23284413,2.077948999,1.52133785,1.3,2.00149,-5.853871964,0,436.693945411563,16.7499422447226,2.1609,126.176787248875,4.3178720424451,2.31446885384262,1.69,4.0059622201,34.2678169709052,0.063286086716648,0.06269498,0.054210787,0.06401643,0.150517844,19246.0915661414,0.23,0.0377223392370084,"080710A",0.845,0.265996370495079
"080810A",0.301029996,21.45079548,3.2687548,1.34,-9.931814138,2.03666881,1.44529526,1.079,2.11482,-5.337242168,0.09061905849176,460.136626724788,10.684757942523,1.7956,98.6409320717767,4.14801984162682,2.08887838857847,1.164241,4.4724636324,28.4861539598773,0.0173110727824034,0.031830706,0.039738688,0.036139295,0.0015,1782.71927303226,0.06,0.00943058480195555,"080810A",3.35,0.638489256954637
