"","PhotonIndex","log10PeakFlux","log10NH","Beta_opt","log10Ta_opt","Alpha_opt","log10Ta","log10Fluence","log10T90","Gamma","log10Fa","log10Fa_opt","Beta","Alpha","PhotonIndexSqr","log10PeakFluxSqr","log10NHSqr","Beta_optSqr","log10Ta_optSqr","Alpha_optSqr","log10TaSqr","log10FluenceSqr","log10T90Sqr","GammaSqr","log10FaSqr","log10Fa_optSqr","BetaSqr","AlphaSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FaErr_opt","log10TaErr_opt","AlphaErr_opt","BetaErr_opt","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","PhotonIndex_opt","log10PeakFlux_opt","log10NH_opt","Beta_opt_opt","log10Ta_opt_opt","Alpha_opt_opt","log10Ta_opt","log10Fluence_opt","log10T90_opt","Gamma_opt","log10Fa_opt","log10Fa_opt_opt","Beta_opt","Alpha_opt","Redshift_crosscheck","log10z"
"060124A",1.84,-0.050609993,21.9172644,0,0,0,4.47599,-6.336299075,1.134495856,2.00895,-10.6893,0,0.99,1.3641,3.3856,0.00256137139146005,480.366478779507,0,0,0,20.0344864801,40.1486859678459,1.28708084728117,4.0358801025,114.26113449,0,0.9801,1.86076881,0.0416381769095578,0.04445,0.036665,0.01627,0.076380116,0,0,0,0,0.049929734,0.19,0.087834839,"060124A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.296,0.517987203025078
"060206A",1.2,0.445604203,22.33966406,0,0,0,3.93814,-6.080398976,0.880241776,2.20424,-10.63078414,0,1.265,1.17565,1.44,0.198563105731265,499.060590313656,0,0,0,15.5089466596,36.9712517073418,0.774825584215634,4.8586739776,113.013571431276,0,1.600225,1.3821529225,0.110636974360534,0.07055,0.07444,0.02867,0.013041887,0,0,0,0,0.021949902,0.181818182,0.026462388,"060206A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.048,0.703119346236078
"060210A",1.53,0.434568904,22.3877421,0,0,0,4.15028,-5.11577123,2.40654018,2.08163,-10.66756154,0,0.979,1.20511,2.3409,0.188850132323761,501.210996336112,0,0,0,17.2248240784,26.1711152776957,5.79143563795443,4.3331834569,113.796869209687,0,0.958441,1.4522901121,0.207740121229715,0.0292,0.030365,0.02297,0.083622271,0,0,0,0,0.023188831,0.09,0.044706785,"060210A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91,0.691081492122968
"060223A",1.74,0.130333768,22.49782636,0,0,0,2.78682,-6.171984936,1.053078443,2.01015,-10.9636,0,0.81,1.1892,3.0276,0.0169868910810778,506.152190924711,0,0,0,7.7663657124,38.0933980502109,1.1089742071113,4.0407030225,120.20052496,0,0.6561,1.41419664,0.042104904450281,0.1982,0.23477,0.18005,0.045,0,0,0,0,0.030974941,0.12,0.057905931,"060223A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41,0.73319726510657
"060306A",1.8,0.775974331,21.61973178,0,0,0,3.61496,-5.671620397,2.13255996245349,2.28823,-10.70553377,0,0.76,1.03794,3.24,0.602136162370898,467.412802239142,0,0,0,13.0679358016,32.1672779276664,4.54781199345963,5.2359965329,114.60845330061,0,0.5776,1.0773194436,0.0112622187283241,0.03495,0.04452,0.02498,0.01,0,0,0,0,0.01457843,0.060606061,0.0488439909307915,"060306A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.559,0.408070285887185
"060418A",1.7,0.814247596,21.65363309,0,0,0,3.11887,-5.079354999,2.158362492,1.94118,-9.792961075,0,0.98,1.47655,2.89,0.662999147591779,468.879825996343,0,0,0,9.7273500769,25.7998472058663,4.65852864687245,3.7681797924,95.9020866164651,0,0.9604,2.1801999025,0.136485588124709,0.04904,0.057245,0.044705,0.005,0,0,0,0,0.013190457,0.06,0.023313354,"060418A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.489,0.396024896608593
"060502A",1.46,0.227886705,21.45692297,0,0,0,3.3865,-5.63638802,1.45331834,2.02719,-10.55284197,0,0.87,0.897152,2.1316,0.051932350315757,460.399543340514,0,0,0,11.46838225,31.7688699119995,2.11213419738036,4.1094992961,111.362473643793,0,0.7569,0.804881711104,0.150287880735964,0.05675,0.075085,0.0205255,0.015,0,0,0,0,0.019176639,0.08,0.053965586,"060502A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5026,0.398391440229475
"060510B",1.78,-0.244125144,22.00215742,0,0,0,4.43617,-5.390405591,2.43964843,2.1317,-12.2656,0,1.38,1.00735,3.1684,0.0595970859330207,484.094931134461,0,0,0,19.6796042689,29.0564724354841,5.95188446200147,4.54414489,150.44494336,0,1.9044,1.0147540225,0.0335971369822932,0.2206,0.31628,0.2313695,0.03,0,0,0,0,0.018780302,0.08,0.083811216,"060510B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,0.770852011642144
"060512A",2.48,-0.055517328,20.84356974,0.68,3.64,0.74,0,-6.634512015,0.92890769,2.70163,0,-12.44,0,0,6.1504,0.00308217370825958,434.454399506244,0.4624,13.2496,0.5476,0,44.0167496771794,0.862869496541136,7.2988046569,0,154.7536,0,0,0.0233394026693868,0,0,0,0,0.03,0.05,0.02,0.05,0.074878359,0.3,0.098703291,"060512A",1,0.62,-0.013879332,5.210892435,0.17,0.91,0.185,0,-1.65862800375,0.2322269225,0.6754075,0,-3.11,0,0,0.44,0.15836249209525
"060526A",2.01,0.222716471,21.680967,0,0,0,3.8752,-5.899629455,2.47444938,1.90677,-11.3053948,0,0.93,1.05873,4.0401,0.0496026264546938,470.064330055089,0,0,0,15.01717504,34.8056277063036,6.12289973418238,3.6357718329,127.811951583867,0,0.8649,1.1209092129,0.0335716198838349,0.06785,0.09216,0.0623145,0.0305,0,0,0,0,0.056871896,0.24,0.046810184,"060526A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.221,0.625415352154408
"060604A",2.01,-0.468521083,21.99003057,0,0,0,4.45991,-6.395773947,1.977723605,2.1711,-11.76955108,0,1.02,1.21596,4.0401,0.219512005215493,483.561444469534,0,0,0,19.8907972081,40.905924381124,3.9113906577742,4.71367521,138.522332624729,0,1.0404,1.4785587216,0.0777158547080599,0.04195,0.04994,0.04695,0,0,0,0,0,0.11451546,0.42,0.166053773,"060604A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1357,0.496334505996816
"060605A",1.55,-0.337242168,21.77333803,0,0,0,4.04162,-6.156767222,2.059904056,2.02128,-11.26121944,0,0.835,1.9179,2.4025,0.11373227987734,474.078248968644,0,0,0,16.3346922244,37.9057826258936,4.24320471992525,4.0855728384,126.815063275834,0,0.697225,3.67834041,0.132471980179598,0.05315,0.037375,0.085,0.10149311,0,0,0,0,0.056078197,0.2,0.113294213,"060605A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78,0.679427896612119
