GRB,Redshift_crosscheck,log10T90,log10Fa,log10Ta,Alpha,Beta,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FaErr,log10TaErr,AlphaErr,BetaErr,FluenceErr,PhotonIndexErr,PeakFluxErr
090516A,4.109,2.322219295,-11.27490548,4.33113504,1.76098314,0.502,2.09,-5.045757491,1.84,21.19589965,0.204119983,64.0,0.03779605,0.029715315,0.053351589,0.479087085,5.999999898558558e-07,0.11,0.19999999928197265
091109A,3.076,1.681241237,-11.14630179,3.37933883,1.06152816,0.89,1.96352,-5.795880017,1.31,21.89596701,0.113943352,16.70810678,0.05941034,0.074268877,0.033719571,0.03,1.9999999928197265e-07,0.25,0.39999999865520874
091208B,1.063,1.173186268,-10.18045606,3.31388094,1.1606541,0.86,2.03333,-5.48148606,1.74,21.91211094,1.181843588,2.897723268,0.036806415,0.052928177,0.030502454,0.034663611,2.0000000240337421e-07,0.11,0.9999999865344263
100316B,1.18,0.579783597,-11.1481304,3.5543767,1.36246063,1.08,2.23535,-6.698970004,2.23,21.41315218,0.113943352,0.445223532,0.10431242,0.207348761,0.13322096,0.02,1.9999999927826235e-08,0.18,0.10000000041214234
100418A,0.6235,0.84509804,-12.48811664,5.54363,1.81145,0.84,2.26662,-6.468521083,2.16,15.61943666,0.0,0.963279858,0.10745,0.075475,0.16786,0.01,5.0000000328635685e-08,0.25,0.19999999912352018
100425A,1.755,1.568201724,-11.50168945,3.60199415,0.86819371,1.46,2.17077,-6.327902142,2.42,20.53466438,0.146128036,3.773539953,0.070859065,0.115125536,0.055076895,0.035,8.999999987218985e-08,0.32,0.20000000065324805
100513A,4.772,1.924279286,-11.57186521,3.74522911,0.96306136,1.36,2.25722,-5.853871964,1.62,22.05240534,-0.22184875,14.87086076,0.09817689,0.128616618,0.061569437,0.025,9.999999871481455e-08,0.14,0.10000000039445692
100621A,0.542,1.803457116,-9.804100348,3.64164386,0.94079321,0.27,2.3024,-4.677780705,1.9,22.28454803,1.10720997,1.683600844,0.041282476,0.060455075,0.024177265,0.150679792,0.0,0.03,0.3000000026126603
100704A,3.6,2.2955671,-10.35163999,3.62503495,1.01294211,1.29,2.11575,-5.22184875,1.73,21.52730245,0.633468456,23.25931459,0.04763446,0.053639373,0.01813996,0.01,2.0000000355201571e-07,0.06,0.19999999678428412
100724A,1.288,0.146128036,-10.67778071,2.86502502,1.11237691,0.83,1.94442,-6.795880017,1.92,21.01720452,0.278753601,0.155794716,0.14742817,0.168928757,0.065002869,0.05,1.9999999928197266e-08,0.21,0.20000000167808685
100728A,1.567,2.297760511,-10.17587417,4.03148606,1.5588143,0.96,1.90402,-4.420216403,1.18,21.52592288,0.707570176,12.6465837,0.0760751,0.053762484,0.034265796,0.005,0.0,0.02,0.19999999815738478
100814A,1.44,2.241795431,-11.49349497,5.22729477,1.76532941,1.1425,1.89414,-5.045757491,1.47,20.89608288,0.397940009,9.468174905,0.04362636,0.035347138,0.084015169,0.01745135,1.999999897108633e-07,0.04,0.20000000272843008
100816A,0.804,0.462397998,-11.5559552,3.97801299,1.04455013,1.09,1.91138,-5.698970004,0.73,21.34783526,1.037426498,0.621173086,0.08674922,0.112014005,0.047175154,0.015,9.999999963913119e-08,0.24,0.39999999553862603
